ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,0.00,2.40,2.40,***,***,***,***,6.53,6.53,***,***,***,***,1.06,1.06,***
FABCO1T1091,0.00,0.66,0.66,***,3.97,3.97,***,3.64,3.64,***,0.19,0.19,***,***,***,***
FABMA1T1099,0.00,1.35,1.35,***,2.57,2.57,***,4.11,4.11,***,***,***,***,***,***,***
FPIPO1T1093,0.00,***,***,***,1.20,1.20,***,5.09,5.09,***,***,***,***,0.40,0.40,***
FPIPO1T1094,***,***,***,***,***,***,***,7.15,***,***,***,***,***,0.01,***,***
FPIPO1T1096,0.00,0.19,0.19,***,3.61,3.61,***,4.29,4.29,***,***,***,***,0.22,0.22,***
FABCO1T1092,***,***,***,***,6.78,***,***,3.69,***,***,***,***,***,0.52,***,***
FABMA1T1097,***,0.50,***,***,2.61,***,***,2.63,***,***,***,***,***,***,***,***
FABMA1T1098,***,0.88,***,***,4.55,***,***,5.50,***,***,***,***,***,***,***,***
FPIPO1T1095,***,1.09,***,***,17.52,***,***,17.82,***,***,***,***,***,0.00,***,***
Mean,0.00,1.01,-1.01,-Infinity,5.35,-5.35,-Infinity,6.05,-6.05,-Infinity,0.19,-0.19,-Infinity,0.37,-0.37,-Infinity
