ProjectUnit = Ackerson
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Re01Year01-Attr,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,02YR01-Attr,02YR01-Diff,02YR01-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff
FABCO1T1090,11.30,17.97,6.67,59.09,***,***,***,74.35,63.05,558.17,***,***,***,25.14,13.85,122.60
FABCO1T1091,43.65,19.29,-24.36,-55.80,50.13,6.49,14.87,99.48,55.83,127.92,9.76,-33.89,-77.64,***,***,***
FABMA1T1099,12.58,22.07,9.50,75.51,15.66,3.08,24.52,59.41,46.83,372.37,***,***,***,***,***,***
FPIPO1T1093,32.71,28.78,-3.94,-12.04,118.35,85.64,261.77,131.75,99.04,302.73,***,***,***,35.42,2.71,8.28
FPIPO1T1094,49.30,24.17,-25.13,-50.98,***,***,***,69.76,20.46,41.49,***,***,***,7.46,-41.84,-84.87
FPIPO1T1096,13.72,9.97,-3.75,-27.36,78.24,64.51,470.07,92.95,79.22,577.25,***,***,***,17.06,3.34,24.32
FABCO1T1092,***,8.34,***,***,15.86,***,***,75.93,***,***,***,***,***,26.99,***,***
FABMA1T1097,***,2.36,***,***,9.96,***,***,16.93,***,***,***,***,***,***,***,***
FABMA1T1098,***,4.11,***,***,17.96,***,***,35.73,***,***,***,***,***,***,***,***
FPIPO1T1095,***,17.91,***,***,180.25,***,***,138.70,***,***,***,***,***,61.57,***,***
Mean,27.21,15.50,11.71,43.05,60.80,-33.59,-123.45,79.50,-52.29,-192.17,9.76,17.45,64.14,28.94,-1.73,-6.37
