ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,16.08,***,***,***,5.54,-10.55,-65.57,***,***,***,20.66,4.58,28.46,20.84,4.75,29.56,***,***,***,***,***,***,***,***,***,***,***,***,0.35,-15.73,-97.80,1.12,-14.97,-93.05,1.86,-14.22,-88.42,0.91,-15.18,-94.37,9.85,-6.23,-38.75,***,***,***,***,***,***,***,***,***,0.00,-16.08,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,36.57,***,***,***,36.20,-0.37,-1.02,***,***,***,42.77,6.20,16.96,24.61,-11.96,-32.70,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-36.57,-100.00,1.44,-35.13,-96.07,4.80,-31.77,-86.87,3.03,-33.54,-91.72,1.76,-34.81,-95.18,***,***,***,***,***,***,***,***,***,0.00,-36.57,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,0.89,***,***,***,11.55,10.66,1197.31,***,***,***,43.93,43.04,4835.69,28.72,27.83,3126.96,***,***,***,***,***,***,***,***,***,***,***,***,0.08,-0.81,-90.63,2.14,1.25,140.02,***,***,***,0.72,-0.17,-18.75,24.41,23.52,2642.13,***,***,***,***,***,***,***,***,***,0.00,-0.89,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,17.90,52.66,34.76,194.21,47.66,29.76,166.28,23.70,5.80,32.39,11.76,-6.14,-34.28,12.59,-5.31,-29.65,9.63,-8.27,-46.19,***,***,***,***,***,***,***,***,***,***,***,***,2.53,-15.37,-85.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,8.48,0.21,-8.27,-97.48,0.00,-8.48,-100.00,0.00,-8.48,-100.00,0.00,-8.48,-100.00,0.00,-8.48,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-8.48,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-8.48,-100.00,***,***,***,***,***,***
FABCO1T0806,11.85,0.47,-11.38,-96.00,0.00,-11.85,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-11.85,-100.00
FABCO1T0807,0.47,11.26,10.79,2274.38,0.00,-0.47,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.47,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,0.00,0.64,0.64,***,4.21,4.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00
FABCO1T0824,7.48,***,***,***,4.38,-3.09,-41.38,1.00,-6.48,-86.63,0.20,-7.28,-97.34,0.35,-7.12,-95.28,0.00,-7.48,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,7.64,***,***,0.00,***,***,0.29,***,***,0.00,***,***,0.70,***,***,***,***,***,0.42,***,***,3.77,***,***,0.86,***,***,0.17,***,***,3.03,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
