ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,3.05,***,***,***,1.74,-1.31,-42.82,***,***,***,1.76,-1.29,-42.25,2.26,-0.79,-25.76,***,***,***,***,***,***,***,***,***,***,***,***,0.06,-2.99,-98.03,0.15,-2.90,-95.08,0.09,-2.96,-97.21,0.42,-2.63,-86.22,0.00,-3.05,-100.00,***,***,***,***,***,***,***,***,***,0.18,-2.87,-94.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,2.04,***,***,***,2.39,0.36,17.42,***,***,***,3.00,0.96,46.99,5.12,3.09,151.41,***,***,***,***,***,***,***,***,***,***,***,***,0.11,-1.93,-94.85,0.07,-1.97,-96.69,0.07,-1.97,-96.56,0.35,-1.69,-83.07,0.00,-2.04,-100.00,***,***,***,***,***,***,***,***,***,0.18,-1.86,-91.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,1.30,***,***,***,1.47,0.17,13.13,***,***,***,1.63,0.34,25.87,1.68,0.38,29.54,***,***,***,***,***,***,***,***,***,***,***,***,0.10,-1.20,-92.55,0.06,-1.24,-95.37,0.01,-1.29,-99.23,0.47,-0.83,-64.09,0.00,-1.30,-100.00,***,***,***,***,***,***,***,***,***,0.64,-0.66,-50.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,3.45,3.62,0.17,5.00,3.34,-0.11,-3.12,0.06,-3.39,-98.26,0.13,-3.32,-96.37,0.24,-3.21,-93.04,0.33,-3.12,-90.57,***,***,***,***,***,***,***,***,***,***,***,***,0.25,-3.20,-92.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,2.79,2.66,-0.13,-4.75,3.01,0.22,7.89,0.13,-2.66,-95.43,0.09,-2.71,-96.95,0.30,-2.49,-89.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.48,-2.32,-82.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.33,-2.46,-88.17,***,***,***,***,***,***
FABCO1T0806,2.99,1.90,-1.10,-36.62,1.44,-1.55,-51.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.12,-2.87,-95.90
FABCO1T0807,1.78,1.67,-0.12,-6.59,1.35,-0.44,-24.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,-1.59,-88.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,0.77,1.13,0.36,46.10,1.37,0.60,77.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.27,-0.50,-65.26
FABCO1T0824,2.42,***,***,***,2.60,0.18,7.45,0.07,-2.35,-97.21,0.20,-2.22,-91.73,0.68,-1.74,-72.08,0.27,-2.15,-88.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,0.91,***,***,0.07,***,***,0.07,***,***,0.03,***,***,0.04,***,***,***,***,***,0.03,***,***,0.74,***,***,0.06,***,***,0.02,***,***,0.41,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0810,***,***,***,***,1.85,***,***,0.41,***,***,0.21,***,***,0.26,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***,0.08,***,***,0.05,***,***,0.64,***,***,0.94,***,***,0.07,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0811,***,***,***,***,1.94,***,***,0.00,***,***,0.00,***,***,0.01,***,***,0.17,***,***,***,***,***,0.31,***,***,0.93,***,***,0.02,***,***,0.06,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***,0.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0812,***,***,***,***,1.53,***,***,0.00,***,***,0.00,***,***,0.05,***,***,0.01,***,***,***,***,***,0.74,***,***,0.84,***,***,0.01,***,***,0.03,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,1.39,***,***,0.10,***,***,0.09,***,***,0.12,***,***,0.41,***,***,***,***,***,***,***,***,***,***,***,0.28,***,***,0.09,***,***,0.05,***,***,0.14,***,***,0.64,***,***,0.14,***,***,***,***,***,***,***,***,0.01,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,1.21,***,***,0.35,***,***,0.12,***,***,0.10,***,***,0.23,***,***,***,***,***,***,***,***,***,***,***,0.14,***,***,0.43,***,***,0.02,***,***,0.26,***,***,0.48,***,***,0.12,***,***,***,***,***,***,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***,0.01,***,***,***,***,***
FABCO1T0816,***,***,***,***,2.34,***,***,0.00,***,***,0.12,***,***,0.21,***,***,0.69,***,***,0.59,***,***,***,***,***,***,***,***,0.31,***,***,0.16,***,***,0.13,***,***,0.49,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,1.48,***,***,0.00,***,***,0.11,***,***,0.35,***,***,0.29,***,***,0.57,***,***,***,***,***,***,***,***,0.08,***,***,0.01,***,***,0.04,***,***,0.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,1.82,***,***,0.00,***,***,0.05,***,***,0.04,***,***,0.30,***,***,0.60,***,***,***,***,***,***,***,***,0.29,***,***,0.33,***,***,0.22,***,***,0.72,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0819,***,***,***,***,2.07,***,***,0.00,***,***,0.02,***,***,0.04,***,***,0.89,***,***,0.88,***,***,***,***,***,***,***,***,0.03,***,***,0.02,***,***,0.13,***,***,0.27,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0822,***,***,***,***,1.44,***,***,***,***,***,3.38,***,***,3.89,***,***,2.74,***,***,***,***,***,***,***,***,***,***,***,0.23,***,***,1.01,***,***,0.72,***,***,0.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0823,***,***,***,***,1.26,***,***,***,***,***,2.05,***,***,2.62,***,***,1.85,***,***,***,***,***,***,***,***,***,***,***,0.44,***,***,1.19,***,***,0.86,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0825,***,***,***,***,1.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0826,***,***,***,***,2.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0827,***,***,***,***,1.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.29,2.19,0.09,4.11,1.83,0.46,19.93,0.09,2.20,96.06,0.72,1.56,68.35,1.00,1.29,56.34,0.62,1.66,72.74,0.66,1.63,71.16,0.36,1.93,84.25,0.83,1.45,63.55,0.15,2.13,93.31,0.26,2.03,88.59,0.20,2.09,91.27,0.41,1.88,82.02,0.23,2.06,90.01,0.11,2.18,95.37,0.44,1.85,80.76,0.20,2.09,91.36,0.28,2.01,87.85,0.21,2.08,90.92,0.25,2.03,88.90,0.33,1.96,85.57,0.01,2.28,99.56,0.20,2.09,91.47
