ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,30.42,***,***,***,17.39,-13.03,-42.82,***,***,***,17.57,-12.85,-42.25,22.59,-7.84,-25.76,***,***,***,***,***,***,***,***,***,***,***,***,0.60,-29.82,-98.03,1.50,-28.92,-95.08,0.85,-29.57,-97.21,4.19,-26.23,-86.22,0.00,-30.42,-100.00,***,***,***,***,***,***,***,***,***,1.80,-28.62,-94.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,20.34,***,***,***,23.88,3.54,17.42,***,***,***,29.90,9.56,46.99,51.14,30.80,151.41,***,***,***,***,***,***,***,***,***,***,***,***,1.05,-19.29,-94.85,0.67,-19.67,-96.69,0.70,-19.64,-96.56,3.44,-16.90,-83.07,0.00,-20.34,-100.00,***,***,***,***,***,***,***,***,***,1.75,-18.59,-91.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,12.93,***,***,***,14.62,1.70,13.13,***,***,***,16.27,3.34,25.87,16.75,3.82,29.54,***,***,***,***,***,***,***,***,***,***,***,***,0.96,-11.96,-92.55,0.60,-12.33,-95.37,0.10,-12.83,-99.23,4.64,-8.29,-64.09,0.00,-12.93,-100.00,***,***,***,***,***,***,***,***,***,6.39,-6.54,-50.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,34.41,36.14,1.72,5.00,33.34,-1.07,-3.12,0.60,-33.82,-98.26,1.25,-33.17,-96.37,2.40,-32.02,-93.04,3.24,-31.17,-90.57,***,***,***,***,***,***,***,***,***,***,***,***,2.52,-31.89,-92.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,27.85,26.53,-1.32,-4.75,30.05,2.20,7.89,1.27,-26.58,-95.43,0.85,-27.00,-96.95,2.97,-24.88,-89.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.74,-23.11,-82.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.29,-24.56,-88.17,***,***,***,***,***,***
FABCO1T0806,29.85,18.92,-10.93,-36.62,14.40,-15.45,-51.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.22,-28.62,-95.90
FABCO1T0807,17.79,16.62,-1.17,-6.59,13.45,-4.34,-24.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.97,-15.82,-88.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,7.69,11.23,3.54,46.10,13.68,5.99,77.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.67,-5.02,-65.26
FABCO1T0824,24.13,***,***,***,25.93,1.80,7.45,0.67,-23.46,-97.21,2.00,-22.14,-91.73,6.74,-17.39,-72.08,2.67,-21.46,-88.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,9.08,***,***,0.67,***,***,0.72,***,***,0.27,***,***,0.40,***,***,***,***,***,0.32,***,***,7.34,***,***,0.62,***,***,0.22,***,***,4.09,***,***,***,***,***,***,***,***,***,***,***,1.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0810,***,***,***,***,18.42,***,***,4.09,***,***,2.10,***,***,2.60,***,***,5.09,***,***,***,***,***,***,***,***,***,***,***,1.50,***,***,0.80,***,***,0.50,***,***,6.39,***,***,9.33,***,***,0.65,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,5.07,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0811,***,***,***,***,19.32,***,***,0.00,***,***,0.00,***,***,0.12,***,***,1.67,***,***,***,***,***,3.12,***,***,9.23,***,***,0.22,***,***,0.61,***,***,1.40,***,***,***,***,***,***,***,***,***,***,***,7.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0812,***,***,***,***,15.22,***,***,0.00,***,***,0.00,***,***,0.52,***,***,0.12,***,***,***,***,***,7.34,***,***,8.39,***,***,0.10,***,***,0.30,***,***,0.82,***,***,***,***,***,***,***,***,***,***,***,4.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,13.88,***,***,0.95,***,***,0.92,***,***,1.15,***,***,4.04,***,***,***,***,***,***,***,***,***,***,***,2.80,***,***,0.85,***,***,0.50,***,***,1.35,***,***,6.36,***,***,1.37,***,***,***,***,***,***,***,***,0.13,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,12.03,***,***,3.44,***,***,1.17,***,***,0.95,***,***,2.27,***,***,***,***,***,***,***,***,***,***,***,1.40,***,***,4.32,***,***,0.20,***,***,2.55,***,***,4.82,***,***,1.15,***,***,***,***,***,***,***,***,0.70,***,***,***,***,***,***,***,***,***,***,***,0.10,***,***,***,***,***
FABCO1T0816,***,***,***,***,23.38,***,***,0.00,***,***,1.22,***,***,2.07,***,***,6.91,***,***,5.91,***,***,***,***,***,***,***,***,3.07,***,***,1.57,***,***,1.25,***,***,4.87,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,4.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,14.80,***,***,0.00,***,***,1.05,***,***,3.44,***,***,2.92,***,***,5.67,***,***,***,***,***,***,***,***,0.75,***,***,0.10,***,***,0.35,***,***,3.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,18.14,***,***,0.00,***,***,0.52,***,***,0.35,***,***,3.02,***,***,6.01,***,***,***,***,***,***,***,***,2.87,***,***,3.32,***,***,2.20,***,***,7.19,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,7.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0819,***,***,***,***,20.69,***,***,0.00,***,***,0.22,***,***,0.35,***,***,8.88,***,***,8.73,***,***,***,***,***,***,***,***,0.32,***,***,0.20,***,***,1.25,***,***,2.72,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0822,***,***,***,***,14.37,***,***,***,***,***,33.77,***,***,38.81,***,***,27.38,***,***,***,***,***,***,***,***,***,***,***,2.27,***,***,10.08,***,***,7.14,***,***,7.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0823,***,***,***,***,12.55,***,***,***,***,***,20.49,***,***,26.15,***,***,18.47,***,***,***,***,***,***,***,***,***,***,***,4.39,***,***,11.88,***,***,8.56,***,***,1.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
