ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,3.33,***,***,***,1.38,-1.95,-58.48,***,***,***,1.16,-2.18,-65.32,0.67,-2.67,-80.03,***,***,***,***,***,***,***,***,***,***,***,***,0.30,-3.03,-90.99,0.42,-2.92,-87.54,0.44,-2.89,-86.86,0.47,-2.87,-86.04,1.12,-2.21,-66.29,***,***,***,***,***,***,***,***,***,0.29,-3.05,-91.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,2.10,***,***,***,1.08,-1.02,-48.39,***,***,***,1.77,-0.33,-15.61,0.94,-1.16,-55.30,***,***,***,***,***,***,***,***,***,***,***,***,0.14,-1.96,-93.33,0.57,-1.53,-72.82,0.56,-1.54,-73.30,0.75,-1.35,-64.12,2.69,0.59,28.25,***,***,***,***,***,***,***,***,***,0.23,-1.87,-89.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,1.93,***,***,***,0.81,-1.12,-57.85,***,***,***,1.39,-0.54,-27.89,0.50,-1.43,-74.06,***,***,***,***,***,***,***,***,***,***,***,***,0.06,-1.87,-97.04,0.29,-1.64,-85.08,0.86,-1.07,-55.51,0.68,-1.25,-64.72,2.98,1.05,54.60,***,***,***,***,***,***,***,***,***,0.33,-1.60,-83.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,3.78,1.38,-2.40,-63.40,0.97,-2.81,-74.39,0.12,-3.66,-96.76,0.28,-3.50,-92.59,0.52,-3.26,-86.17,0.74,-3.04,-80.54,***,***,***,***,***,***,***,***,***,***,***,***,0.38,-3.40,-89.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,2.52,1.32,-1.20,-47.67,1.63,-0.90,-35.48,0.13,-2.40,-95.04,0.24,-2.28,-90.49,0.44,-2.08,-82.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.45,-2.07,-82.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.54,-1.98,-78.59,***,***,***,***,***,***
FABCO1T0806,3.27,0.95,-2.32,-70.90,0.80,-2.47,-75.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.31,-2.95,-90.43
FABCO1T0807,3.07,1.64,-1.44,-46.74,1.21,-1.87,-60.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.18,-2.89,-94.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,2.02,0.79,-1.23,-60.82,0.55,-1.48,-72.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.23,-1.79,-88.50
FABCO1T0824,1.58,***,***,***,1.61,0.04,2.22,0.00,-1.58,-99.84,0.63,-0.95,-60.22,0.64,-0.94,-59.43,0.64,-0.94,-59.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,1.85,***,***,0.11,***,***,0.32,***,***,0.50,***,***,0.80,***,***,***,***,***,0.52,***,***,0.71,***,***,0.02,***,***,0.41,***,***,1.04,***,***,***,***,***,***,***,***,***,***,***,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
