ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,16.62,***,***,***,6.90,-9.72,-58.48,***,***,***,5.76,-10.86,-65.32,3.32,-13.30,-80.03,***,***,***,***,***,***,***,***,***,***,***,***,1.50,-15.12,-90.99,2.07,-14.55,-87.54,2.18,-14.44,-86.86,2.32,-14.30,-86.04,5.60,-11.02,-66.29,***,***,***,***,***,***,***,***,***,1.42,-15.20,-91.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,10.47,***,***,***,5.40,-5.07,-48.39,***,***,***,8.83,-1.63,-15.61,4.68,-5.79,-55.30,***,***,***,***,***,***,***,***,***,***,***,***,0.70,-9.77,-93.33,2.85,-7.62,-72.82,2.80,-7.67,-73.30,3.76,-6.71,-64.12,13.43,2.96,28.25,***,***,***,***,***,***,***,***,***,1.15,-9.32,-89.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,9.62,***,***,***,4.06,-5.57,-57.85,***,***,***,6.94,-2.68,-27.89,2.50,-7.13,-74.06,***,***,***,***,***,***,***,***,***,***,***,***,0.28,-9.34,-97.04,1.43,-8.19,-85.08,4.28,-5.34,-55.51,3.39,-6.23,-64.72,14.87,5.25,54.60,***,***,***,***,***,***,***,***,***,1.62,-8.00,-83.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,18.85,6.90,-11.95,-63.40,4.83,-14.03,-74.39,0.61,-18.24,-96.76,1.40,-17.46,-92.59,2.61,-16.25,-86.17,3.67,-15.19,-80.54,***,***,***,***,***,***,***,***,***,***,***,***,1.91,-16.95,-89.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,12.59,6.59,-6.00,-47.67,8.12,-4.47,-35.48,0.62,-11.97,-95.04,1.20,-11.39,-90.49,2.21,-10.38,-82.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.25,-10.34,-82.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.70,-9.90,-78.59,***,***,***,***,***,***
FABCO1T0806,16.30,4.74,-11.55,-70.90,3.97,-12.33,-75.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.56,-14.74,-90.43
FABCO1T0807,15.32,8.16,-7.16,-46.74,6.01,-9.31,-60.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.89,-14.44,-94.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,10.09,3.96,-6.14,-60.82,2.73,-7.36,-72.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.16,-8.93,-88.50
FABCO1T0824,7.87,***,***,***,8.05,0.17,2.22,0.01,-7.86,-99.84,3.13,-4.74,-60.22,3.19,-4.68,-59.43,3.19,-4.68,-59.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,9.21,***,***,0.55,***,***,1.58,***,***,2.51,***,***,3.99,***,***,***,***,***,2.58,***,***,3.54,***,***,0.11,***,***,2.06,***,***,5.20,***,***,***,***,***,***,***,***,***,***,***,2.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
