ProjectUnit = FABCO1T08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year09-Attr,Re01Year09-Diff,Re01Year09-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year15-Attr,Re01Year15-Diff,Re01Year15-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,Post03-Attr,Post03-Diff,Post03-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re01Year1-Attr,Re01Year1-Diff,Re01Year1-%Diff,Re03Year1-Attr,Re03Year1-Diff,Re03Year1-%Diff,Re03Year01-Attr,Re03Year01-Diff,Re03Year01-%Diff,Re03Year2-Attr,Re03Year2-Diff,Re03Year2-%Diff,Re01year05-Attr,Re01year05-Diff,Re01year05-%Diff,Re03Year02-Attr,Re03Year02-Diff,Re03Year02-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FABCO1T0801,69.64,***,***,***,55.37,-14.27,-20.49,***,***,***,49.99,-19.64,-28.21,53.23,-16.41,-23.56,***,***,***,***,***,***,***,***,***,***,***,***,5.94,-63.70,-91.48,8.76,-60.88,-87.43,16.06,-53.57,-76.93,21.14,-48.50,-69.64,40.21,-29.43,-42.25,***,***,***,***,***,***,***,***,***,8.30,-61.34,-88.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0802,70.59,***,***,***,70.01,-0.58,-0.82,***,***,***,119.27,48.68,68.97,105.72,35.13,49.77,***,***,***,***,***,***,***,***,***,***,***,***,12.45,-58.14,-82.36,6.16,-64.43,-91.28,8.67,-61.92,-87.72,16.54,-54.04,-76.56,38.45,-32.14,-45.53,***,***,***,***,***,***,***,***,***,10.10,-60.49,-85.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0803,40.80,***,***,***,64.68,23.88,58.52,***,***,***,83.61,42.81,104.92,58.00,17.20,42.16,***,***,***,***,***,***,***,***,***,***,***,***,1.41,-39.39,-96.55,5.47,-35.33,-86.58,6.09,-34.72,-85.08,15.73,-25.07,-61.45,62.88,22.08,54.12,***,***,***,***,***,***,***,***,***,8.61,-32.19,-78.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0804,81.93,126.89,44.96,54.87,115.41,33.47,40.85,41.63,-40.31,-49.19,52.95,-28.98,-35.37,44.83,-37.10,-45.28,42.77,-39.17,-47.80,***,***,***,***,***,***,***,***,***,***,***,***,12.74,-69.19,-84.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0805,69.38,45.62,-23.76,-34.25,49.83,-19.56,-28.18,2.45,-66.93,-96.47,2.64,-66.75,-96.20,5.92,-63.46,-91.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.49,-58.90,-84.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,14.01,-55.37,-79.80,***,***,***,***,***,***
FABCO1T0806,83.04,44.45,-38.59,-46.47,44.87,-38.17,-45.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.85,-74.19,-89.34
FABCO1T0807,46.03,57.15,11.13,24.17,50.35,4.32,9.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.71,-38.32,-83.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0815,26.60,34.83,8.23,30.96,45.84,19.24,72.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.45,-14.14,-53.18
FABCO1T0824,51.14,***,***,***,56.92,5.77,11.29,3.91,-47.23,-92.35,10.27,-40.87,-79.92,16.36,-34.78,-68.01,12.25,-38.89,-76.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0809,***,***,***,***,39.93,***,***,7.08,***,***,6.96,***,***,8.45,***,***,13.62,***,***,***,***,***,16.52,***,***,32.88,***,***,13.97,***,***,11.71,***,***,21.39,***,***,***,***,***,***,***,***,***,***,***,18.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0810,***,***,***,***,74.40,***,***,33.06,***,***,35.07,***,***,38.72,***,***,84.77,***,***,***,***,***,***,***,***,***,***,***,36.91,***,***,46.29,***,***,29.37,***,***,37.63,***,***,65.93,***,***,12.92,***,***,***,***,***,***,***,***,13.73,***,***,***,***,***,21.01,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0811,***,***,***,***,106.65,***,***,63.94,***,***,64.71,***,***,73.49,***,***,76.48,***,***,***,***,***,69.09,***,***,61.13,***,***,10.08,***,***,27.93,***,***,15.69,***,***,***,***,***,***,***,***,***,***,***,25.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0812,***,***,***,***,93.28,***,***,48.67,***,***,50.21,***,***,55.64,***,***,56.66,***,***,***,***,***,181.05,***,***,134.80,***,***,76.54,***,***,41.07,***,***,53.54,***,***,***,***,***,***,***,***,***,***,***,133.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0813,***,***,***,***,73.44,***,***,13.67,***,***,15.22,***,***,18.37,***,***,30.06,***,***,***,***,***,***,***,***,***,***,***,26.87,***,***,35.57,***,***,31.17,***,***,37.09,***,***,66.09,***,***,10.11,***,***,***,***,***,***,***,***,1.36,***,***,***,***,***,7.29,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0814,***,***,***,***,80.12,***,***,43.79,***,***,40.52,***,***,44.56,***,***,51.25,***,***,***,***,***,***,***,***,***,***,***,31.26,***,***,29.77,***,***,18.65,***,***,58.29,***,***,61.89,***,***,19.30,***,***,***,***,***,***,***,***,20.11,***,***,***,***,***,***,***,***,***,***,***,18.19,***,***,***,***,***
FABCO1T0816,***,***,***,***,65.81,***,***,6.12,***,***,13.60,***,***,10.20,***,***,25.30,***,***,41.48,***,***,***,***,***,***,***,***,12.97,***,***,17.11,***,***,20.38,***,***,32.51,***,***,39.86,***,***,***,***,***,***,***,***,***,***,***,14.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0817,***,***,***,***,49.14,***,***,19.36,***,***,12.53,***,***,12.93,***,***,25.67,***,***,38.91,***,***,***,***,***,***,***,***,30.98,***,***,40.01,***,***,41.58,***,***,55.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0818,***,***,***,***,32.13,***,***,3.13,***,***,3.13,***,***,13.96,***,***,19.68,***,***,30.51,***,***,***,***,***,***,***,***,15.10,***,***,23.21,***,***,19.69,***,***,25.13,***,***,27.11,***,***,***,***,***,***,***,***,***,***,***,20.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0819,***,***,***,***,37.94,***,***,7.20,***,***,9.31,***,***,15.57,***,***,21.63,***,***,41.94,***,***,***,***,***,***,***,***,3.23,***,***,24.10,***,***,15.76,***,***,18.73,***,***,19.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FABCO1T0822,***,***,***,***,46.81,***,***,***,***,***,51.76,***,***,46.70,***,***,60.93,***,***,***,***,***,***,***,***,***,***,***,11.77,***,***,21.98,***,***,16.15,***,***,18.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
