ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,0.10,0.02,-0.08,-79.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,0.14,***,***,0.18,***,***,***,***,***,***,***,***,0.40,***,***,0.19,***,***,***,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.03,***,***
FPIPO1T0205,***,0.08,***,***,0.15,***,***,0.10,***,***,0.02,***,***,0.16,***,***,0.16,***,***,***,***,***,0.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
FPIPO1T0206,***,1.15,***,***,0.07,***,***,0.02,***,***,0.05,***,***,0.30,***,***,0.16,***,***,***,***,***,0.29,***,***,***,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,0.08,***,***,0.06,***,***,0.03,***,***,0.04,***,***,0.34,***,***,0.05,***,***,***,***,***,0.20,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,0.05,***,***,0.02,***,***,0.04,***,***,0.13,***,***,0.04,***,***,***,***,***,0.04,***,***,***,***,***,0.03,***,***,0.05,***,***,0.11,***,***,0.07,***,***,***,***,***,***,***,***
FPIPO1T0212,***,0.10,***,***,0.02,***,***,0.04,***,***,0.04,***,***,0.08,***,***,***,***,***,0.07,***,***,***,***,***,0.10,***,***,0.15,***,***,0.15,***,***,0.07,***,***,***,***,***,***,***,***
FPIPO1T0213,***,0.10,***,***,0.06,***,***,0.21,***,***,0.08,***,***,0.10,***,***,0.06,***,***,***,***,***,***,***,***,0.05,***,***,0.05,***,***,0.11,***,***,0.06,***,***,***,***,***,***,***,***
FPIPO1T0216,***,0.02,***,***,0.05,***,***,0.02,***,***,0.02,***,***,0.02,***,***,0.02,***,***,***,***,***,***,***,***,0.02,***,***,0.04,***,***,0.06,***,***,0.03,***,***,***,***,***,***,***,***
FPIPO1T0218,***,0.10,***,***,0.05,***,***,0.06,***,***,0.05,***,***,0.06,***,***,0.08,***,***,***,***,***,***,***,***,0.04,***,***,0.09,***,***,0.17,***,***,0.12,***,***,***,***,***,***,***,***
FPIPO1T0219,***,0.03,***,***,0.02,***,***,0.10,***,***,0.19,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,0.09,***,***,0.09,***,***,0.13,***,***,0.12,***,***,0.16,***,***,***,***,***
FPIPO1T0221,***,0.07,***,***,0.06,***,***,0.03,***,***,0.05,***,***,0.04,***,***,***,***,***,***,***,***,***,***,***,0.04,***,***,0.04,***,***,0.01,***,***,0.00,***,***,0.04,***,***,***,***,***
FPIPO1T0222,***,0.12,***,***,0.04,***,***,0.11,***,***,0.09,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,0.05,***,***,0.06,***,***,0.00,***,***,0.04,***,***,***,***,***
FPIPO1T0223,***,0.16,***,***,0.04,***,***,0.05,***,***,0.05,***,***,0.05,***,***,***,***,***,***,***,***,***,***,***,0.05,***,***,0.05,***,***,0.12,***,***,0.02,***,***,0.04,***,***,***,***,***
FPIPO1T0224,***,0.12,***,***,0.04,***,***,0.04,***,***,0.05,***,***,0.04,***,***,***,***,***,***,***,***,***,***,***,0.16,***,***,0.12,***,***,0.13,***,***,0.03,***,***,0.20,***,***,***,***,***
FPIPO1T0217,***,***,***,***,0.08,***,***,0.15,***,***,0.03,***,***,0.04,***,***,0.05,***,***,***,***,***,***,***,***,0.11,***,***,0.05,***,***,0.04,***,***,0.05,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,0.07,***,***,0.10,***,***,0.16,***,***,0.07,***,***,***,***,***,***,***,***,***,***,***,0.02,***,***,0.02,***,***,0.10,***,***,0.12,***,***,0.10,***,***,***,***,***
FPIPO1T0225,***,***,***,***,0.05,***,***,0.02,***,***,0.14,***,***,0.12,***,***,0.10,***,***,***,***,***,***,***,***,0.02,***,***,0.09,***,***,0.04,***,***,0.01,***,***,***,***,***,***,***,***
Mean,0.10,0.16,-0.06,-54.98,0.06,0.04,37.37,0.07,0.03,30.05,0.07,0.03,25.85,0.12,-0.02,-17.73,0.10,0.00,3.49,0.06,0.04,42.36,0.20,-0.10,-99.91,0.06,0.04,43.62,0.06,0.04,35.70,0.09,0.01,6.73,0.05,0.05,45.91,0.10,0.00,2.75,0.02,0.08,82.04
