ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,11.99,32.66,20.67,172.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,0.86,***,***,0.00,***,***,***,***,***,***,***,***,2.54,***,***,5.36,***,***,***,***,***,13.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.76,***,***
FPIPO1T0205,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.40,***,***,***,***,***,0.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
FPIPO1T0206,***,0.36,***,***,0.00,***,***,0.00,***,***,0.00,***,***,3.63,***,***,4.31,***,***,***,***,***,15.41,***,***,***,***,***,5.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,0.46,***,***,0.00,***,***,0.00,***,***,0.51,***,***,1.45,***,***,0.31,***,***,***,***,***,41.93,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,2.53,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,1.93,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
FPIPO1T0212,***,0.18,***,***,0.18,***,***,0.18,***,***,0.00,***,***,0.00,***,***,***,***,***,0.52,***,***,***,***,***,0.20,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
FPIPO1T0213,***,1.02,***,***,1.87,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.65,***,***,***,***,***,***,***,***,0.73,***,***,0.00,***,***,1.04,***,***,0.74,***,***,***,***,***,***,***,***
FPIPO1T0216,***,17.90,***,***,42.21,***,***,0.00,***,***,2.17,***,***,0.61,***,***,1.01,***,***,***,***,***,***,***,***,2.09,***,***,1.03,***,***,***,***,***,0.35,***,***,***,***,***,***,***,***
FPIPO1T0218,***,41.19,***,***,0.21,***,***,0.00,***,***,0.80,***,***,0.82,***,***,3.41,***,***,***,***,***,***,***,***,2.65,***,***,12.52,***,***,19.19,***,***,7.88,***,***,***,***,***,***,***,***
FPIPO1T0219,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,0.75,***,***,4.74,***,***,0.24,***,***,5.42,***,***,***,***,***
FPIPO1T0221,***,13.62,***,***,9.54,***,***,19.73,***,***,26.62,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,3.17,***,***,5.39,***,***,1.14,***,***,9.26,***,***,5.71,***,***,***,***,***
FPIPO1T0222,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.81,***,***,0.18,***,***,2.05,***,***,8.35,***,***,9.58,***,***,***,***,***
FPIPO1T0223,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,3.57,***,***,***,***,***,***,***,***,***,***,***,8.28,***,***,2.97,***,***,5.85,***,***,0.72,***,***,4.61,***,***,***,***,***
FPIPO1T0224,***,0.00,***,***,0.00,***,***,2.15,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.29,***,***,0.59,***,***,0.00,***,***,1.77,***,***,***,***,***
FPIPO1T0217,***,***,***,***,4.52,***,***,18.98,***,***,0.91,***,***,2.59,***,***,8.59,***,***,***,***,***,***,***,***,4.93,***,***,2.11,***,***,0.00,***,***,1.26,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,0.44,***,***,0.28,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.43,***,***,3.06,***,***,2.33,***,***,***,***,***
FPIPO1T0225,***,***,***,***,0.36,***,***,0.00,***,***,0.00,***,***,5.98,***,***,14.98,***,***,***,***,***,***,***,***,13.10,***,***,7.86,***,***,10.75,***,***,5.35,***,***,***,***,***,***,***,***
Mean,11.99,7.39,4.61,38.41,3.49,8.50,70.89,2.58,9.41,78.46,1.94,10.05,83.84,1.25,10.74,89.60,4.34,7.65,63.84,1.22,10.77,89.80,17.94,-5.95,-49.58,2.78,9.21,76.79,2.73,9.26,77.26,3.81,8.18,68.19,2.86,9.13,76.13,4.90,7.09,59.10,1.38,10.61,88.50
