ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,34.05,1.17,-32.88,-96.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,0.00,***,***,11.03,***,***,***,***,***,***,***,***,50.79,***,***,28.02,***,***,***,***,***,26.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.50,***,***
FPIPO1T0205,***,4.11,***,***,10.90,***,***,10.90,***,***,18.80,***,***,15.58,***,***,3.48,***,***,***,***,***,9.83,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.06,***,***
FPIPO1T0206,***,0.00,***,***,0.00,***,***,0.00,***,***,5.50,***,***,6.36,***,***,5.68,***,***,***,***,***,5.46,***,***,***,***,***,31.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,0.00,***,***,0.63,***,***,0.63,***,***,2.03,***,***,8.76,***,***,14.68,***,***,***,***,***,18.91,***,***,***,***,***,3.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
FPIPO1T0212,***,1.46,***,***,1.44,***,***,3.82,***,***,0.58,***,***,11.18,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,3.20,***,***,2.20,***,***,4.12,***,***,***,***,***,***,***,***
FPIPO1T0213,***,85.97,***,***,55.98,***,***,98.11,***,***,98.02,***,***,99.12,***,***,129.76,***,***,***,***,***,***,***,***,129.60,***,***,98.16,***,***,129.12,***,***,90.95,***,***,***,***,***,***,***,***
FPIPO1T0216,***,30.39,***,***,0.00,***,***,1.72,***,***,0.00,***,***,2.16,***,***,1.08,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***
FPIPO1T0218,***,3.57,***,***,5.92,***,***,8.41,***,***,19.64,***,***,22.40,***,***,18.15,***,***,***,***,***,***,***,***,21.16,***,***,8.05,***,***,6.83,***,***,3.93,***,***,***,***,***,***,***,***
FPIPO1T0219,***,0.00,***,***,21.19,***,***,6.54,***,***,21.93,***,***,22.79,***,***,***,***,***,***,***,***,***,***,***,14.10,***,***,13.08,***,***,7.05,***,***,12.40,***,***,6.16,***,***,***,***,***
FPIPO1T0221,***,60.53,***,***,33.45,***,***,16.00,***,***,25.35,***,***,57.77,***,***,***,***,***,***,***,***,***,***,***,17.63,***,***,3.89,***,***,9.00,***,***,10.04,***,***,9.01,***,***,***,***,***
FPIPO1T0222,***,1.43,***,***,2.01,***,***,8.91,***,***,22.85,***,***,18.77,***,***,***,***,***,***,***,***,***,***,***,14.69,***,***,13.22,***,***,18.06,***,***,21.11,***,***,14.96,***,***,***,***,***
FPIPO1T0223,***,22.23,***,***,21.02,***,***,18.54,***,***,36.69,***,***,26.93,***,***,***,***,***,***,***,***,***,***,***,9.56,***,***,12.56,***,***,14.51,***,***,24.00,***,***,14.34,***,***,***,***,***
FPIPO1T0224,***,4.41,***,***,3.53,***,***,0.00,***,***,7.48,***,***,3.53,***,***,***,***,***,***,***,***,***,***,***,2.95,***,***,3.57,***,***,6.60,***,***,7.60,***,***,9.50,***,***,***,***,***
FPIPO1T0217,***,***,***,***,0.24,***,***,0.24,***,***,3.73,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,0.37,***,***,0.37,***,***,6.31,***,***,3.30,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,0.00,***,***,0.29,***,***,2.88,***,***,4.88,***,***,***,***,***,***,***,***,***,***,***,3.83,***,***,3.06,***,***,8.64,***,***,3.98,***,***,6.60,***,***,***,***,***
FPIPO1T0225,***,***,***,***,5.24,***,***,4.94,***,***,4.94,***,***,0.47,***,***,0.42,***,***,***,***,***,***,***,***,0.45,***,***,0.43,***,***,0.57,***,***,0.00,***,***,***,***,***,***,***,***
Mean,34.05,14.35,19.70,57.86,10.15,23.90,70.19,11.19,22.86,67.14,16.90,17.15,50.37,20.68,13.38,39.28,22.36,11.69,34.33,0.00,34.05,100.00,15.28,18.77,55.13,16.49,17.57,51.58,13.91,20.14,59.16,17.41,16.64,48.88,13.96,20.10,59.02,10.10,23.96,70.35,2.28,31.77,93.30
