ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,2.80,3.24,0.44,15.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,2.32,***,***,1.32,***,***,***,***,***,***,***,***,1.38,***,***,1.59,***,***,***,***,***,1.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***
FPIPO1T0205,***,2.04,***,***,0.12,***,***,0.36,***,***,0.59,***,***,0.42,***,***,0.64,***,***,***,***,***,1.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***
FPIPO1T0206,***,1.85,***,***,0.39,***,***,0.87,***,***,0.41,***,***,0.68,***,***,1.28,***,***,***,***,***,0.90,***,***,***,***,***,0.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,1.33,***,***,0.39,***,***,0.60,***,***,0.48,***,***,1.14,***,***,1.50,***,***,***,***,***,1.96,***,***,***,***,***,0.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,0.20,***,***,0.07,***,***,0.11,***,***,0.04,***,***,0.01,***,***,***,***,***,0.47,***,***,***,***,***,0.08,***,***,0.10,***,***,0.03,***,***,0.16,***,***,***,***,***,***,***,***
FPIPO1T0212,***,0.89,***,***,0.04,***,***,0.09,***,***,0.25,***,***,0.08,***,***,***,***,***,0.38,***,***,***,***,***,0.35,***,***,0.39,***,***,0.31,***,***,0.13,***,***,***,***,***,***,***,***
FPIPO1T0213,***,1.51,***,***,0.80,***,***,1.35,***,***,0.96,***,***,1.49,***,***,2.31,***,***,***,***,***,***,***,***,1.34,***,***,1.40,***,***,1.16,***,***,1.09,***,***,***,***,***,***,***,***
FPIPO1T0216,***,1.24,***,***,0.57,***,***,2.29,***,***,0.45,***,***,1.79,***,***,1.85,***,***,***,***,***,***,***,***,0.86,***,***,1.47,***,***,0.89,***,***,1.16,***,***,***,***,***,***,***,***
FPIPO1T0218,***,1.16,***,***,0.52,***,***,0.82,***,***,0.60,***,***,0.91,***,***,0.72,***,***,***,***,***,***,***,***,0.30,***,***,0.31,***,***,0.77,***,***,0.45,***,***,***,***,***,***,***,***
FPIPO1T0219,***,0.50,***,***,0.11,***,***,0.11,***,***,0.10,***,***,0.36,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,0.23,***,***,0.20,***,***,0.55,***,***,0.00,***,***,***,***,***
FPIPO1T0221,***,0.49,***,***,0.01,***,***,0.40,***,***,0.40,***,***,0.36,***,***,***,***,***,***,***,***,***,***,***,0.29,***,***,0.33,***,***,0.28,***,***,0.40,***,***,0.00,***,***,***,***,***
FPIPO1T0222,***,0.55,***,***,0.15,***,***,0.72,***,***,0.48,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***,0.42,***,***,0.23,***,***,0.11,***,***,0.20,***,***,0.00,***,***,***,***,***
FPIPO1T0223,***,0.60,***,***,0.02,***,***,0.64,***,***,0.79,***,***,0.61,***,***,***,***,***,***,***,***,***,***,***,0.49,***,***,0.19,***,***,0.12,***,***,0.51,***,***,0.00,***,***,***,***,***
FPIPO1T0224,***,0.38,***,***,0.06,***,***,0.20,***,***,0.30,***,***,0.34,***,***,***,***,***,***,***,***,***,***,***,0.20,***,***,0.20,***,***,0.22,***,***,0.21,***,***,0.00,***,***,***,***,***
FPIPO1T0217,***,***,***,***,0.38,***,***,0.57,***,***,0.54,***,***,1.18,***,***,0.75,***,***,***,***,***,***,***,***,0.56,***,***,0.80,***,***,0.93,***,***,0.78,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,0.07,***,***,0.54,***,***,0.47,***,***,0.64,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***,0.28,***,***,0.53,***,***,0.60,***,***,0.00,***,***,***,***,***
FPIPO1T0225,***,***,***,***,0.95,***,***,1.59,***,***,0.65,***,***,1.91,***,***,1.68,***,***,***,***,***,***,***,***,0.82,***,***,1.51,***,***,1.17,***,***,1.42,***,***,***,***,***,***,***,***
Mean,2.80,1.22,1.58,56.50,0.35,2.45,87.52,0.70,2.10,74.91,0.47,2.33,83.27,0.81,1.99,71.05,1.37,1.43,51.18,0.43,2.37,84.73,1.37,1.43,51.16,0.50,2.30,82.07,0.50,2.30,82.01,0.52,2.28,81.57,0.59,2.21,79.04,0.00,2.80,100.00,0.14,2.66,95.09
