ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,27.95,32.32,4.37,15.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,23.18,***,***,13.15,***,***,***,***,***,***,***,***,13.75,***,***,15.90,***,***,***,***,***,15.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.47,***,***
FPIPO1T0205,***,20.39,***,***,1.17,***,***,3.59,***,***,5.89,***,***,4.14,***,***,6.39,***,***,***,***,***,10.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.27,***,***
FPIPO1T0206,***,18.42,***,***,3.84,***,***,8.68,***,***,4.09,***,***,6.81,***,***,12.75,***,***,***,***,***,8.98,***,***,***,***,***,1.07,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,13.28,***,***,3.92,***,***,5.99,***,***,4.79,***,***,11.33,***,***,14.92,***,***,***,***,***,19.57,***,***,***,***,***,0.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,1.97,***,***,0.67,***,***,1.07,***,***,0.35,***,***,0.05,***,***,***,***,***,4.72,***,***,***,***,***,0.80,***,***,1.00,***,***,0.32,***,***,1.57,***,***,***,***,***,***,***,***
FPIPO1T0212,***,8.91,***,***,0.42,***,***,0.92,***,***,2.45,***,***,0.77,***,***,***,***,***,3.82,***,***,***,***,***,3.52,***,***,3.87,***,***,3.09,***,***,1.25,***,***,***,***,***,***,***,***
FPIPO1T0213,***,15.02,***,***,7.94,***,***,13.43,***,***,9.53,***,***,14.85,***,***,23.06,***,***,***,***,***,***,***,***,13.40,***,***,13.98,***,***,11.55,***,***,10.91,***,***,***,***,***,***,***,***
FPIPO1T0216,***,12.33,***,***,5.64,***,***,22.88,***,***,4.49,***,***,17.82,***,***,18.47,***,***,***,***,***,***,***,***,8.56,***,***,14.62,***,***,8.86,***,***,11.53,***,***,***,***,***,***,***,***
FPIPO1T0218,***,11.53,***,***,5.22,***,***,8.14,***,***,5.99,***,***,9.08,***,***,7.16,***,***,***,***,***,***,***,***,2.94,***,***,3.09,***,***,7.69,***,***,4.47,***,***,***,***,***,***,***,***
FPIPO1T0219,***,5.02,***,***,1.05,***,***,1.10,***,***,1.02,***,***,3.62,***,***,***,***,***,***,***,***,***,***,***,2.05,***,***,2.32,***,***,1.95,***,***,5.47,***,***,0.00,***,***,***,***,***
FPIPO1T0221,***,4.84,***,***,0.07,***,***,4.02,***,***,3.99,***,***,3.57,***,***,***,***,***,***,***,***,***,***,***,2.92,***,***,3.29,***,***,2.82,***,***,3.94,***,***,0.00,***,***,***,***,***
FPIPO1T0222,***,5.44,***,***,1.45,***,***,7.14,***,***,4.74,***,***,5.07,***,***,***,***,***,***,***,***,***,***,***,4.22,***,***,2.27,***,***,1.05,***,***,2.00,***,***,0.00,***,***,***,***,***
FPIPO1T0223,***,5.94,***,***,0.20,***,***,6.39,***,***,7.91,***,***,6.11,***,***,***,***,***,***,***,***,***,***,***,4.89,***,***,1.92,***,***,1.22,***,***,5.09,***,***,0.00,***,***,***,***,***
FPIPO1T0224,***,3.79,***,***,0.62,***,***,1.95,***,***,3.02,***,***,3.39,***,***,***,***,***,***,***,***,***,***,***,2.00,***,***,1.97,***,***,2.15,***,***,2.05,***,***,0.00,***,***,***,***,***
FPIPO1T0217,***,***,***,***,3.74,***,***,5.69,***,***,5.42,***,***,11.75,***,***,7.44,***,***,***,***,***,***,***,***,5.62,***,***,7.94,***,***,9.31,***,***,7.76,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,0.70,***,***,5.42,***,***,4.67,***,***,6.36,***,***,***,***,***,***,***,***,***,***,***,6.06,***,***,2.80,***,***,5.29,***,***,5.99,***,***,0.00,***,***,***,***,***
FPIPO1T0225,***,***,***,***,9.51,***,***,15.82,***,***,6.46,***,***,19.09,***,***,16.72,***,***,***,***,***,***,***,***,8.19,***,***,15.05,***,***,11.65,***,***,14.15,***,***,***,***,***,***,***,***
Mean,27.95,12.16,15.79,56.50,3.49,24.46,87.52,7.01,20.94,74.91,4.68,23.27,83.27,8.09,19.86,71.05,13.65,14.31,51.18,4.27,23.68,84.73,13.65,14.30,51.16,5.01,22.94,82.07,5.03,22.92,82.01,5.15,22.80,81.57,5.86,22.09,79.04,0.00,27.95,100.00,1.37,26.58,95.09
