ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,2.93,2.45,-0.48,-16.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,1.94,***,***,1.68,***,***,***,***,***,***,***,***,1.50,***,***,1.57,***,***,***,***,***,1.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.61,***,***
FPIPO1T0205,***,3.92,***,***,0.76,***,***,1.41,***,***,1.02,***,***,1.06,***,***,1.33,***,***,***,***,***,1.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.98,***,***
FPIPO1T0206,***,3.27,***,***,1.01,***,***,1.09,***,***,0.75,***,***,1.33,***,***,1.54,***,***,***,***,***,1.06,***,***,***,***,***,0.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,4.08,***,***,0.97,***,***,1.35,***,***,1.00,***,***,1.67,***,***,1.61,***,***,***,***,***,2.36,***,***,***,***,***,0.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,1.88,***,***,0.37,***,***,0.81,***,***,0.85,***,***,1.02,***,***,***,***,***,1.06,***,***,***,***,***,0.56,***,***,0.35,***,***,0.76,***,***,0.68,***,***,***,***,***,***,***,***
FPIPO1T0212,***,1.29,***,***,0.66,***,***,1.00,***,***,0.78,***,***,1.38,***,***,***,***,***,1.38,***,***,***,***,***,0.64,***,***,0.39,***,***,0.75,***,***,0.49,***,***,***,***,***,***,***,***
FPIPO1T0213,***,3.06,***,***,0.75,***,***,1.03,***,***,1.50,***,***,1.91,***,***,2.77,***,***,***,***,***,***,***,***,0.89,***,***,1.10,***,***,1.20,***,***,1.38,***,***,***,***,***,***,***,***
FPIPO1T0216,***,1.33,***,***,0.74,***,***,1.25,***,***,1.62,***,***,1.42,***,***,2.45,***,***,***,***,***,***,***,***,0.72,***,***,0.67,***,***,0.73,***,***,1.23,***,***,***,***,***,***,***,***
FPIPO1T0218,***,2.09,***,***,0.69,***,***,1.90,***,***,3.06,***,***,1.70,***,***,1.39,***,***,***,***,***,***,***,***,0.31,***,***,0.42,***,***,0.61,***,***,0.97,***,***,***,***,***,***,***,***
FPIPO1T0219,***,1.08,***,***,0.40,***,***,0.60,***,***,0.92,***,***,0.76,***,***,***,***,***,***,***,***,***,***,***,0.66,***,***,0.25,***,***,0.62,***,***,0.76,***,***,1.42,***,***,***,***,***
FPIPO1T0221,***,1.94,***,***,0.43,***,***,0.79,***,***,1.05,***,***,1.56,***,***,***,***,***,***,***,***,***,***,***,0.27,***,***,0.59,***,***,0.55,***,***,0.87,***,***,2.16,***,***,***,***,***
FPIPO1T0222,***,2.23,***,***,1.10,***,***,0.99,***,***,0.95,***,***,1.37,***,***,***,***,***,***,***,***,***,***,***,0.14,***,***,0.37,***,***,0.35,***,***,0.49,***,***,2.99,***,***,***,***,***
FPIPO1T0223,***,2.16,***,***,1.15,***,***,0.74,***,***,0.89,***,***,1.36,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,0.71,***,***,0.69,***,***,0.97,***,***,2.43,***,***,***,***,***
FPIPO1T0224,***,1.86,***,***,0.41,***,***,0.51,***,***,1.13,***,***,1.21,***,***,***,***,***,***,***,***,***,***,***,0.29,***,***,0.60,***,***,1.01,***,***,0.66,***,***,1.03,***,***,***,***,***
FPIPO1T0217,***,***,***,***,0.67,***,***,0.58,***,***,1.90,***,***,1.12,***,***,0.64,***,***,***,***,***,***,***,***,0.63,***,***,0.62,***,***,0.66,***,***,1.04,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,0.54,***,***,1.14,***,***,0.95,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,0.33,***,***,0.74,***,***,0.67,***,***,1.22,***,***,2.27,***,***,***,***,***
FPIPO1T0225,***,***,***,***,1.45,***,***,2.02,***,***,1.76,***,***,2.29,***,***,2.38,***,***,***,***,***,***,***,***,0.47,***,***,1.16,***,***,1.64,***,***,1.24,***,***,***,***,***,***,***,***
Mean,2.93,2.30,0.63,21.35,0.81,2.12,72.42,1.07,1.86,63.33,1.26,1.67,57.08,1.40,1.53,52.09,1.74,1.19,40.57,1.22,1.71,58.40,1.51,1.42,48.49,0.47,2.46,83.97,0.56,2.37,80.94,0.79,2.14,73.17,0.92,2.01,68.52,2.05,0.88,30.08,0.79,2.14,72.91
