ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,14.62,12.22,-2.41,-16.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,9.67,***,***,8.37,***,***,***,***,***,***,***,***,7.47,***,***,7.84,***,***,***,***,***,7.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.03,***,***
FPIPO1T0205,***,19.58,***,***,3.77,***,***,7.01,***,***,5.10,***,***,5.30,***,***,6.64,***,***,***,***,***,5.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.89,***,***
FPIPO1T0206,***,16.31,***,***,5.02,***,***,5.42,***,***,3.74,***,***,6.63,***,***,7.70,***,***,***,***,***,5.28,***,***,***,***,***,0.39,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,20.36,***,***,4.84,***,***,6.74,***,***,4.97,***,***,8.31,***,***,8.04,***,***,***,***,***,11.78,***,***,***,***,***,1.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,9.36,***,***,1.83,***,***,4.04,***,***,4.23,***,***,5.10,***,***,***,***,***,5.30,***,***,***,***,***,2.81,***,***,1.75,***,***,3.77,***,***,3.38,***,***,***,***,***,***,***,***
FPIPO1T0212,***,6.44,***,***,3.29,***,***,4.99,***,***,3.89,***,***,6.88,***,***,***,***,***,6.86,***,***,***,***,***,3.21,***,***,1.96,***,***,3.74,***,***,2.42,***,***,***,***,***,***,***,***
FPIPO1T0213,***,15.26,***,***,3.72,***,***,5.15,***,***,7.47,***,***,9.51,***,***,13.80,***,***,***,***,***,***,***,***,4.42,***,***,5.49,***,***,5.99,***,***,6.90,***,***,***,***,***,***,***,***
FPIPO1T0216,***,6.65,***,***,3.67,***,***,6.25,***,***,8.10,***,***,7.10,***,***,12.20,***,***,***,***,***,***,***,***,3.58,***,***,3.36,***,***,3.62,***,***,6.13,***,***,***,***,***,***,***,***
FPIPO1T0218,***,10.42,***,***,3.44,***,***,9.46,***,***,15.29,***,***,8.50,***,***,6.94,***,***,***,***,***,***,***,***,1.52,***,***,2.11,***,***,3.03,***,***,4.84,***,***,***,***,***,***,***,***
FPIPO1T0219,***,5.39,***,***,2.01,***,***,3.01,***,***,4.59,***,***,3.81,***,***,***,***,***,***,***,***,***,***,***,3.31,***,***,1.25,***,***,3.07,***,***,3.81,***,***,7.08,***,***,***,***,***
FPIPO1T0221,***,9.70,***,***,2.12,***,***,3.93,***,***,5.22,***,***,7.79,***,***,***,***,***,***,***,***,***,***,***,1.35,***,***,2.94,***,***,2.75,***,***,4.34,***,***,10.79,***,***,***,***,***
FPIPO1T0222,***,11.13,***,***,5.47,***,***,4.95,***,***,4.73,***,***,6.83,***,***,***,***,***,***,***,***,***,***,***,0.70,***,***,1.82,***,***,1.73,***,***,2.43,***,***,14.91,***,***,***,***,***
FPIPO1T0223,***,10.77,***,***,5.73,***,***,3.67,***,***,4.45,***,***,6.76,***,***,***,***,***,***,***,***,***,***,***,1.09,***,***,3.54,***,***,3.44,***,***,4.82,***,***,12.12,***,***,***,***,***
FPIPO1T0224,***,9.28,***,***,2.05,***,***,2.52,***,***,5.62,***,***,6.05,***,***,***,***,***,***,***,***,***,***,***,1.42,***,***,2.98,***,***,5.05,***,***,3.28,***,***,5.15,***,***,***,***,***
FPIPO1T0217,***,***,***,***,3.36,***,***,2.91,***,***,9.50,***,***,5.60,***,***,3.21,***,***,***,***,***,***,***,***,3.12,***,***,3.11,***,***,3.29,***,***,5.20,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,2.67,***,***,5.69,***,***,4.74,***,***,6.06,***,***,***,***,***,***,***,***,***,***,***,1.65,***,***,3.71,***,***,3.32,***,***,6.10,***,***,11.31,***,***,***,***,***
FPIPO1T0225,***,***,***,***,7.22,***,***,10.06,***,***,8.80,***,***,11.42,***,***,11.87,***,***,***,***,***,***,***,***,2.32,***,***,5.80,***,***,8.20,***,***,6.20,***,***,***,***,***,***,***,***
Mean,14.62,11.50,3.12,21.35,4.03,10.59,72.42,5.36,9.26,63.33,6.28,8.35,57.08,7.01,7.62,52.09,8.69,5.93,40.57,6.08,8.54,58.40,7.53,7.09,48.49,2.34,12.28,83.97,2.79,11.84,80.94,3.92,10.70,73.17,4.60,10.02,68.52,10.23,4.40,30.08,3.96,10.66,72.91
