ProjectUnit = FPIPO1T02
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year08-Attr,Re01Year08-Diff,Re01Year08-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,Re01Year12-Attr,Re01Year12-Diff,Re01Year12-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02Year10-Attr,Re02Year10-Diff,Re02Year10-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff
FPIPO1T0204,91.61,79.84,-11.78,-12.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0203,***,36.07,***,***,34.87,***,***,***,***,***,***,***,***,81.38,***,***,65.17,***,***,***,***,***,69.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.87,***,***
FPIPO1T0205,***,45.98,***,***,16.45,***,***,22.44,***,***,30.87,***,***,26.70,***,***,18.36,***,***,***,***,***,28.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.31,***,***
FPIPO1T0206,***,42.74,***,***,10.54,***,***,15.20,***,***,15.60,***,***,27.49,***,***,38.57,***,***,***,***,***,44.92,***,***,***,***,***,38.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0209,***,35.37,***,***,13.52,***,***,19.06,***,***,18.62,***,***,42.64,***,***,42.73,***,***,***,***,***,99.03,***,***,***,***,***,5.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FPIPO1T0211,***,14.52,***,***,2.61,***,***,6.07,***,***,5.77,***,***,6.26,***,***,***,***,***,14.50,***,***,***,***,***,4.92,***,***,3.56,***,***,5.50,***,***,5.63,***,***,***,***,***,***,***,***
FPIPO1T0212,***,20.28,***,***,5.43,***,***,10.56,***,***,7.49,***,***,21.26,***,***,***,***,***,13.78,***,***,***,***,***,8.09,***,***,10.85,***,***,11.24,***,***,9.98,***,***,***,***,***,***,***,***
FPIPO1T0213,***,119.80,***,***,71.40,***,***,119.11,***,***,116.26,***,***,125.24,***,***,169.39,***,***,***,***,***,***,***,***,150.55,***,***,119.80,***,***,150.32,***,***,111.47,***,***,***,***,***,***,***,***
FPIPO1T0216,***,67.89,***,***,51.94,***,***,32.32,***,***,15.61,***,***,29.08,***,***,33.68,***,***,***,***,***,***,***,***,15.61,***,***,20.04,***,***,13.60,***,***,21.06,***,***,***,***,***,***,***,***
FPIPO1T0218,***,68.09,***,***,16.74,***,***,29.78,***,***,45.18,***,***,44.81,***,***,38.70,***,***,***,***,***,***,***,***,29.30,***,***,26.16,***,***,37.81,***,***,22.78,***,***,***,***,***,***,***,***
FPIPO1T0219,***,12.86,***,***,26.01,***,***,12.42,***,***,28.43,***,***,30.97,***,***,***,***,***,***,***,***,***,***,***,21.43,***,***,18.25,***,***,17.55,***,***,24.69,***,***,21.33,***,***,***,***,***
FPIPO1T0221,***,93.08,***,***,45.94,***,***,43.79,***,***,61.62,***,***,70.92,***,***,***,***,***,***,***,***,***,***,***,25.94,***,***,16.32,***,***,16.25,***,***,28.12,***,***,26.92,***,***,***,***,***
FPIPO1T0222,***,23.00,***,***,9.66,***,***,23.88,***,***,36.23,***,***,32.32,***,***,***,***,***,***,***,***,***,***,***,20.90,***,***,18.15,***,***,23.41,***,***,35.49,***,***,40.49,***,***,***,***,***
FPIPO1T0223,***,42.62,***,***,27.15,***,***,33.31,***,***,52.10,***,***,46.80,***,***,***,***,***,***,***,***,***,***,***,26.03,***,***,22.16,***,***,27.08,***,***,35.45,***,***,32.47,***,***,***,***,***
FPIPO1T0224,***,18.08,***,***,6.70,***,***,7.85,***,***,17.12,***,***,13.33,***,***,***,***,***,***,***,***,***,***,***,8.31,***,***,10.33,***,***,15.22,***,***,13.74,***,***,23.31,***,***,***,***,***
FPIPO1T0217,***,***,***,***,13.61,***,***,29.19,***,***,22.53,***,***,20.45,***,***,21.03,***,***,***,***,***,***,***,***,14.83,***,***,15.48,***,***,20.01,***,***,18.03,***,***,***,***,***,***,***,***
FPIPO1T0220,***,***,***,***,5.85,***,***,14.59,***,***,14.28,***,***,19.67,***,***,***,***,***,***,***,***,***,***,***,11.86,***,***,10.35,***,***,18.99,***,***,22.22,***,***,21.85,***,***,***,***,***
FPIPO1T0225,***,***,***,***,23.99,***,***,32.38,***,***,21.94,***,***,38.15,***,***,45.77,***,***,***,***,***,***,***,***,25.37,***,***,31.67,***,***,33.50,***,***,27.25,***,***,***,***,***,***,***,***
Mean,91.61,48.02,43.60,47.59,22.49,69.12,75.45,28.25,63.37,69.17,31.85,59.76,65.23,39.85,51.76,56.50,52.60,39.02,42.59,14.14,77.48,84.57,60.56,31.05,33.90,27.93,63.68,69.51,24.47,67.15,73.29,30.04,61.58,67.21,28.92,62.70,68.44,27.73,63.88,69.73,9.09,82.53,90.08
