ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,0.07,0.37,0.30,422.09,0.12,0.04,61.11,0.04,-0.03,-44.45,0.04,-0.03,-38.86,***,***,***,***,***,***,***,***,***
FSEGI1T0808,0.28,0.37,0.09,31.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.19,-0.09,-31.39
FSEGI1T0802,***,0.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,0.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,0.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,0.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.15,***,***
FSEGI1T0810,***,0.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.10,***,***
FSEGI1T0812,***,0.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,0.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,0.21,***,***,0.24,***,***,0.23,***,***,0.27,***,***,0.57,***,***,0.56,***,***,***,***,***
Mean,0.18,0.34,-0.16,-93.89,0.18,0.00,-0.66,0.13,0.04,24.23,0.16,0.02,9.53,0.57,-0.40,-225.69,0.56,-0.39,-221.18,0.15,0.03,16.74
