ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,18.84,16.50,-2.34,-12.41,3.55,-15.29,-81.14,3.52,-15.32,-81.34,2.52,-16.32,-86.65,***,***,***,***,***,***,***,***,***
FSEGI1T0808,20.43,31.57,11.14,54.52,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-20.43,-100.00
FSEGI1T0802,***,1.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,8.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,25.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,14.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,47.28,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,58.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
FSEGI1T0810,***,22.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
FSEGI1T0812,***,16.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,68.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,30.34,***,***,2.52,***,***,4.05,***,***,0.00,***,***,0.00,***,***,0.24,***,***,***,***,***
Mean,19.64,26.37,-6.74,-34.30,3.03,16.60,84.55,3.78,15.85,80.73,1.26,18.38,93.59,0.00,19.64,100.00,0.24,19.40,98.79,0.00,19.64,100.00
