ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,3.57,1.26,-2.31,-64.66,1.70,-1.87,-52.39,0.00,-3.57,-100.00,0.78,-2.79,-78.08,***,***,***,***,***,***,***,***,***
FSEGI1T0808,126.96,145.43,18.47,14.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-126.96,-100.00
FSEGI1T0802,***,1.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,1.32,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,137.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,6.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,6.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,0.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,1.09,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.39,***,***
FSEGI1T0810,***,2.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.47,***,***
FSEGI1T0812,***,2.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,0.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,0.27,***,***,7.52,***,***,0.22,***,***,0.00,***,***,4.06,***,***,50.16,***,***,***,***,***
Mean,65.27,23.71,41.56,63.67,4.61,60.65,92.93,0.11,65.15,99.83,0.39,64.87,99.40,4.06,61.21,93.78,50.16,15.10,23.14,0.29,64.98,99.56
