ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,0.34,0.78,0.44,129.63,0.42,0.08,24.44,0.68,0.34,100.00,0.11,-0.23,-68.89,***,***,***,***,***,***,***,***,***
FSEGI1T0808,1.29,1.39,0.10,7.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.57,-0.72,-56.01
FSEGI1T0802,***,1.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,0.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,1.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,2.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,2.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.13,***,***
FSEGI1T0810,***,1.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,***,***
FSEGI1T0812,***,1.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,2.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,0.96,***,***,0.44,***,***,0.02,***,***,0.41,***,***,0.67,***,***,0.42,***,***,***,***,***
Mean,0.81,1.45,-0.63,-77.86,0.43,0.39,47.47,0.35,0.47,57.45,0.26,0.56,68.20,0.67,0.15,17.97,0.42,0.40,48.69,0.30,0.52,63.65
