ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,3.37,7.74,4.37,129.63,4.19,0.82,24.44,6.74,3.37,100.00,1.05,-2.32,-68.89,***,***,***,***,***,***,***,***,***
FSEGI1T0808,12.88,13.85,0.97,7.56,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.67,-7.21,-56.01
FSEGI1T0802,***,16.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,3.44,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,5.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,8.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,10.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,25.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,28.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.25,***,***
FSEGI1T0810,***,14.82,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.95,***,***
FSEGI1T0812,***,14.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,27.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,9.61,***,***,4.34,***,***,0.17,***,***,4.12,***,***,6.66,***,***,4.17,***,***,***,***,***
Mean,8.12,14.45,-6.32,-77.86,4.27,3.86,47.47,3.46,4.67,57.45,2.58,5.54,68.20,6.66,1.46,17.97,4.17,3.96,48.69,2.95,5.17,63.65
