ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,1.08,0.98,-0.09,-8.60,0.44,-0.64,-59.53,0.33,-0.75,-69.77,0.28,-0.80,-74.19,***,***,***,***,***,***,***,***,***
FSEGI1T0808,0.92,1.03,0.10,11.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.46,-0.47,-50.41
FSEGI1T0802,***,1.40,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,0.70,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,1.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,0.86,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,1.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,1.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,2.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.40,***,***
FSEGI1T0810,***,2.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.38,***,***
FSEGI1T0812,***,1.33,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,2.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,0.58,***,***,0.46,***,***,0.69,***,***,0.82,***,***,0.45,***,***,1.02,***,***,***,***,***
Mean,1.00,1.29,-0.29,-29.22,0.45,0.55,55.07,0.51,0.49,49.06,0.55,0.45,45.31,0.45,0.55,55.44,1.02,-0.02,-2.38,0.41,0.59,58.78
