ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,5.37,4.90,-0.46,-8.60,2.17,-3.19,-59.53,1.62,-3.74,-69.77,1.39,-3.98,-74.19,***,***,***,***,***,***,***,***,***
FSEGI1T0808,4.60,5.12,0.51,11.11,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.28,-2.32,-50.41
FSEGI1T0802,***,6.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,3.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,5.08,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,4.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,5.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,5.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,11.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.97,***,***
FSEGI1T0810,***,11.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.91,***,***
FSEGI1T0812,***,6.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,10.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,2.91,***,***,2.31,***,***,3.46,***,***,4.07,***,***,2.22,***,***,5.10,***,***,***,***,***
Mean,4.99,6.44,-1.46,-29.22,2.24,2.75,55.07,2.54,2.45,49.06,2.73,2.26,45.31,2.22,2.76,55.44,5.10,-0.12,-2.38,2.05,2.93,58.78
