ProjectUnit = FSEGI1T08
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year10-Attr,Re01Year10-Diff,Re01Year10-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff
FSEGI1T0801,35.76,34.72,-1.04,-2.91,13.78,-21.98,-61.47,14.19,-21.57,-60.32,8.50,-27.26,-76.22,***,***,***,***,***,***,***,***,***
FSEGI1T0808,171.25,199.45,28.20,16.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.59,-161.66,-94.40
FSEGI1T0802,***,31.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0803,***,11.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0804,***,162.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0805,***,50.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0806,***,44.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0807,***,82.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0809,***,105.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.48,***,***
FSEGI1T0810,***,52.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.46,***,***
FSEGI1T0812,***,44.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0813,***,111.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FSEGI1T0820,***,48.57,***,***,17.76,***,***,9.12,***,***,10.58,***,***,16.47,***,***,64.25,***,***,***,***,***
Mean,103.51,75.35,28.16,27.20,15.77,87.74,84.76,11.65,91.85,88.74,9.54,93.97,90.78,16.47,87.04,84.09,64.25,39.25,37.92,7.18,96.33,93.07
