ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,0.18,***,***,***,0.12,-0.06,-32.61,0.08,-0.11,-58.70,0.05,-0.14,-73.91,0.06,-0.12,-65.22,***,***,***,***,***,***,***,***,***
FMCMM1T0908,0.08,***,***,***,0.62,0.54,682.52,0.07,-0.01,-10.28,0.07,-0.01,-9.94,0.13,0.05,59.95,***,***,***,***,***,***,***,***,***
FMCMM1T0910,0.31,***,***,***,0.24,-0.07,-22.17,0.02,-0.28,-92.18,0.25,-0.06,-19.72,0.48,0.17,54.98,***,***,***,***,***,***,***,***,***
FPIPO1T0912,0.22,0.29,0.08,35.04,0.41,0.19,87.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,0.52,***,***,***,***,***,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,0.15,***,***,0.07,***,***,0.22,***,***,***,***,***,0.07,***,***,0.08,***,***,0.22,***,***
FMCMM1T0903,***,***,***,***,0.24,***,***,***,***,***,0.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,0.21,***,***,***,***,***,0.13,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,0.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,0.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,0.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.20,0.29,-0.09,-48.07,0.27,-0.07,-38.09,0.06,0.14,69.61,0.25,-0.05,-25.32,0.22,-0.03,-13.46,0.07,0.12,63.41,0.08,0.12,61.31,0.22,-0.03,-13.90
