ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,17.20,***,***,***,9.37,-7.83,-45.55,1.36,-15.84,-92.11,0.00,-17.20,-100.00,0.00,-17.20,-100.00,***,***,***,***,***,***,***,***,***
FMCMM1T0908,11.88,***,***,***,5.89,-5.99,-50.44,0.00,-11.88,-100.00,3.66,-8.23,-69.24,2.31,-9.57,-80.55,***,***,***,***,***,***,***,***,***
FMCMM1T0910,1.19,***,***,***,0.00,-1.19,-100.00,0.20,-0.98,-82.89,0.00,-1.19,-100.00,0.00,-1.19,-100.00,***,***,***,***,***,***,***,***,***
FPIPO1T0912,9.34,53.25,43.91,470.15,122.70,113.36,1213.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,4.21,***,***,***,***,***,3.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,18.81,***,***,0.00,***,***,13.72,***,***,***,***,***,1.43,***,***,0.86,***,***,12.60,***,***
FMCMM1T0903,***,***,***,***,1.12,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,4.76,***,***,***,***,***,1.80,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,20.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,1.31,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,28.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,9.90,53.25,-43.35,-437.79,19.78,-9.87,-99.71,0.39,9.51,96.06,3.26,6.65,67.12,0.77,9.13,92.22,1.43,8.47,85.58,0.86,9.04,91.29,12.60,-2.70,-27.25
