ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,2.78,2.78,***,3.93,3.93,***,***,***,***,***,***,***,***,***,***
FMCMM1T0908,0.21,***,***,***,4.19,3.98,1899.68,3.88,3.67,1751.82,2.11,1.90,906.63,3.10,2.89,1376.96,***,***,***,***,***,***,***,***,***
FMCMM1T0910,0.00,***,***,***,0.62,0.62,***,0.37,0.37,***,2.24,2.24,***,0.28,0.28,***,***,***,***,***,***,***,***,***,***
FPIPO1T0912,10.31,15.63,5.31,51.49,230.08,219.76,2130.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,4.85,***,***,***,***,***,6.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,28.66,***,***,40.95,***,***,31.81,***,***,***,***,***,23.88,***,***,24.15,***,***,4.89,***,***
FMCMM1T0903,***,***,***,***,3.41,***,***,***,***,***,0.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,2.03,***,***,***,***,***,0.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,104.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,12.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,3.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.63,15.63,-12.99,-493.88,35.87,-33.24,-1263.33,11.30,-8.67,-329.59,6.69,-4.06,-154.22,2.44,0.20,7.44,23.88,-21.25,-807.71,24.15,-21.52,-817.75,4.89,-2.26,-86.01
