ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,1.22,***,***,***,1.43,0.21,17.04,0.27,-0.95,-78.03,0.29,-0.93,-76.18,0.21,-1.01,-83.16,***,***,***,***,***,***,***,***,***
FMCMM1T0908,0.90,***,***,***,1.50,0.60,66.57,0.41,-0.49,-54.04,0.52,-0.38,-41.78,0.51,-0.39,-43.18,***,***,***,***,***,***,***,***,***
FMCMM1T0910,2.26,***,***,***,2.27,0.01,0.55,0.43,-1.83,-80.84,0.88,-1.38,-61.02,0.37,-1.89,-83.83,***,***,***,***,***,***,***,***,***
FPIPO1T0912,0.49,1.66,1.18,242.78,1.06,0.57,118.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,0.81,***,***,***,***,***,1.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,1.61,***,***,0.20,***,***,1.63,***,***,***,***,***,0.15,***,***,0.35,***,***,0.84,***,***
FMCMM1T0903,***,***,***,***,1.78,***,***,***,***,***,1.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,1.43,***,***,***,***,***,0.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,0.85,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,1.15,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,2.87,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.21,1.66,-0.45,-36.90,1.52,-0.31,-25.28,0.33,0.89,73.08,0.96,0.25,20.92,0.36,0.85,70.36,0.15,1.07,88.06,0.35,0.87,71.59,0.84,0.37,30.83
