ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,12.15,***,***,***,14.23,2.07,17.04,2.67,-9.48,-78.03,2.89,-9.26,-76.18,2.05,-10.11,-83.16,***,***,***,***,***,***,***,***,***
FMCMM1T0908,8.96,***,***,***,14.92,5.96,66.57,4.12,-4.84,-54.04,5.22,-3.74,-41.78,5.09,-3.87,-43.18,***,***,***,***,***,***,***,***,***
FMCMM1T0910,22.54,***,***,***,22.66,0.12,0.55,4.32,-18.22,-80.84,8.78,-13.75,-61.02,3.64,-18.89,-83.83,***,***,***,***,***,***,***,***,***
FPIPO1T0912,4.84,16.60,11.75,242.78,10.56,5.71,118.04,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,8.04,***,***,***,***,***,14.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,16.02,***,***,1.95,***,***,16.30,***,***,***,***,***,1.45,***,***,3.44,***,***,8.39,***,***
FMCMM1T0903,***,***,***,***,17.79,***,***,***,***,***,10.16,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,14.27,***,***,***,***,***,9.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,8.46,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,11.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,28.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,12.12,16.60,-4.47,-36.90,15.19,-3.06,-25.28,3.26,8.86,73.08,9.59,2.54,20.92,3.59,8.53,70.36,1.45,10.68,88.06,3.44,8.68,71.59,8.39,3.74,30.83
