ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,0.79,***,***,***,1.22,0.43,55.10,0.30,-0.49,-62.42,0.64,-0.15,-19.11,0.79,0.00,0.32,***,***,***,***,***,***,***,***,***
FMCMM1T0908,1.02,***,***,***,1.41,0.39,37.65,0.43,-0.59,-57.95,0.22,-0.80,-78.24,0.54,-0.49,-47.43,***,***,***,***,***,***,***,***,***
FMCMM1T0910,1.79,***,***,***,1.54,-0.25,-14.13,0.27,-1.52,-84.90,0.65,-1.14,-63.78,0.91,-0.88,-49.37,***,***,***,***,***,***,***,***,***
FPIPO1T0912,1.14,1.03,-0.12,-10.19,1.30,0.15,13.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,1.39,***,***,***,***,***,1.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,1.86,***,***,0.06,***,***,1.78,***,***,***,***,***,1.32,***,***,0.90,***,***,1.14,***,***
FMCMM1T0903,***,***,***,***,1.14,***,***,***,***,***,0.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,1.43,***,***,***,***,***,1.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,1.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,0.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,1.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.18,1.03,0.16,13.43,1.36,-0.18,-14.97,0.26,0.92,77.78,0.98,0.21,17.48,0.74,0.44,37.22,1.32,-0.13,-11.06,0.90,0.28,23.99,1.14,0.05,3.93
