ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,3.92,***,***,***,6.08,2.16,55.10,1.47,-2.45,-62.42,3.17,-0.75,-19.11,3.93,0.01,0.32,***,***,***,***,***,***,***,***,***
FMCMM1T0908,5.10,***,***,***,7.03,1.92,37.65,2.15,-2.96,-57.95,1.11,-3.99,-78.24,2.68,-2.42,-47.43,***,***,***,***,***,***,***,***,***
FMCMM1T0910,8.92,***,***,***,7.66,-1.26,-14.13,1.35,-7.57,-84.90,3.23,-5.69,-63.78,4.52,-4.40,-49.37,***,***,***,***,***,***,***,***,***
FPIPO1T0912,5.70,5.12,-0.58,-10.19,6.46,0.77,13.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,6.95,***,***,***,***,***,7.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,9.30,***,***,0.29,***,***,8.90,***,***,***,***,***,6.56,***,***,4.49,***,***,5.68,***,***
FMCMM1T0903,***,***,***,***,5.70,***,***,***,***,***,3.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,7.15,***,***,***,***,***,6.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,5.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,4.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,8.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,5.91,5.12,0.79,13.43,6.79,-0.88,-14.97,1.31,4.60,77.78,4.88,1.03,17.48,3.71,2.20,37.22,6.56,-0.65,-11.06,4.49,1.42,23.99,5.68,0.23,3.93
