ProjectUnit = NULLNULL
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00Year02-Attr,Pre00Year02-Diff,Pre00Year02-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff
FMCMM1T0907,35.27,***,***,***,30.63,-4.65,-13.17,6.64,-28.64,-81.19,9.42,-25.85,-73.28,10.51,-24.77,-70.21,***,***,***,***,***,***,***,***,***
FMCMM1T0908,27.68,***,***,***,37.16,9.48,34.26,13.26,-14.41,-52.07,15.06,-12.61,-45.57,16.35,-11.33,-40.94,***,***,***,***,***,***,***,***,***
FMCMM1T0910,35.25,***,***,***,34.25,-1.00,-2.84,7.11,-28.14,-79.84,15.43,-19.82,-56.24,10.83,-24.42,-69.27,***,***,***,***,***,***,***,***,***
FPIPO1T0912,32.08,100.85,68.77,214.37,378.38,346.30,1079.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0901,***,***,***,***,27.01,***,***,***,***,***,35.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0902,***,***,***,***,76.00,***,***,44.86,***,***,72.85,***,***,***,***,***,34.77,***,***,34.78,***,***,34.53,***,***
FMCMM1T0903,***,***,***,***,32.75,***,***,***,***,***,18.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0904,***,***,***,***,31.81,***,***,***,***,***,21.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0905,***,***,***,***,141.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0906,***,***,***,***,31.34,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
FMCMM1T0909,***,***,***,***,72.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,32.57,100.85,-68.28,-209.64,81.27,-48.70,-149.52,17.97,14.60,44.84,26.87,5.70,17.50,12.56,20.01,61.43,34.77,-2.20,-6.75,34.78,-2.21,-6.77,34.53,-1.96,-6.02
