ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = 1-hr
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,0.77,0.00,-0.77,-100.00,0.11,-0.66,-85.42,0.16,-0.61,-79.17
B02,0.84,0.00,-0.84,-100.00,0.16,-0.67,-80.39,0.41,-0.43,-50.98
B03,0.08,0.05,-0.03,-40.00,0.27,0.19,240.00,0.49,0.41,520.00
B04,0.40,0.19,-0.21,-52.00,0.32,-0.08,-20.00,0.37,-0.03,-8.00
B05,1.25,0.11,-1.14,-91.03,0.22,-1.02,-82.05,0.50,-0.75,-60.26
B06,0.67,0.03,-0.64,-95.24,0.10,-0.57,-85.71,0.06,-0.61,-90.48
B07,0.38,0.03,-0.35,-91.67,0.13,-0.25,-66.67,0.05,-0.33,-87.50
B08,1.54,0.02,-1.52,-98.96,0.37,-1.17,-76.04,0.42,-1.12,-72.92
B09,0.50,0.02,-0.48,-96.77,0.06,-0.43,-87.10,0.06,-0.43,-87.10
B10,0.48,0.21,-0.27,-56.67,0.54,0.06,13.33,0.19,-0.29,-60.00
B11,0.59,0.59,0.00,0.00,0.95,0.37,62.16,1.67,1.08,183.78
B12,0.75,0.07,-0.68,-91.30,0.37,-0.37,-50.00,0.39,-0.36,-47.83
B13,1.41,0.22,-1.18,-84.09,0.05,-1.36,-96.59,0.08,-1.33,-94.32
B14,0.14,0.16,0.02,11.11,0.08,-0.06,-44.44,0.05,-0.10,-66.67
B15,1.53,0.00,-1.53,-100.00,0.17,-1.36,-88.89,0.59,-0.93,-61.11
B16,0.15,0.17,0.02,11.11,0.18,0.03,22.22,0.23,0.08,55.56
B17,0.80,0.00,-0.80,-100.00,0.16,-0.64,-79.59,0.13,-0.67,-83.67
B18,0.15,0.00,-0.15,-100.00,0.03,-0.11,-77.78,0.10,-0.05,-33.33
B19,0.56,0.00,-0.56,-100.00,0.86,0.30,54.55,***,***,***
B20,0.35,0.02,-0.33,-95.24,0.12,-0.23,-66.67,0.48,0.13,38.10
B21,0.42,0.00,-0.42,-100.00,0.08,-0.34,-80.77,0.13,-0.29,-69.23
B22,0.32,0.02,-0.30,-94.44,0.27,-0.05,-16.67,0.32,0.00,0.00
B23,0.40,0.00,-0.40,-100.00,0.13,-0.27,-66.67,0.20,-0.20,-50.00
B24,0.41,0.00,-0.41,-100.00,0.15,-0.26,-64.00,0.13,-0.28,-68.00
B25,0.84,0.06,-0.78,-92.31,0.21,-0.63,-75.00,0.24,-0.60,-71.15
B26,1.46,0.00,-1.46,-100.00,0.35,-1.11,-75.82,0.71,-0.75,-51.65
B27,1.06,0.00,-1.06,-100.00,0.11,-0.95,-89.39,0.13,-0.93,-87.88
B28,0.11,0.06,-0.05,-42.86,0.03,-0.08,-71.43,0.06,-0.05,-42.86
C01,0.19,***,***,***,0.10,-0.10,-50.00,0.07,-0.13,-65.58
C02,1.24,***,***,***,0.67,-0.57,-46.15,0.86,-0.38,-30.77
C03,0.83,***,***,***,0.58,-0.25,-29.70,0.76,-0.07,-7.84
C04,0.32,***,***,***,0.59,0.27,85.00,0.45,0.13,40.00
C05,0.08,***,***,***,0.14,0.06,80.00,0.08,0.00,0.00
C06,0.19,***,***,***,0.16,-0.03,-16.67,0.10,-0.10,-50.00
C07,1.00,***,***,***,0.80,-0.21,-20.63,0.60,-0.40,-39.68
C08,0.86,***,***,***,0.40,-0.46,-53.70,1.10,0.24,27.78
C09,0.61,***,***,***,0.38,-0.22,-36.84,0.21,-0.40,-65.79
C10,0.93,***,***,***,0.87,-0.06,-6.90,1.02,0.09,9.12
C11,0.14,***,***,***,0.29,0.14,100.00,0.05,-0.10,-66.67
C12,0.61,***,***,***,0.67,0.06,10.53,0.26,-0.35,-57.89
Mean,0.63,0.07,0.56,88.61,0.31,0.33,51.69,0.36,0.28,43.76
