ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,126.27,31.47,-94.81,-75.08,48.50,-77.77,-61.59,39.02,-87.26,-69.10
B02,2.24,0.00,-2.24,-100.00,0.00,-2.24,-100.00,0.00,-2.24,-100.00
B03,0.82,0.77,-0.05,-5.80,0.73,-0.09,-11.42,0.00,-0.82,-100.00
B04,19.50,0.92,-18.58,-95.28,0.82,-18.68,-95.79,0.00,-19.50,-100.00
B05,5.26,0.88,-4.39,-83.36,2.32,-2.94,-55.86,1.26,-4.00,-76.04
B06,1.42,2.12,0.70,49.38,0.00,-1.42,-100.00,0.00,-1.42,-100.00
B07,33.52,0.00,-33.52,-100.00,0.00,-33.52,-100.00,0.00,-33.52,-100.00
B08,***,0.00,***,***,0.00,***,***,0.00,***,***
B09,***,0.00,***,***,0.00,***,***,0.00,***,***
B10,3.29,7.83,4.55,138.41,13.23,9.94,302.60,10.21,6.92,210.68
B11,87.03,87.03,0.00,0.00,92.08,5.04,5.80,68.28,-18.76,-21.55
B12,59.05,2.09,-56.96,-96.46,0.00,-59.05,-100.00,0.00,-59.05,-100.00
B13,83.49,4.57,-78.92,-94.53,6.44,-77.06,-92.29,6.71,-76.78,-91.96
B14,21.84,0.00,-21.84,-100.00,0.00,-21.84,-100.00,0.00,-21.84,-100.00
B15,0.83,0.00,-0.83,-100.00,0.00,-0.83,-100.00,0.00,-0.83,-100.00
B16,***,0.00,***,***,0.00,***,***,0.00,***,***
B17,***,0.00,***,***,0.00,***,***,0.00,***,***
B18,69.11,9.36,-59.75,-86.46,2.62,-66.49,-96.21,5.17,-63.93,-92.51
B19,1.03,0.00,-1.03,-100.00,4.60,3.58,347.41,***,***,***
B20,***,0.00,***,***,0.00,***,***,0.00,***,***
B21,236.28,4.59,-231.68,-98.06,0.00,-236.28,-100.00,0.00,-236.28,-100.00
B22,3.91,6.05,2.14,54.67,5.87,1.96,50.02,1.15,-2.77,-70.71
B23,***,0.00,***,***,0.00,***,***,0.00,***,***
B24,26.52,0.00,-26.52,-100.00,0.00,-26.52,-100.00,0.00,-26.52,-100.00
B25,63.27,14.18,-49.09,-77.58,18.52,-44.75,-70.72,0.00,-63.27,-100.00
B26,14.92,2.21,-12.71,-85.17,1.32,-13.60,-91.13,0.00,-14.92,-100.00
B27,3.08,1.33,-1.75,-56.74,0.00,-3.08,-100.00,0.00,-3.08,-100.00
B28,88.64,52.75,-35.89,-40.49,0.00,-88.64,-100.00,0.00,-88.64,-100.00
C01,32.32,***,***,***,18.17,-14.15,-43.77,18.53,-13.79,-42.67
C02,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00
C03,36.31,***,***,***,20.91,-15.40,-42.41,27.77,-8.54,-23.52
C04,10.36,***,***,***,7.10,-3.27,-31.51,9.76,-0.60,-5.83
C05,45.77,***,***,***,46.65,0.88,1.92,45.82,0.05,0.11
C06,5.88,***,***,***,4.23,-1.65,-28.02,4.72,-1.16,-19.68
C07,0.97,***,***,***,1.71,0.73,75.38,0.98,0.00,0.43
C08,21.40,***,***,***,33.85,12.45,58.15,1.78,-19.62,-91.68
C09,39.82,***,***,***,37.47,-2.35,-5.91,39.56,-0.26,-0.64
C10,20.22,***,***,***,21.15,0.93,4.60,4.49,-15.72,-77.78
C11,2.23,***,***,***,6.41,4.18,187.79,4.68,2.45,110.12
C12,15.34,***,***,***,18.26,2.92,19.03,15.27,-0.07,-0.43
Mean,34.76,8.15,26.61,76.56,10.32,24.44,70.30,7.82,26.94,77.49
