ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,5.10,9.57,4.47,87.65,7.75,2.65,52.00,0.00,-5.10,-100.00
B02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.27,1.27,***
B03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,1.30,***
B04,12.52,0.00,-12.52,-100.00,0.00,-12.52,-100.00,0.00,-12.52,-100.00
B05,2.35,0.00,-2.35,-100.00,0.00,-2.35,-100.00,0.00,-2.35,-100.00
B06,9.42,2.72,-6.70,-71.13,2.06,-7.36,-78.13,3.41,-6.01,-63.80
B07,0.00,0.00,0.00,0.00,0.97,0.97,***,0.00,0.00,0.00
B08,***,0.00,***,***,0.00,***,***,0.00,***,***
B09,***,0.00,***,***,0.00,***,***,0.00,***,***
B10,7.98,4.71,-3.27,-41.02,4.93,-3.05,-38.28,2.66,-5.32,-66.66
B11,0.85,0.85,0.00,0.00,140.41,139.56,16369.44,138.71,137.85,16169.44
B12,5.62,14.67,9.05,161.04,16.14,10.52,187.13,13.97,8.35,148.51
B13,8.68,5.78,-2.89,-33.33,8.95,0.27,3.11,6.55,-2.13,-24.50
B14,7.99,7.48,-0.52,-6.46,0.00,-7.99,-100.00,5.25,-2.75,-34.36
B15,1.04,0.00,-1.04,-100.00,0.00,-1.04,-100.00,0.00,-1.04,-100.00
B16,***,0.00,***,***,0.00,***,***,0.00,***,***
B17,***,0.00,***,***,0.00,***,***,0.00,***,***
B18,0.00,0.00,0.00,0.00,0.87,0.87,***,0.93,0.93,***
B19,12.02,0.00,-12.02,-100.00,529.13,517.11,4302.99,***,***,***
B20,***,0.00,***,***,39.20,***,***,39.99,***,***
B21,4.04,123.99,119.94,2967.46,107.36,103.32,2556.21,115.39,111.35,2754.82
B22,13.47,2.75,-10.72,-79.57,2.34,-11.13,-82.65,3.74,-9.73,-72.23
B23,***,3.56,***,***,0.00,***,***,3.68,***,***
B24,1.95,17.58,15.63,800.00,15.08,13.12,671.60,12.98,11.03,564.49
B25,0.93,2.13,1.20,129.86,2.22,1.30,139.75,23.18,22.25,2400.00
B26,15.67,0.92,-14.75,-94.15,0.00,-15.67,-100.00,2.02,-13.65,-87.11
B27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.11,1.11,***
B28,23.51,0.00,-23.51,-100.00,76.95,53.44,227.32,77.82,54.31,231.02
C01,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00
C02,0.91,***,***,***,3.41,2.50,274.61,1.16,0.25,27.47
C03,25.99,***,***,***,27.98,1.99,7.67,25.28,-0.70,-2.71
C04,0.00,***,***,***,1.16,1.16,***,1.30,1.30,***
C05,4.94,***,***,***,4.94,0.00,0.00,3.40,-1.54,-31.19
C06,0.00,***,***,***,2.15,2.15,***,15.48,15.48,***
C07,1.03,***,***,***,0.97,-0.06,-5.97,0.91,-0.12,-11.37
C08,14.45,***,***,***,15.18,0.74,5.09,18.60,4.15,28.69
C09,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00
C10,0.00,***,***,***,1.17,1.17,***,4.39,4.39,***
C11,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00
C12,6.23,***,***,***,5.34,-0.89,-14.28,2.80,-3.43,-55.03
Mean,5.49,7.03,-1.53,-27.95,25.42,-19.93,-362.91,13.52,-8.03,-146.24
