ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,1.88,0.09,-1.79,-95.21,1.30,-0.58,-30.85,0.73,-1.15,-61.17
B02,2.08,0.06,-2.02,-97.12,1.03,-1.05,-50.48,0.19,-1.89,-90.87
B03,2.08,0.14,-1.94,-93.27,0.32,-1.76,-84.62,0.90,-1.18,-56.73
B04,1.90,0.08,-1.82,-95.79,0.12,-1.78,-93.68,0.93,-0.97,-51.05
B05,3.60,0.20,-3.40,-94.44,0.09,-3.51,-97.50,1.11,-2.49,-69.17
B06,2.62,0.15,-2.47,-94.27,0.51,-2.11,-80.53,1.13,-1.49,-56.87
B07,1.63,0.50,-1.13,-69.33,0.68,-0.95,-58.28,1.28,-0.35,-21.47
B08,1.45,0.09,-1.36,-93.79,0.79,-0.66,-45.52,0.38,-1.07,-73.79
B09,2.01,0.31,-1.70,-84.58,0.50,-1.51,-75.12,1.09,-0.92,-45.77
B10,0.92,1.59,0.67,72.83,0.63,-0.29,-31.52,0.46,-0.46,-50.00
B11,3.80,3.80,0.00,0.00,0.57,-3.23,-85.00,0.85,-2.95,-77.63
B12,4.29,0.09,-4.20,-97.90,0.56,-3.73,-86.95,0.31,-3.98,-92.77
B13,2.08,0.10,-1.98,-95.19,0.54,-1.54,-74.04,0.23,-1.85,-88.94
B14,4.94,0.12,-4.82,-97.57,1.26,-3.68,-74.49,0.54,-4.40,-89.07
B15,2.39,0.14,-2.25,-94.14,0.70,-1.69,-70.71,0.78,-1.61,-67.36
B16,1.39,0.58,-0.81,-58.27,0.35,-1.04,-74.82,0.58,-0.81,-58.27
B17,1.52,0.09,-1.43,-94.08,0.34,-1.18,-77.63,0.21,-1.31,-86.18
B18,2.33,0.00,-2.33,-100.00,0.46,-1.87,-80.26,0.28,-2.05,-87.98
B19,3.35,0.04,-3.31,-98.81,0.52,-2.83,-84.48,***,***,***
B20,4.40,0.10,-4.30,-97.73,0.30,-4.10,-93.18,0.17,-4.23,-96.14
B21,2.52,0.09,-2.43,-96.43,0.96,-1.56,-61.90,0.84,-1.68,-66.67
B22,4.10,0.06,-4.04,-98.54,1.19,-2.91,-70.98,0.13,-3.97,-96.83
B23,2.96,0.21,-2.75,-92.91,1.49,-1.47,-49.66,0.19,-2.77,-93.58
B24,3.63,0.29,-3.34,-92.01,0.30,-3.33,-91.74,0.54,-3.09,-85.12
B25,1.81,0.13,-1.68,-92.82,0.29,-1.52,-83.98,1.12,-0.69,-38.12
B26,3.13,0.02,-3.11,-99.36,0.75,-2.38,-76.04,0.16,-2.97,-94.89
B27,2.64,0.13,-2.51,-95.08,0.33,-2.31,-87.50,0.17,-2.47,-93.56
B28,3.11,0.05,-3.06,-98.39,1.54,-1.57,-50.48,0.23,-2.88,-92.60
C01,3.89,***,***,***,4.50,0.61,15.68,3.45,-0.44,-11.31
C02,1.18,***,***,***,1.75,0.57,48.31,1.69,0.51,43.22
C03,1.18,***,***,***,1.45,0.27,22.88,0.71,-0.47,-39.83
C04,2.42,***,***,***,2.08,-0.34,-14.05,3.67,1.25,51.65
C05,1.25,***,***,***,2.01,0.76,60.80,1.92,0.67,53.60
C06,3.57,***,***,***,3.50,-0.07,-1.96,2.43,-1.14,-31.93
C07,1.73,***,***,***,2.94,1.21,69.94,2.34,0.61,35.26
C08,2.20,***,***,***,3.62,1.42,64.55,2.14,-0.06,-2.73
C09,1.98,***,***,***,2.71,0.73,36.87,2.46,0.48,24.24
C10,1.97,***,***,***,2.27,0.30,15.23,2.32,0.35,17.77
C11,1.84,***,***,***,2.83,0.99,53.80,1.38,-0.46,-25.00
C12,1.83,***,***,***,2.51,0.68,37.16,2.21,0.38,20.77
Mean,2.49,0.33,2.16,86.73,1.26,1.23,49.21,1.08,1.41,56.49
