ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,18.77,0.90,-17.87,-95.21,12.98,-5.79,-30.85,7.29,-11.48,-61.17
B02,20.76,0.60,-20.16,-97.12,10.28,-10.48,-50.48,1.90,-18.87,-90.87
B03,20.76,1.40,-19.37,-93.27,3.19,-17.57,-84.62,8.98,-11.78,-56.73
B04,18.97,0.80,-18.17,-95.79,1.20,-17.77,-93.68,9.28,-9.68,-51.05
B05,35.94,2.00,-33.94,-94.44,0.90,-35.04,-97.50,11.08,-24.86,-69.17
B06,26.15,1.50,-24.66,-94.27,5.09,-21.06,-80.53,11.28,-14.87,-56.87
B07,16.27,4.99,-11.28,-69.33,6.79,-9.48,-58.28,12.78,-3.49,-21.47
B08,14.47,0.90,-13.58,-93.79,7.89,-6.59,-45.52,3.79,-10.68,-73.79
B09,20.06,3.09,-16.97,-84.58,4.99,-15.07,-75.12,10.88,-9.18,-45.77
B10,9.18,15.87,6.69,72.83,6.29,-2.89,-31.52,4.59,-4.59,-50.00
B11,37.93,37.93,0.00,0.00,5.69,-32.24,-85.00,8.49,-29.45,-77.63
B12,42.82,0.90,-41.93,-97.90,5.59,-37.23,-86.95,3.09,-39.73,-92.77
B13,20.76,1.00,-19.77,-95.19,5.39,-15.37,-74.04,2.30,-18.47,-88.94
B14,49.31,1.20,-48.12,-97.57,12.58,-36.74,-74.49,5.39,-43.92,-89.07
B15,23.86,1.40,-22.46,-94.14,6.99,-16.87,-70.71,7.79,-16.07,-67.36
B16,13.88,5.79,-8.09,-58.27,3.49,-10.38,-74.82,5.79,-8.09,-58.27
B17,15.17,0.90,-14.27,-94.08,3.39,-11.78,-77.63,2.10,-13.08,-86.18
B18,23.26,0.00,-23.26,-100.00,4.59,-18.67,-80.26,2.80,-20.46,-87.98
B19,33.44,0.40,-33.04,-98.81,5.19,-28.25,-84.48,***,***,***
B20,43.92,1.00,-42.92,-97.73,2.99,-40.93,-93.18,1.70,-42.23,-96.14
B21,25.16,0.90,-24.26,-96.43,9.58,-15.57,-61.90,8.39,-16.77,-66.67
B22,40.93,0.60,-40.33,-98.54,11.88,-29.05,-70.98,1.30,-39.63,-96.83
B23,29.55,2.10,-27.45,-92.91,14.87,-14.67,-49.66,1.90,-27.65,-93.58
B24,36.24,2.89,-33.34,-92.01,2.99,-33.24,-91.74,5.39,-30.85,-85.12
B25,18.07,1.30,-16.77,-92.82,2.89,-15.17,-83.98,11.18,-6.89,-38.12
B26,31.25,0.20,-31.05,-99.36,7.49,-23.76,-76.04,1.60,-29.65,-94.89
B27,26.35,1.30,-25.06,-95.08,3.29,-23.06,-87.50,1.70,-24.66,-93.56
B28,31.05,0.50,-30.55,-98.39,15.37,-15.67,-50.48,2.30,-28.75,-92.60
C01,38.83,***,***,***,44.92,6.09,15.68,34.44,-4.39,-11.31
C02,11.78,***,***,***,17.47,5.69,48.31,16.87,5.09,43.22
C03,11.78,***,***,***,14.47,2.70,22.88,7.09,-4.69,-39.83
C04,24.16,***,***,***,20.76,-3.39,-14.05,36.64,12.48,51.65
C05,12.48,***,***,***,20.06,7.59,60.80,19.17,6.69,53.60
C06,35.64,***,***,***,34.94,-0.70,-1.96,24.26,-11.38,-31.93
C07,17.27,***,***,***,29.35,12.08,69.94,23.36,6.09,35.26
C08,21.96,***,***,***,36.14,14.18,64.55,21.36,-0.60,-2.73
C09,19.77,***,***,***,27.05,7.29,36.87,24.56,4.79,24.24
C10,19.67,***,***,***,22.66,2.99,15.23,23.16,3.49,17.77
C11,18.37,***,***,***,28.25,9.88,53.80,13.78,-4.59,-25.00
C12,18.27,***,***,***,25.06,6.79,37.16,22.06,3.79,20.77
Mean,24.86,3.30,21.56,86.73,12.63,12.23,49.21,10.81,14.04,56.49
