ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,0.89,0.10,-0.79,-88.76,0.10,-0.79,-88.76,0.21,-0.68,-76.40
B02,0.76,0.00,-0.76,-100.00,0.34,-0.42,-55.26,0.77,0.01,1.32
B03,0.89,0.18,-0.71,-79.78,0.27,-0.62,-69.66,0.44,-0.45,-50.56
B04,0.55,0.52,-0.03,-5.45,0.19,-0.36,-65.45,0.49,-0.06,-10.91
B05,1.59,0.10,-1.49,-93.71,0.31,-1.28,-80.50,0.53,-1.06,-66.67
B06,1.36,0.14,-1.22,-89.71,0.21,-1.15,-84.56,0.55,-0.81,-59.56
B07,0.79,0.18,-0.61,-77.22,0.57,-0.22,-27.85,0.91,0.12,15.19
B08,1.27,0.11,-1.16,-91.34,0.38,-0.89,-70.08,0.44,-0.83,-65.35
B09,1.61,0.03,-1.58,-98.14,1.09,-0.52,-32.30,0.79,-0.82,-50.93
B10,0.38,1.05,0.67,176.32,0.61,0.23,60.53,0.55,0.17,44.74
B11,1.43,1.43,0.00,0.00,0.76,-0.67,-46.85,0.96,-0.47,-32.87
B12,1.21,0.00,-1.21,-100.00,0.41,-0.80,-66.12,0.79,-0.42,-34.71
B13,3.07,0.10,-2.97,-96.74,0.36,-2.71,-88.27,0.74,-2.33,-75.90
B14,1.37,0.01,-1.36,-99.27,0.59,-0.78,-56.93,0.62,-0.75,-54.74
B15,1.68,0.01,-1.67,-99.40,0.30,-1.38,-82.14,0.45,-1.23,-73.21
B16,1.05,0.52,-0.53,-50.48,0.83,-0.22,-20.95,0.64,-0.41,-39.05
B17,1.24,0.05,-1.19,-95.97,0.51,-0.73,-58.87,0.53,-0.71,-57.26
B18,1.13,0.01,-1.12,-99.12,0.63,-0.50,-44.25,0.77,-0.36,-31.86
B19,0.93,0.02,-0.91,-97.85,0.31,-0.62,-66.67,***,***,***
B20,0.70,0.07,-0.63,-90.00,0.42,-0.28,-40.00,0.51,-0.19,-27.14
B21,1.68,0.00,-1.68,-100.00,0.35,-1.33,-79.17,0.53,-1.15,-68.45
B22,1.49,0.00,-1.49,-100.00,0.33,-1.16,-77.85,0.57,-0.92,-61.74
B23,1.62,0.05,-1.57,-96.91,0.66,-0.96,-59.26,0.38,-1.24,-76.54
B24,1.24,0.00,-1.24,-100.00,0.25,-0.99,-79.84,0.76,-0.48,-38.71
B25,1.76,0.06,-1.70,-96.59,0.29,-1.47,-83.52,0.60,-1.16,-65.91
B26,1.61,0.00,-1.61,-100.00,0.45,-1.16,-72.05,0.26,-1.35,-83.85
B27,0.72,0.05,-0.67,-93.06,0.17,-0.55,-76.39,0.34,-0.38,-52.78
B28,1.65,0.08,-1.57,-95.15,0.50,-1.15,-69.70,0.47,-1.18,-71.52
C01,0.98,***,***,***,2.75,1.77,180.61,1.85,0.87,88.78
C02,0.34,***,***,***,0.81,0.47,138.24,1.04,0.70,205.88
C03,0.73,***,***,***,0.78,0.05,6.85,0.95,0.22,30.14
C04,1.34,***,***,***,1.68,0.34,25.37,1.52,0.18,13.43
C05,0.76,***,***,***,1.08,0.32,42.11,1.00,0.24,31.58
C06,1.54,***,***,***,3.34,1.80,116.88,1.95,0.41,26.62
C07,1.38,***,***,***,1.25,-0.13,-9.42,1.86,0.48,34.78
C08,1.30,***,***,***,1.39,0.09,6.92,1.79,0.49,37.69
C09,1.72,***,***,***,1.96,0.24,13.95,1.41,-0.31,-18.02
C10,0.67,***,***,***,1.21,0.54,80.60,1.79,1.12,167.16
C11,1.89,***,***,***,3.51,1.62,85.71,1.24,-0.65,-34.39
C12,1.11,***,***,***,1.31,0.20,18.02,1.64,0.53,47.75
Mean,1.24,0.17,1.06,85.93,0.83,0.40,32.71,0.86,0.37,30.20
