ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,4.44,0.50,-3.94,-88.76,0.50,-3.94,-88.76,1.05,-3.39,-76.40
B02,3.79,0.00,-3.79,-100.00,1.70,-2.10,-55.26,3.84,0.05,1.32
B03,4.44,0.90,-3.54,-79.78,1.35,-3.09,-69.66,2.20,-2.25,-50.56
B04,2.75,2.60,-0.15,-5.45,0.95,-1.80,-65.45,2.45,-0.30,-10.91
B05,7.94,0.50,-7.44,-93.71,1.55,-6.39,-80.50,2.65,-5.29,-66.67
B06,6.79,0.70,-6.09,-89.71,1.05,-5.74,-84.56,2.75,-4.04,-59.56
B07,3.94,0.90,-3.04,-77.22,2.85,-1.10,-27.85,4.54,0.60,15.19
B08,6.34,0.55,-5.79,-91.34,1.90,-4.44,-70.08,2.20,-4.14,-65.35
B09,8.04,0.15,-7.89,-98.14,5.44,-2.60,-32.30,3.94,-4.09,-50.93
B10,1.90,5.24,3.34,176.32,3.04,1.15,60.53,2.75,0.85,44.74
B11,7.14,7.14,0.00,0.00,3.79,-3.34,-46.85,4.79,-2.35,-32.87
B12,6.04,0.00,-6.04,-100.00,2.05,-3.99,-66.12,3.94,-2.10,-34.71
B13,15.32,0.50,-14.82,-96.74,1.80,-13.53,-88.27,3.69,-11.63,-75.90
B14,6.84,0.05,-6.79,-99.27,2.94,-3.89,-56.93,3.09,-3.74,-54.74
B15,8.39,0.05,-8.34,-99.40,1.50,-6.89,-82.14,2.25,-6.14,-73.21
B16,5.24,2.60,-2.65,-50.48,4.14,-1.10,-20.95,3.19,-2.05,-39.05
B17,6.19,0.25,-5.94,-95.97,2.55,-3.64,-58.87,2.65,-3.54,-57.26
B18,5.64,0.05,-5.59,-99.12,3.14,-2.50,-44.25,3.84,-1.80,-31.86
B19,4.64,0.10,-4.54,-97.85,1.55,-3.09,-66.67,***,***,***
B20,3.49,0.35,-3.14,-90.00,2.10,-1.40,-40.00,2.55,-0.95,-27.14
B21,8.39,0.00,-8.39,-100.00,1.75,-6.64,-79.17,2.65,-5.74,-68.45
B22,7.44,0.00,-7.44,-100.00,1.65,-5.79,-77.85,2.85,-4.59,-61.74
B23,8.09,0.25,-7.84,-96.91,3.29,-4.79,-59.26,1.90,-6.19,-76.54
B24,6.19,0.00,-6.19,-100.00,1.25,-4.94,-79.84,3.79,-2.40,-38.71
B25,8.78,0.30,-8.49,-96.59,1.45,-7.34,-83.52,2.99,-5.79,-65.91
B26,8.04,0.00,-8.04,-100.00,2.25,-5.79,-72.05,1.30,-6.74,-83.85
B27,3.59,0.25,-3.34,-93.06,0.85,-2.75,-76.39,1.70,-1.90,-52.78
B28,8.24,0.40,-7.84,-95.15,2.50,-5.74,-69.70,2.35,-5.89,-71.52
C01,4.89,***,***,***,13.73,8.83,180.61,9.23,4.34,88.78
C02,1.70,***,***,***,4.04,2.35,138.24,5.19,3.49,205.88
C03,3.64,***,***,***,3.89,0.25,6.85,4.74,1.10,30.14
C04,6.69,***,***,***,8.39,1.70,25.37,7.59,0.90,13.43
C05,3.79,***,***,***,5.39,1.60,42.11,4.99,1.20,31.58
C06,7.69,***,***,***,16.67,8.98,116.88,9.73,2.05,26.62
C07,6.89,***,***,***,6.24,-0.65,-9.42,9.28,2.40,34.78
C08,6.49,***,***,***,6.94,0.45,6.92,8.93,2.45,37.69
C09,8.58,***,***,***,9.78,1.20,13.95,7.04,-1.55,-18.02
C10,3.34,***,***,***,6.04,2.70,80.60,8.93,5.59,167.16
C11,9.43,***,***,***,17.52,8.09,85.71,6.19,-3.24,-34.39
C12,5.54,***,***,***,6.54,1.00,18.02,8.19,2.65,47.75
Mean,6.17,0.87,5.30,85.93,4.15,2.02,32.71,4.31,1.86,30.20
