ProjectUnit = PILA FUELS
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00-Attr,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff
B01,166.99,42.43,-124.55,-74.59,69.84,-97.15,-58.18,47.52,-119.47,-71.55
B02,35.17,2.17,-33.01,-93.84,12.77,-22.40,-63.68,11.19,-23.98,-68.17
B03,29.45,8.58,-20.87,-70.87,12.23,-17.23,-58.48,18.45,-11.01,-37.37
B04,59.89,8.14,-51.75,-86.41,4.50,-55.39,-92.49,13.31,-46.58,-77.78
B05,71.07,9.58,-61.48,-86.51,10.48,-60.59,-85.25,21.28,-49.79,-70.06
B06,51.74,7.06,-44.68,-86.35,10.12,-41.62,-80.44,19.02,-32.72,-63.24
B07,57.75,7.74,-50.01,-86.60,11.03,-46.72,-80.89,17.98,-39.77,-68.87
B08,34.88,4.21,-30.67,-87.94,12.89,-21.98,-63.03,8.85,-26.03,-74.63
B09,38.95,13.30,-25.65,-65.85,25.70,-13.25,-34.01,24.93,-14.02,-36.00
B10,30.42,37.20,6.79,22.31,30.77,0.35,1.15,25.56,-4.86,-15.97
B11,137.79,137.79,0.00,0.00,249.60,111.81,81.14,229.22,91.42,66.35
B12,118.96,18.04,-100.92,-84.83,24.15,-94.81,-79.70,25.13,-93.83,-78.88
B13,140.02,16.04,-123.98,-88.55,25.66,-114.36,-81.67,23.89,-116.13,-82.93
B14,89.17,14.05,-75.12,-84.24,20.17,-69.00,-77.38,17.13,-72.04,-80.78
B15,45.38,1.45,-43.93,-96.81,8.66,-36.73,-80.93,11.60,-33.78,-74.43
B16,20.21,8.55,-11.66,-57.70,8.13,-12.08,-59.76,9.22,-11.00,-54.41
B17,31.25,1.15,-30.10,-96.33,7.36,-23.89,-76.46,4.87,-26.38,-84.41
B18,104.99,9.41,-95.59,-91.04,11.26,-93.73,-89.27,12.84,-92.15,-87.77
B19,60.36,0.50,-59.86,-99.17,556.11,495.75,821.36,***,***,***
B20,52.47,3.25,-49.23,-93.81,44.72,-7.75,-14.78,49.10,-3.37,-6.42
B21,281.63,129.78,-151.85,-53.92,119.70,-161.93,-57.50,127.78,-153.85,-54.63
B22,70.13,10.10,-60.03,-85.60,22.00,-48.13,-68.63,10.37,-59.76,-85.22
B23,46.90,5.90,-40.99,-87.41,18.30,-28.59,-60.98,8.94,-37.96,-80.94
B24,83.34,20.48,-62.87,-75.43,20.70,-62.65,-75.17,22.30,-61.05,-73.25
B25,99.94,19.21,-80.73,-80.78,27.47,-72.48,-72.52,39.76,-60.18,-60.21
B26,75.61,3.33,-72.28,-95.60,12.33,-63.28,-83.70,7.15,-68.46,-90.54
B27,41.18,2.88,-38.30,-93.01,4.56,-36.61,-88.92,4.94,-36.23,-88.00
B28,151.55,56.80,-94.74,-62.52,95.16,-56.39,-37.21,82.53,-69.02,-45.54
C01,82.97,***,***,***,80.29,-2.68,-3.23,65.43,-17.54,-21.14
C02,26.22,***,***,***,31.05,4.83,18.41,26.51,0.29,1.09
C03,90.97,***,***,***,70.64,-20.33,-22.35,72.49,-18.48,-20.31
C04,50.62,***,***,***,44.97,-5.66,-11.17,59.06,8.44,16.67
C05,68.29,***,***,***,77.50,9.20,13.48,75.91,7.61,11.15
C06,56.07,***,***,***,63.00,6.94,12.37,55.81,-0.26,-0.46
C07,35.06,***,***,***,43.92,8.86,25.26,40.92,5.86,16.70
C08,72.43,***,***,***,97.05,24.61,33.98,63.89,-8.54,-11.79
C09,79.16,***,***,***,87.51,8.35,10.55,81.14,1.98,2.50
C10,54.90,***,***,***,56.49,1.59,2.90,47.46,-7.44,-13.55
C11,34.12,***,***,***,53.07,18.95,55.55,27.42,-6.70,-19.63
C12,50.55,***,***,***,59.51,8.96,17.73,53.44,2.89,5.72
Mean,73.21,21.40,51.82,70.77,56.03,17.18,23.47,40.11,33.10,45.21
