ProjectUnit = RAP ASS 
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,02RXYR03-Attr,01PILEBURNYR03-Attr,01PILEBURNYR03-Diff,01PILEBURNYR03-%Diff,02RXYR01-Attr,02RXYR01-Diff,02RXYR01-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,01PILEBURNYR01-Attr,01PILEBURNYR01-Diff,01PILEBURNYR01-%Diff,02RXPOST-Attr,02RXPOST-Diff,02RXPOST-%Diff,01POSTPILE-Attr,01POSTPILE-Diff,01POSTPILE-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,01POSTPILEBURN-Attr,01POSTPILEBURN-Diff,01POSTPILEBURN-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year3-Attr,Re01Year3-Diff,Re01Year3-%Diff
YOWEST  1,3.50,0.00,-3.50,-100.00,0.00,-3.50,-100.00,***,***,***,0.00,-3.50,-100.00,0.00,-3.50,-100.00,0.00,-3.50,-100.00,***,***,***,***,***,***,0.00,-3.50,-100.00,***,***,***,***,***,***,***,***,***
YOWEST 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 14,8.96,10.24,1.28,14.30,10.24,1.28,14.30,***,***,***,11.11,2.15,24.02,10.24,1.28,14.30,***,***,***,***,***,***,***,***,***,21.68,12.73,142.13,***,***,***,***,***,***,***,***,***
YOWEST 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 2,0.00,0.00,0.00,0.00,1.80,1.80,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 3,2.57,4.07,1.50,58.34,0.00,-2.57,-100.00,***,***,***,3.33,0.76,29.44,17.92,15.35,597.09,23.96,21.39,832.07,***,***,***,***,***,***,23.96,21.39,832.07,***,***,***,***,***,***,***,***,***
YOWEST 4,0.00,0.00,0.00,0.00,1.17,1.17,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 5,0.00,0.00,0.00,0.00,1.45,1.45,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
20IN 1,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,11.20,***,***,***,***,***,***,***,***,***,***,***
20IN 10,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.15,***,***,0.64,***,***,***,***,***,***,***,***
20IN 11,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
