ProjectUnit = RAP ASS 
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,02RXYR03-Attr,01PILEBURNYR03-Attr,01PILEBURNYR03-Diff,01PILEBURNYR03-%Diff,02RXYR01-Attr,02RXYR01-Diff,02RXYR01-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,01PILEBURNYR01-Attr,01PILEBURNYR01-Diff,01PILEBURNYR01-%Diff,02RXPOST-Attr,02RXPOST-Diff,02RXPOST-%Diff,01POSTPILE-Attr,01POSTPILE-Diff,01POSTPILE-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,01POSTPILEBURN-Attr,01POSTPILEBURN-Diff,01POSTPILEBURN-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year3-Attr,Re01Year3-Diff,Re01Year3-%Diff
YOWEST  1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.91,0.91,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 2,0.00,14.28,14.28,***,0.00,0.00,0.00,***,***,***,15.39,15.39,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 3,27.51,0.00,-27.51,-100.00,2.37,-25.14,-91.39,***,***,***,0.00,-27.51,-100.00,0.00,-27.51,-100.00,0.00,-27.51,-100.00,***,***,***,***,***,***,0.00,-27.51,-100.00,***,***,***,***,***,***,***,***,***
YOWEST 4,0.00,3.51,3.51,***,0.00,0.00,0.00,***,***,***,4.12,4.12,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,6.40,6.40,***,***,***,***,***,***,***,***,***,***
YOWEST 5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
YOWEST 7,4.48,0.00,-4.48,-100.00,0.00,-4.48,-100.00,***,***,***,***,***,***,0.00,-4.48,-100.00,***,***,***,***,***,***,***,***,***,0.00,-4.48,-100.00,***,***,***,***,***,***,***,***,***
20IN 1,***,5.88,***,***,***,***,***,***,***,***,4.46,***,***,***,***,***,4.42,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***
20IN 10,***,0.00,***,***,***,***,***,***,***,***,1.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
20IN 11,***,0.00,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,20.50,***,***,***,***,***,***,***,***,***,***,***
20IN 12,***,1.30,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.40,***,***,***,***,***,***,***,***,***,***,***
