ProjectUnit = RAP ASS 
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,02RXYR03-Attr,01PILEBURNYR03-Attr,01PILEBURNYR03-Diff,01PILEBURNYR03-%Diff,02RXYR01-Attr,02RXYR01-Diff,02RXYR01-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,01PILEBURNYR01-Attr,01PILEBURNYR01-Diff,01PILEBURNYR01-%Diff,02RXPOST-Attr,02RXPOST-Diff,02RXPOST-%Diff,01POSTPILE-Attr,01POSTPILE-Diff,01POSTPILE-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,01POSTPILEBURN-Attr,01POSTPILEBURN-Diff,01POSTPILEBURN-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year3-Attr,Re01Year3-Diff,Re01Year3-%Diff
YOWEST  1,0.55,0.90,0.35,63.64,0.35,-0.20,-36.36,***,***,***,0.35,-0.20,-36.36,0.90,0.35,63.64,0.45,-0.10,-18.18,***,***,***,***,***,***,0.45,-0.10,-18.18,***,***,***,***,***,***,***,***,***
YOWEST 13,0.70,0.10,-0.60,-85.71,0.70,0.00,0.00,***,***,***,0.25,-0.45,-64.29,0.15,-0.55,-78.57,***,***,***,***,***,***,***,***,***,0.60,-0.10,-14.29,***,***,***,***,***,***,***,***,***
YOWEST 14,1.15,0.10,-1.05,-91.30,0.30,-0.85,-73.91,***,***,***,0.20,-0.95,-82.61,0.65,-0.50,-43.48,***,***,***,***,***,***,***,***,***,1.30,0.15,13.04,***,***,***,***,***,***,***,***,***
YOWEST 15,1.65,1.00,-0.65,-39.39,1.00,-0.65,-39.39,***,***,***,1.25,-0.40,-24.24,0.75,-0.90,-54.55,***,***,***,***,***,***,***,***,***,2.45,0.80,48.48,***,***,***,***,***,***,***,***,***
YOWEST 2,0.45,0.00,-0.45,-100.00,0.45,0.00,0.00,***,***,***,0.00,-0.45,-100.00,0.00,-0.45,-100.00,***,***,***,***,***,***,***,***,***,0.00,-0.45,-100.00,***,***,***,***,***,***,***,***,***
YOWEST 3,0.00,0.15,0.15,***,0.70,0.70,***,***,***,***,0.00,0.00,0.00,0.25,0.25,***,0.15,0.15,***,***,***,***,***,***,***,0.20,0.20,***,***,***,***,***,***,***,***,***,***
YOWEST 4,0.30,0.00,-0.30,-100.00,0.15,-0.15,-50.00,***,***,***,0.15,-0.15,-50.00,0.00,-0.30,-100.00,1.25,0.95,316.67,***,***,***,***,***,***,1.15,0.85,283.33,***,***,***,***,***,***,***,***,***
YOWEST 5,0.20,1.05,0.85,425.00,0.00,-0.20,-100.00,***,***,***,0.00,-0.20,-100.00,0.75,0.55,275.00,0.00,-0.20,-100.00,***,***,***,***,***,***,0.35,0.15,75.00,***,***,***,***,***,***,***,***,***
YOWEST 7,0.45,0.00,-0.45,-100.00,0.00,-0.45,-100.00,***,***,***,***,***,***,0.00,-0.45,-100.00,***,***,***,***,***,***,***,***,***,2.05,1.60,355.56,***,***,***,***,***,***,***,***,***
20IN 1,***,1.05,***,***,***,***,***,***,***,***,1.70,***,***,***,***,***,0.50,***,***,***,***,***,***,***,***,0.90,***,***,***,***,***,***,***,***,***,***,***
