ProjectUnit = RAP ASS 
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,02RXYR03-Attr,01PILEBURNYR03-Attr,01PILEBURNYR03-Diff,01PILEBURNYR03-%Diff,02RXYR01-Attr,02RXYR01-Diff,02RXYR01-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,01PILEBURNYR01-Attr,01PILEBURNYR01-Diff,01PILEBURNYR01-%Diff,02RXPOST-Attr,02RXPOST-Diff,02RXPOST-%Diff,01POSTPILE-Attr,01POSTPILE-Diff,01POSTPILE-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,01POSTPILEBURN-Attr,01POSTPILEBURN-Diff,01POSTPILEBURN-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year3-Attr,Re01Year3-Diff,Re01Year3-%Diff
YOWEST  1,6.49,4.49,-2.00,-30.77,3.74,-2.75,-42.31,***,***,***,1.50,-4.99,-76.92,4.49,-2.00,-30.77,1.75,-4.74,-73.08,***,***,***,***,***,***,4.24,-2.25,-34.62,***,***,***,***,***,***,***,***,***
YOWEST 13,2.75,9.48,6.74,245.45,2.50,-0.25,-9.09,***,***,***,3.74,1.00,36.36,2.75,0.00,0.00,***,***,***,***,***,***,***,***,***,5.74,2.99,109.09,***,***,***,***,***,***,***,***,***
YOWEST 14,3.74,2.25,-1.50,-40.00,0.00,-3.74,-100.00,***,***,***,4.24,0.50,13.33,1.25,-2.50,-66.67,***,***,***,***,***,***,***,***,***,5.49,1.75,46.67,***,***,***,***,***,***,***,***,***
YOWEST 15,3.49,14.23,10.73,307.14,8.73,5.24,150.00,***,***,***,8.24,4.74,135.71,6.24,2.75,78.57,***,***,***,***,***,***,***,***,***,11.73,8.24,235.71,***,***,***,***,***,***,***,***,***
YOWEST 2,1.50,4.49,2.99,200.00,7.74,6.24,416.67,***,***,***,0.75,-0.75,-50.00,1.25,-0.25,-16.67,***,***,***,***,***,***,***,***,***,2.75,1.25,83.33,***,***,***,***,***,***,***,***,***
YOWEST 3,1.25,3.49,2.25,180.00,1.50,0.25,20.00,***,***,***,3.99,2.75,220.00,1.00,-0.25,-20.00,8.98,7.74,620.00,***,***,***,***,***,***,9.98,8.73,700.00,***,***,***,***,***,***,***,***,***
YOWEST 4,2.00,2.75,0.75,37.50,2.00,0.00,0.00,***,***,***,3.49,1.50,75.00,1.00,-1.00,-50.00,9.73,7.74,387.50,***,***,***,***,***,***,5.99,3.99,200.00,***,***,***,***,***,***,***,***,***
YOWEST 5,3.99,2.00,-2.00,-50.00,3.49,-0.50,-12.50,***,***,***,1.50,-2.50,-62.50,2.25,-1.75,-43.75,5.74,1.75,43.75,***,***,***,***,***,***,1.00,-2.99,-75.00,***,***,***,***,***,***,***,***,***
YOWEST 7,0.00,0.75,0.75,***,1.25,1.25,***,***,***,***,***,***,***,0.50,0.50,***,***,***,***,***,***,***,***,***,***,4.24,4.24,***,***,***,***,***,***,***,***,***,***
20IN 1,***,2.75,***,***,***,***,***,***,***,***,2.25,***,***,***,***,***,1.25,***,***,***,***,***,***,***,***,10.98,***,***,***,***,***,***,***,***,***,***,***
20IN 10,***,15.72,***,***,***,***,***,***,***,***,7.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.24,***,***,1.75,***,***,***,***,***,***,***,***
20IN 11,***,10.98,***,***,***,***,***,***,***,***,8.73,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.49,***,***,***,***,***,***,***,***,***,***,***
20IN 12,***,1.75,***,***,***,***,***,***,***,***,3.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.24,***,***,***,***,***,***,***,***,***,***,***
20IN 13,***,4.24,***,***,***,***,***,***,***,***,4.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.48,***,***,***,***,***,***,***,***,***,***,***
20IN 14,***,8.24,***,***,***,***,***,***,***,***,7.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.00,***,***,2.00,***,***,***,***,***,***,***,***
20IN 2,***,4.49,***,***,***,***,***,***,***,***,2.99,***,***,***,***,***,0.75,***,***,***,***,***,***,***,***,3.99,***,***,***,***,***,***,***,***,***,***,***
20IN 3,***,8.73,***,***,***,***,***,***,***,***,5.49,***,***,***,***,***,3.74,***,***,***,***,***,***,***,***,3.24,***,***,***,***,***,***,***,***,***,***,***
20IN 4,***,10.48,***,***,***,***,***,***,***,***,28.70,***,***,***,***,***,5.49,***,***,***,***,***,***,***,***,4.74,***,***,***,***,***,***,***,***,***,***,***
20IN 5,***,4.24,***,***,***,***,***,***,***,***,4.99,***,***,***,***,***,3.99,***,***,***,***,***,***,***,***,4.99,***,***,***,***,***,***,***,***,***,***,***
20IN 6,***,2.00,***,***,***,***,***,***,***,***,1.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.74,***,***,0.75,***,***,***,***,***,***,***,***
20IN 7,***,2.50,***,***,***,***,***,***,***,***,3.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.75,***,***,0.50,***,***,***,***,***,***,***,***
20IN 8,***,2.00,***,***,***,***,***,***,***,***,2.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,48.42,***,***,***,***,***,***,***,***,***,***,***
20IN 9,***,24.96,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.75,***,***,6.24,***,***,***,***,***,***,***,***
BOFR 1,***,2.50,***,***,***,***,***,***,***,***,3.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.74,***,***,***,***,***,***,***,***,***,***,***
BOFR 10,***,6.74,***,***,***,***,***,***,***,***,5.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.98,***,***,***,***,***,***,***,***,***,***,***
BOFR 11,***,8.73,***,***,***,***,***,***,***,***,3.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.74,***,***,***,***,***,***,***,***,***,***,***
BOFR 12,***,2.99,***,***,***,***,***,***,***,***,2.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.74,***,***,***,***,***,***,***,***,***,***,***
BOFR 13,***,2.99,***,***,***,***,***,***,***,***,2.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.24,***,***,***,***,***,***,***,***,***,***,***
BOFR 14,***,4.24,***,***,***,***,***,***,***,***,4.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.49,***,***,***,***,***,***,***,***,***,***,***
BOFR 15,***,3.74,***,***,***,***,***,***,***,***,5.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.74,***,***,***,***,***,***,***,***,***,***,***
BOFR 17,***,8.24,***,***,***,***,***,***,***,***,3.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,13.98,***,***,***,***,***,***,***,***,***,***,***
BOFR 3,***,4.24,***,***,***,***,***,***,***,***,5.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.98,***,***,***,***,***,***,***,***,***,***,***
BOFR 4,***,15.72,***,***,***,***,***,***,***,***,18.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,32.94,***,***,***,***,***,***,***,***,***,***,***
BOFR 5,***,6.24,***,***,***,***,***,***,***,***,6.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,4.74,***,***,***,***,***,***,***,***,***,***,***
BOFR 6,***,6.24,***,***,***,***,***,***,***,***,7.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.25,***,***,***,***,***,***,***,***,***,***,***
BOFR 7,***,1.75,***,***,***,***,***,***,***,***,2.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.98,***,***,***,***,***,***,***,***,***,***,***
BOFR 8,***,1.50,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.73,***,***,***,***,***,***,***,***,***,***,***
BOFR 9,***,12.48,***,***,***,***,***,***,***,***,16.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.49,***,***,***,***,***,***,***,***,***,***,***
HO CA 1,***,5.49,***,***,***,***,***,***,***,***,3.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.74,***,***,***,***,***,***,***,***,***,***,***
HO CA 10,***,2.99,***,***,***,***,***,***,***,***,3.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.99,***,***,***,***,***,***,***,***,***,***,***
HO CA 11,***,4.99,***,***,***,***,***,***,***,***,2.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.75,***,***,***,***,***,***,***,***,***,***,***
HO CA 2,***,10.48,***,***,***,***,***,***,***,***,7.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,9.98,***,***,***,***,***,***,***,***,***,***,***
HO CA 3,***,4.74,***,***,***,***,***,***,***,***,4.24,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.49,***,***,***,***,***,***,***,***,***,***,***
HO CA 4,***,9.73,***,***,***,***,***,***,***,***,2.75,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.74,***,***,***,***,***,***,***,***,***,***,***
HO CA 5,***,4.24,***,***,***,***,***,***,***,***,2.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.74,***,***,***,***,***,***,***,***,***,***,***
HO CA 6,***,4.74,***,***,***,***,***,***,***,***,7.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,7.49,***,***,***,***,***,***,***,***,***,***,***
