ProjectUnit = RAP ASS 
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,02RXYR03-Attr,01PILEBURNYR03-Attr,01PILEBURNYR03-Diff,01PILEBURNYR03-%Diff,02RXYR01-Attr,02RXYR01-Diff,02RXYR01-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,01PILEBURNYR01-Attr,01PILEBURNYR01-Diff,01PILEBURNYR01-%Diff,02RXPOST-Attr,02RXPOST-Diff,02RXPOST-%Diff,01POSTPILE-Attr,01POSTPILE-Diff,01POSTPILE-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Pre00-Attr,Pre00-Diff,Pre00-%Diff,01POSTPILEBURN-Attr,01POSTPILEBURN-Diff,01POSTPILEBURN-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year3-Attr,Re01Year3-Diff,Re01Year3-%Diff
YOWEST  1,28.66,18.46,-10.20,-35.60,11.01,-17.65,-61.59,***,***,***,9.80,-18.86,-65.80,18.46,-10.20,-35.60,10.84,-17.82,-62.17,***,***,***,***,***,***,10.33,-18.33,-63.94,***,***,***,***,***,***,***,***,***
YOWEST 13,12.07,12.27,0.20,1.68,10.22,-1.85,-15.34,***,***,***,8.06,-4.01,-33.20,6.13,-5.94,-49.21,***,***,***,***,***,***,***,***,***,12.15,0.07,0.61,***,***,***,***,***,***,***,***,***
YOWEST 14,29.12,19.74,-9.38,-32.22,21.77,-7.35,-25.25,***,***,***,25.83,-3.29,-11.31,24.23,-4.89,-16.80,***,***,***,***,***,***,***,***,***,51.45,22.33,76.65,***,***,***,***,***,***,***,***,***
YOWEST 15,23.70,30.53,6.83,28.83,20.70,-3.00,-12.66,***,***,***,27.16,3.46,14.60,15.55,-8.15,-34.39,***,***,***,***,***,***,***,***,***,45.88,22.18,93.61,***,***,***,***,***,***,***,***,***
YOWEST 2,8.14,18.88,10.74,131.98,14.03,5.89,72.32,***,***,***,18.36,10.22,125.53,1.26,-6.87,-84.47,***,***,***,***,***,***,***,***,***,3.73,-4.41,-54.13,***,***,***,***,***,***,***,***,***
YOWEST 3,37.41,11.63,-25.77,-68.90,13.32,-24.09,-64.40,***,***,***,15.52,-21.88,-58.50,22.95,-14.46,-38.65,36.26,-1.15,-3.07,***,***,***,***,***,***,36.26,-1.15,-3.08,***,***,***,***,***,***,***,***,***
YOWEST 4,8.78,9.15,0.37,4.21,7.51,-1.28,-14.54,***,***,***,9.49,0.71,8.06,3.22,-5.56,-63.35,24.71,15.93,181.38,***,***,***,***,***,***,27.05,18.27,208.06,***,***,***,***,***,***,***,***,***
YOWEST 5,10.69,20.05,9.37,87.65,7.43,-3.26,-30.46,***,***,***,8.80,-1.88,-17.63,17.31,6.62,61.96,8.05,-2.64,-24.70,***,***,***,***,***,***,6.88,-3.81,-35.62,***,***,***,***,***,***,***,***,***
YOWEST 7,8.99,1.71,-7.28,-80.96,1.35,-7.64,-84.98,***,***,***,***,***,***,1.46,-7.53,-83.74,***,***,***,***,***,***,***,***,***,24.95,15.95,177.42,***,***,***,***,***,***,***,***,***
20IN 1,***,21.90,***,***,***,***,***,***,***,***,29.30,***,***,***,***,***,11.61,***,***,***,***,***,***,***,***,35.35,***,***,***,***,***,***,***,***,***,***,***
