ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,0.00,0.00,0.00,0.00,2.91,2.91,***,4.36,4.36,***,2.91,2.91,***,***,***,***,***,***,***,2.91,2.91,***,10.17,10.17,***,0.00,0.00,0.00,1.45,1.45,***,2.90,2.90,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 10,1.50,0.00,-1.50,-100.00,0.00,-1.50,-100.00,0.00,-1.50,-100.00,0.00,-1.50,-100.00,***,***,***,***,***,***,5.99,4.49,300.00,2.99,1.50,100.00,0.00,-1.50,-100.00,1.50,0.00,0.00,2.92,1.42,95.20,0.00,-1.50,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 11,3.02,4.54,1.51,50.00,4.54,1.51,50.00,1.51,-1.51,-50.00,3.02,0.00,0.00,***,***,***,***,***,***,3.02,0.00,0.00,0.00,-3.02,-100.00,1.51,-1.51,-50.00,0.00,-3.02,-100.00,1.50,-1.52,-50.38,0.00,-3.02,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,6.06,6.06,***,0.00,0.00,0.00,3.03,3.03,***,2.97,2.97,***,4.55,4.55,***,***,***,***,***,***,***,***,***,***
BCREEK 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,4.39,4.39,***,2.93,2.93,***,1.46,1.46,***,0.00,0.00,0.00,***,***,***,1.45,1.45,***,***,***,***,***,***,***
BCREEK 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,1.47,1.47,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 16,0.00,0.00,0.00,0.00,1.51,1.51,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,4.54,4.54,***,9.07,9.07,***,3.02,3.02,***,3.02,3.02,***,4.37,4.37,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 17,9.38,18.77,9.38,100.00,1.56,-7.82,-83.33,0.00,-9.38,-100.00,1.56,-7.82,-83.33,***,***,***,***,***,***,0.00,-9.38,-100.00,1.56,-7.82,-83.33,0.00,-9.38,-100.00,1.56,-7.82,-83.33,5.97,-3.41,-36.34,7.47,-1.92,-20.43,***,***,***,***,***,***,***,***,***
BCREEK 18,10.87,6.21,-4.66,-42.86,0.00,-10.87,-100.00,0.00,-10.87,-100.00,1.55,-9.32,-85.71,***,***,***,***,***,***,0.00,-10.87,-100.00,0.00,-10.87,-100.00,1.55,-9.32,-85.71,0.00,-10.87,-100.00,4.36,-6.51,-59.87,0.00,-10.87,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 19,6.03,6.03,0.00,0.00,0.00,-6.03,-100.00,0.00,-6.03,-100.00,0.00,-6.03,-100.00,***,***,***,***,***,***,0.00,-6.03,-100.00,1.51,-4.52,-75.00,3.02,-3.02,-50.00,3.02,-3.02,-50.00,2.91,-3.12,-51.77,4.36,-1.67,-27.65,***,***,***,***,***,***,***,***,***
BCREEK 2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,1.47,1.47,***,4.41,4.41,***,0.00,0.00,0.00,0.00,0.00,0.00,2.94,2.94,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 20,0.00,1.49,1.49,***,1.49,1.49,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.49,1.49,***,1.49,1.49,***,5.96,5.96,***,0.00,0.00,0.00,2.94,2.94,***,***,***,***,***,***,***,***,***,***
BCREEK 21,0.00,2.91,2.91,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,2.91,2.91,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,2.93,2.93,***,5.86,5.86,***,2.93,2.93,***,10.25,10.25,***,2.93,2.93,***,***,***,***,***,***,***,***,***,***
