ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 10,2.78,1.68,-1.10,-39.51,0.00,-2.78,-100.00,15.11,12.34,444.44,15.11,12.34,444.44,***,***,***,***,***,***,32.73,29.96,1079.01,26.08,23.31,839.51,0.00,-2.78,-100.00,0.00,-2.78,-100.00,0.00,-2.78,-100.00,0.00,-2.78,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.22,2.22,***,0.00,0.00,0.00,***,***,***,***,***,***,2.80,2.80,***,36.76,36.76,***,27.46,27.46,***,23.58,23.58,***,75.94,75.94,***,3.06,3.06,***,***,***,***,***,***,***,***,***,***
BCREEK 12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.83,68.83,***,***,***,***,***,***,***,***,***,***
BCREEK 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,38.21,38.21,***,29.33,29.33,***,30.31,30.31,***,28.90,28.90,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,4.08,4.08,***,2.71,2.71,***,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***
BCREEK 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.73,2.73,***,2.73,2.73,***,***,***,***,***,***,***,1.95,1.95,***,0.00,0.00,0.00,0.00,0.00,0.00,2.26,2.26,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 16,3.46,2.80,-0.66,-19.00,2.80,-0.66,-19.00,2.80,-0.66,-19.00,3.46,0.00,0.00,***,***,***,***,***,***,17.00,13.54,390.96,25.24,21.78,629.00,24.50,21.03,607.56,0.00,-3.46,-100.00,0.00,-3.46,-100.00,0.00,-3.46,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 17,11.60,11.60,0.00,0.00,10.35,-1.25,-10.80,0.00,-11.60,-100.00,0.00,-11.60,-100.00,***,***,***,***,***,***,0.00,-11.60,-100.00,3.72,-7.88,-67.90,19.35,7.75,66.77,162.80,151.20,1303.09,219.44,207.83,1791.18,165.61,154.01,1327.32,***,***,***,***,***,***,***,***,***
BCREEK 18,23.41,28.17,4.77,20.36,4.30,-19.10,-81.61,4.30,-19.10,-81.61,0.00,-23.41,-100.00,***,***,***,***,***,***,5.61,-17.79,-76.02,16.07,-7.33,-31.33,12.64,-10.77,-46.01,9.47,-13.93,-59.52,6.79,-16.62,-71.00,9.84,-13.57,-57.97,***,***,***,***,***,***,***,***,***
BCREEK 19,84.01,80.45,-3.56,-4.23,18.78,-65.23,-77.64,31.94,-52.07,-61.98,26.86,-57.15,-68.02,***,***,***,***,***,***,35.57,-48.45,-57.67,2.57,-81.44,-96.94,1.24,-82.77,-98.52,1.41,-82.60,-98.32,0.00,-84.01,-100.00,0.00,-84.01,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 20,38.28,29.62,-8.67,-22.64,22.72,-15.56,-40.64,22.72,-15.56,-40.64,0.00,-38.28,-100.00,***,***,***,***,***,***,31.39,-6.89,-18.00,7.17,-31.11,-81.28,7.53,-30.75,-80.33,26.75,-11.54,-30.14,15.60,-22.68,-59.24,9.49,-28.79,-75.21,***,***,***,***,***,***,***,***,***
BCREEK 21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,4.20,4.20,***,0.00,0.00,0.00,1.45,1.45,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 3,1.21,0.00,-1.21,-100.00,2.72,1.51,125.00,2.72,1.51,125.00,2.72,1.51,125.00,***,***,***,***,***,***,2.72,1.51,125.00,144.44,143.24,11866.22,81.19,79.98,6625.67,0.00,-1.21,-100.00,143.72,142.51,11805.90,35.02,33.81,2800.88,***,***,***,***,***,***,***,***,***
BCREEK 4,161.04,161.04,0.00,0.00,149.13,-11.90,-7.39,146.96,-14.07,-8.74,146.96,-14.07,-8.74,***,***,***,***,***,***,113.16,-47.88,-29.73,2.61,-158.43,-98.38,0.00,-161.04,-100.00,1.30,-159.73,-99.19,2.28,-158.76,-98.58,0.00,-161.04,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,6.09,6.09,***,119.70,119.70,***,15.39,15.39,***,1.55,1.55,***,1.21,1.21,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 6,2.15,2.15,0.00,0.00,0.00,-2.15,-100.00,1.65,-0.50,-23.44,1.65,-0.50,-23.44,***,***,***,***,***,***,0.00,-2.15,-100.00,7.09,4.94,229.69,1.84,-0.31,-14.44,0.00,-2.15,-100.00,0.00,-2.15,-100.00,0.00,-2.15,-100.00,***,***,***,***,***,***,***,***,***
BCREEK 7,30.44,9.26,-21.18,-69.59,5.71,-24.73,-81.24,0.00,-30.44,-100.00,19.46,-10.98,-36.07,***,***,***,***,***,***,39.77,9.32,30.63,18.38,-12.06,-39.62,4.09,-26.35,-86.57,2.62,-27.82,-91.41,3.41,-27.04,-88.81,3.98,-26.46,-86.91,***,***,***,***,***,***,***,***,***
BCREEK 8,0.00,12.27,12.27,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.64,1.64,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***
BCREEK 9,2.17,4.35,2.17,100.00,4.62,2.45,112.50,5.06,2.89,132.81,5.06,2.89,132.81,***,***,***,***,***,***,19.13,16.95,779.69,57.35,55.18,2537.50,5.42,3.24,149.13,5.78,3.60,165.63,4.24,2.07,95.18,4.76,2.59,119.05,***,***,***,***,***,***,***,***,***
MG2 Plot 1,***,3.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,6.46,***,***
MG2 Plot 10,3.78,***,***,***,23.34,19.56,516.81,5.66,1.88,49.56,6.46,2.68,70.80,4.82,1.04,27.43,23.57,19.78,522.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 11,0.00,18.20,18.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,11.90,11.90,***,14.54,14.54,***,11.16,11.16,***,***,***,***,***,***,***,***,***,***,11.36,11.36,***
MG2 Plot 12,6.18,75.22,69.04,1117.84,5.64,-0.53,-8.65,1.64,-4.54,-73.51,0.00,-6.18,-100.00,0.00,-6.18,-100.00,0.00,-6.18,-100.00,***,***,***,***,***,***,38.59,32.42,524.86,30.26,24.08,389.90,38.14,31.96,517.48,***,***,***,***,***,***,***,***,***,4.04,-2.14,-34.58
MG2 Plot 13,***,1.29,***,***,1.65,***,***,0.00,***,***,1.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,13.45,***,***
MG2 Plot 14,0.00,93.30,93.30,***,158.31,158.31,***,158.31,158.31,***,29.93,29.93,***,29.93,29.93,***,29.93,29.93,***,***,***,***,***,***,***,76.61,76.61,***,92.03,92.03,***,84.48,84.48,***,***,***,***,***,***,***,***,***,***,99.11,99.11,***
MG2 Plot 15,***,0.00,***,***,2.19,***,***,***,***,***,4.14,***,***,4.14,***,***,4.14,***,***,***,***,***,***,***,***,***,***,***,8.97,***,***,9.20,***,***,***,***,***,***,***,***,***,***,***,9.88,***,***
