ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,2.40,3.10,0.70,29.17,0.00,-2.40,-100.00,0.00,-2.40,-100.00,0.00,-2.40,-100.00,***,***,***,***,***,***,0.00,-2.40,-100.00,1.70,-0.70,-29.17,0.00,-2.40,-100.00,0.60,-1.80,-75.00,0.45,-1.95,-81.25,0.90,-1.50,-62.50,***,***,***,***,***,***,***,***,***
BCREEK 10,2.70,2.35,-0.35,-12.96,0.00,-2.70,-100.00,0.00,-2.70,-100.00,0.00,-2.70,-100.00,***,***,***,***,***,***,0.00,-2.70,-100.00,1.75,-0.95,-35.19,1.25,-1.45,-53.70,0.65,-2.05,-75.93,1.30,-1.40,-51.85,1.45,-1.25,-46.30,***,***,***,***,***,***,***,***,***
BCREEK 11,3.05,1.90,-1.15,-37.70,0.05,-3.00,-98.36,0.25,-2.80,-91.80,0.00,-3.05,-100.00,***,***,***,***,***,***,0.00,-3.05,-100.00,1.90,-1.15,-37.70,0.35,-2.70,-88.52,1.25,-1.80,-59.02,1.80,-1.25,-40.98,1.20,-1.85,-60.66,***,***,***,***,***,***,***,***,***
BCREEK 12,2.40,2.65,0.25,10.42,0.05,-2.35,-97.92,0.15,-2.25,-93.75,0.05,-2.35,-97.92,***,***,***,***,***,***,0.00,-2.40,-100.00,3.80,1.40,58.33,0.70,-1.70,-70.83,0.60,-1.80,-75.00,0.90,-1.50,-62.50,1.35,-1.05,-43.75,***,***,***,***,***,***,***,***,***
BCREEK 13,1.10,1.25,0.15,13.64,0.40,-0.70,-63.64,0.40,-0.70,-63.64,1.00,-0.10,-9.09,***,***,***,***,***,***,0.90,-0.20,-18.18,1.80,0.70,63.64,0.15,-0.95,-86.36,0.00,-1.10,-100.00,0.05,-1.05,-95.45,0.35,-0.75,-68.18,***,***,***,***,***,***,***,***,***
BCREEK 14,0.10,0.40,0.30,300.00,0.00,-0.10,-100.00,0.00,-0.10,-100.00,0.00,-0.10,-100.00,***,***,***,***,***,***,0.35,0.25,250.00,0.45,0.35,350.00,0.30,0.20,200.00,0.00,-0.10,-100.00,0.00,-0.10,-100.00,***,***,***,0.05,-0.05,-50.00,***,***,***,***,***,***
BCREEK 15,2.65,2.70,0.05,1.89,0.00,-2.65,-100.00,0.95,-1.70,-64.15,0.05,-2.60,-98.11,***,***,***,***,***,***,0.30,-2.35,-88.68,2.15,-0.50,-18.87,2.30,-0.35,-13.21,1.80,-0.85,-32.08,4.20,1.55,58.49,1.55,-1.10,-41.51,***,***,***,***,***,***,***,***,***
BCREEK 16,3.50,2.60,-0.90,-25.71,0.00,-3.50,-100.00,0.00,-3.50,-100.00,0.30,-3.20,-91.43,***,***,***,***,***,***,0.00,-3.50,-100.00,1.70,-1.80,-51.43,0.80,-2.70,-77.14,1.25,-2.25,-64.29,0.75,-2.75,-78.57,1.50,-2.00,-57.14,***,***,***,***,***,***,***,***,***
BCREEK 17,0.90,1.00,0.10,11.11,0.05,-0.85,-94.44,0.00,-0.90,-100.00,0.00,-0.90,-100.00,***,***,***,***,***,***,0.00,-0.90,-100.00,2.15,1.25,138.89,0.50,-0.40,-44.44,0.25,-0.65,-72.22,0.40,-0.50,-55.56,0.75,-0.15,-16.67,***,***,***,***,***,***,***,***,***
BCREEK 18,1.75,1.15,-0.60,-34.29,0.05,-1.70,-97.14,0.00,-1.75,-100.00,0.05,-1.70,-97.14,***,***,***,***,***,***,0.00,-1.75,-100.00,0.45,-1.30,-74.29,0.70,-1.05,-60.00,0.45,-1.30,-74.29,0.10,-1.65,-94.29,1.00,-0.75,-42.86,***,***,***,***,***,***,***,***,***
