ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,23.96,30.95,6.99,29.17,0.00,-23.96,-100.00,0.00,-23.96,-100.00,0.00,-23.96,-100.00,***,***,***,***,***,***,0.00,-23.96,-100.00,16.97,-6.99,-29.17,0.00,-23.96,-100.00,5.99,-17.97,-75.00,4.49,-19.47,-81.25,8.98,-14.97,-62.50,***,***,***,***,***,***,***,***,***
BCREEK 10,26.95,23.46,-3.49,-12.96,0.00,-26.95,-100.00,0.00,-26.95,-100.00,0.00,-26.95,-100.00,***,***,***,***,***,***,0.00,-26.95,-100.00,17.47,-9.48,-35.19,12.48,-14.47,-53.70,6.49,-20.46,-75.93,12.98,-13.98,-51.85,14.47,-12.48,-46.30,***,***,***,***,***,***,***,***,***
BCREEK 11,30.45,18.97,-11.48,-37.70,0.50,-29.95,-98.36,2.50,-27.95,-91.80,0.00,-30.45,-100.00,***,***,***,***,***,***,0.00,-30.45,-100.00,18.97,-11.48,-37.70,3.49,-26.95,-88.52,12.48,-17.97,-59.02,17.97,-12.48,-40.98,11.98,-18.47,-60.66,***,***,***,***,***,***,***,***,***
BCREEK 12,23.96,26.45,2.50,10.42,0.50,-23.46,-97.92,1.50,-22.46,-93.75,0.50,-23.46,-97.92,***,***,***,***,***,***,0.00,-23.96,-100.00,37.93,13.98,58.33,6.99,-16.97,-70.83,5.99,-17.97,-75.00,8.98,-14.97,-62.50,13.48,-10.48,-43.75,***,***,***,***,***,***,***,***,***
BCREEK 13,10.98,12.48,1.50,13.64,3.99,-6.99,-63.64,3.99,-6.99,-63.64,9.98,-1.00,-9.09,***,***,***,***,***,***,8.98,-2.00,-18.18,17.97,6.99,63.64,1.50,-9.48,-86.36,0.00,-10.98,-100.00,0.50,-10.48,-95.45,3.49,-7.49,-68.18,***,***,***,***,***,***,***,***,***
BCREEK 14,1.00,3.99,2.99,300.00,0.00,-1.00,-100.00,0.00,-1.00,-100.00,0.00,-1.00,-100.00,***,***,***,***,***,***,3.49,2.50,250.00,4.49,3.49,350.00,2.99,2.00,200.00,0.00,-1.00,-100.00,0.00,-1.00,-100.00,***,***,***,0.50,-0.50,-50.00,***,***,***,***,***,***
BCREEK 15,26.45,26.95,0.50,1.89,0.00,-26.45,-100.00,9.48,-16.97,-64.15,0.50,-25.95,-98.11,***,***,***,***,***,***,2.99,-23.46,-88.68,21.46,-4.99,-18.87,22.96,-3.49,-13.21,17.97,-8.49,-32.08,41.93,15.47,58.49,15.47,-10.98,-41.51,***,***,***,***,***,***,***,***,***
BCREEK 16,34.94,25.95,-8.98,-25.71,0.00,-34.94,-100.00,0.00,-34.94,-100.00,2.99,-31.94,-91.43,***,***,***,***,***,***,0.00,-34.94,-100.00,16.97,-17.97,-51.43,7.99,-26.95,-77.14,12.48,-22.46,-64.29,7.49,-27.45,-78.57,14.97,-19.97,-57.14,***,***,***,***,***,***,***,***,***
BCREEK 17,8.98,9.98,1.00,11.11,0.50,-8.49,-94.44,0.00,-8.98,-100.00,0.00,-8.98,-100.00,***,***,***,***,***,***,0.00,-8.98,-100.00,21.46,12.48,138.89,4.99,-3.99,-44.44,2.50,-6.49,-72.22,3.99,-4.99,-55.56,7.49,-1.50,-16.67,***,***,***,***,***,***,***,***,***
BCREEK 18,17.47,11.48,-5.99,-34.29,0.50,-16.97,-97.14,0.00,-17.47,-100.00,0.50,-16.97,-97.14,***,***,***,***,***,***,0.00,-17.47,-100.00,4.49,-12.98,-74.29,6.99,-10.48,-60.00,4.49,-12.98,-74.29,1.00,-16.47,-94.29,9.98,-7.49,-42.86,***,***,***,***,***,***,***,***,***
BCREEK 19,29.45,18.97,-10.48,-35.59,0.00,-29.45,-100.00,0.00,-29.45,-100.00,0.00,-29.45,-100.00,***,***,***,***,***,***,0.00,-29.45,-100.00,18.97,-10.48,-35.59,9.48,-19.97,-67.80,9.48,-19.97,-67.80,13.98,-15.47,-52.54,8.98,-20.46,-69.49,***,***,***,***,***,***,***,***,***
BCREEK 2,49.41,33.44,-15.97,-32.32,0.00,-49.41,-100.00,13.98,-35.44,-71.72,5.99,-43.42,-87.88,***,***,***,***,***,***,0.50,-48.91,-98.99,21.46,-27.95,-56.57,2.99,-46.42,-93.94,3.99,-45.42,-91.92,5.99,-43.42,-87.88,5.99,-43.42,-87.88,***,***,***,***,***,***,***,***,***
BCREEK 20,1.00,2.99,2.00,200.00,0.50,-0.50,-50.00,0.00,-1.00,-100.00,0.00,-1.00,-100.00,***,***,***,***,***,***,0.00,-1.00,-100.00,25.46,24.46,2450.00,18.47,17.47,1750.00,5.99,4.99,500.00,14.97,13.98,1400.00,6.49,5.49,550.00,***,***,***,***,***,***,***,***,***
BCREEK 21,15.97,77.36,61.39,384.38,0.00,-15.97,-100.00,0.00,-15.97,-100.00,0.00,-15.97,-100.00,***,***,***,***,***,***,0.00,-15.97,-100.00,10.98,-4.99,-31.25,6.49,-9.48,-59.38,2.00,-13.98,-87.50,8.49,-7.49,-46.88,4.99,-10.98,-68.75,***,***,***,***,***,***,***,***,***
BCREEK 3,4.49,1.00,-3.49,-77.78,0.00,-4.49,-100.00,1.00,-3.49,-77.78,2.50,-2.00,-44.44,***,***,***,***,***,***,0.50,-3.99,-88.89,12.98,8.49,188.89,2.99,-1.50,-33.33,4.49,0.00,0.00,12.48,7.99,177.78,9.98,5.49,122.22,***,***,***,***,***,***,***,***,***
BCREEK 4,46.42,24.96,-21.46,-46.24,0.00,-46.42,-100.00,0.00,-46.42,-100.00,0.00,-46.42,-100.00,***,***,***,***,***,***,54.90,8.49,18.28,15.47,-30.95,-66.67,4.49,-41.93,-90.32,3.49,-42.92,-92.47,8.49,-37.93,-81.72,20.46,-25.95,-55.91,***,***,***,***,***,***,***,***,***
BCREEK 5,22.96,7.99,-14.97,-65.22,3.99,-18.97,-82.61,4.49,-18.47,-80.43,2.99,-19.97,-86.96,***,***,***,***,***,***,3.49,-19.47,-84.78,16.47,-6.49,-28.26,0.50,-22.46,-97.83,0.50,-22.46,-97.83,3.99,-18.97,-82.61,5.99,-16.97,-73.91,***,***,***,***,***,***,***,***,***
BCREEK 6,19.97,24.46,4.49,22.50,0.50,-19.47,-97.50,7.99,-11.98,-60.00,1.00,-18.97,-95.00,***,***,***,***,***,***,2.99,-16.97,-85.00,23.96,3.99,20.00,3.99,-15.97,-80.00,2.00,-17.97,-90.00,5.49,-14.47,-72.50,6.49,-13.48,-67.50,***,***,***,***,***,***,***,***,***
BCREEK 7,24.96,130.77,105.81,424.00,0.00,-24.96,-100.00,0.00,-24.96,-100.00,0.50,-24.46,-98.00,***,***,***,***,***,***,0.00,-24.96,-100.00,12.98,-11.98,-48.00,1.00,-23.96,-96.00,0.00,-24.96,-100.00,4.49,-20.46,-82.00,6.49,-18.47,-74.00,***,***,***,***,***,***,***,***,***
BCREEK 8,15.97,24.46,8.49,53.13,1.50,-14.47,-90.63,0.50,-15.47,-96.88,3.49,-12.48,-78.13,***,***,***,***,***,***,2.50,-13.48,-84.38,7.49,-8.49,-53.13,2.00,-13.98,-87.50,2.50,-13.48,-84.38,5.99,-9.98,-62.50,2.99,-12.98,-81.25,***,***,***,***,***,***,***,***,***
BCREEK 9,41.43,47.42,5.99,14.46,0.00,-41.43,-100.00,0.00,-41.43,-100.00,0.00,-41.43,-100.00,***,***,***,***,***,***,0.00,-41.43,-100.00,9.98,-31.44,-75.90,25.95,-15.47,-37.35,21.96,-19.47,-46.99,24.96,-16.47,-39.76,28.45,-12.98,-31.33,***,***,***,***,***,***,***,***,***
MG2 Plot 1,20.46,23.46,2.99,14.63,22.46,2.00,9.76,18.97,-1.50,-7.32,13.98,-6.49,-31.71,15.47,-4.99,-24.39,16.47,-3.99,-19.51,***,***,***,***,***,***,0.00,-20.46,-100.00,2.50,-17.97,-87.80,2.00,-18.47,-90.24,***,***,***,***,***,***,***,***,***,0.00,-20.46,-100.00
MG2 Plot 10,33.44,0.00,-33.44,-100.00,0.00,-33.44,-100.00,1.00,-32.44,-97.01,2.99,-30.45,-91.04,2.50,-30.95,-92.54,1.50,-31.94,-95.52,***,***,***,***,***,***,0.00,-33.44,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 11,49.41,21.46,-27.95,-56.57,0.00,-49.41,-100.00,0.00,-49.41,-100.00,0.00,-49.41,-100.00,0.50,-48.91,-98.99,1.50,-47.92,-96.97,***,***,***,***,***,***,1.50,-47.92,-96.97,5.99,-43.42,-87.88,6.49,-42.92,-86.87,***,***,***,***,***,***,***,***,***,0.00,-49.41,-100.00
MG2 Plot 12,37.43,17.97,-19.47,-52.00,0.00,-37.43,-100.00,0.00,-37.43,-100.00,1.00,-36.44,-97.33,3.99,-33.44,-89.33,0.50,-36.94,-98.67,***,***,***,***,***,***,0.00,-37.43,-100.00,1.50,-35.94,-96.00,5.49,-31.94,-85.33,***,***,***,***,***,***,***,***,***,0.00,-37.43,-100.00
MG2 Plot 13,15.97,7.49,-8.49,-53.13,0.00,-15.97,-100.00,0.00,-15.97,-100.00,24.96,8.98,56.25,0.00,-15.97,-100.00,3.99,-11.98,-75.00,***,***,***,***,***,***,0.00,-15.97,-100.00,39.93,23.96,150.00,39.93,23.96,150.00,***,***,***,***,***,***,***,***,***,0.00,-15.97,-100.00
