ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.55,1.55,***,0.15,0.15,***,0.10,0.10,***,0.10,0.10,***,0.45,0.45,***,***,***,***,***,***,***,***,***,***
BCREEK 10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,2.00,2.00,***,0.00,0.00,0.00,1.30,1.30,***,0.50,0.50,***,1.30,1.30,***,***,***,***,***,***,***,***,***,***
BCREEK 11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,2.05,2.05,***,0.60,0.60,***,0.80,0.80,***,1.30,1.30,***,1.15,1.15,***,***,***,***,***,***,***,***,***,***
BCREEK 12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.90,1.90,***,0.00,0.00,0.00,0.65,0.65,***,1.30,1.30,***,1.25,1.25,***,***,***,***,***,***,***,***,***,***
BCREEK 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.15,1.15,***,0.00,0.00,0.00,0.45,0.45,***,0.85,0.85,***,0.10,0.10,***,***,***,***,***,***,***,***,***,***
BCREEK 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.25,1.25,***,0.00,0.00,0.00,0.10,0.10,***,0.40,0.40,***,***,***,***,0.15,0.15,***,***,***,***,***,***,***
BCREEK 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.40,1.40,***,0.35,0.35,***,1.00,1.00,***,0.85,0.85,***,1.35,1.35,***,***,***,***,***,***,***,***,***,***
BCREEK 16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.80,1.80,***,0.10,0.10,***,1.25,1.25,***,1.10,1.10,***,0.75,0.75,***,***,***,***,***,***,***,***,***,***
BCREEK 17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,2.05,2.05,***,0.60,0.60,***,0.35,0.35,***,0.80,0.80,***,0.50,0.50,***,***,***,***,***,***,***,***,***,***
BCREEK 18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.00,1.00,***,0.65,0.65,***,0.55,0.55,***,0.35,0.35,***,0.80,0.80,***,***,***,***,***,***,***,***,***,***
BCREEK 19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.50,1.50,***,1.10,1.10,***,0.95,0.95,***,1.05,1.05,***,0.85,0.85,***,***,***,***,***,***,***,***,***,***
BCREEK 2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.35,1.35,***,0.00,0.00,0.00,1.20,1.20,***,0.70,0.70,***,1.00,1.00,***,***,***,***,***,***,***,***,***,***
BCREEK 20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,2.65,2.65,***,0.40,0.40,***,0.10,0.10,***,0.60,0.60,***,1.00,1.00,***,***,***,***,***,***,***,***,***,***
BCREEK 21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.10,1.10,***,0.65,0.65,***,0.35,0.35,***,0.75,0.75,***,0.50,0.50,***,***,***,***,***,***,***,***,***,***
BCREEK 3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.90,1.90,***,0.30,0.30,***,0.35,0.35,***,0.30,0.30,***,0.85,0.85,***,***,***,***,***,***,***,***,***,***
BCREEK 4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,2.05,2.05,***,0.50,0.50,***,0.80,0.80,***,0.90,0.90,***,1.25,1.25,***,***,***,***,***,***,***,***,***,***
BCREEK 5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.75,0.75,***,0.00,0.00,0.00,1.30,1.30,***,0.10,0.10,***,0.40,0.40,***,***,***,***,***,***,***,***,***,***
BCREEK 6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.30,1.30,***,0.00,0.00,0.00,1.65,1.65,***,1.20,1.20,***,0.50,0.50,***,***,***,***,***,***,***,***,***,***
BCREEK 7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.80,0.80,***,0.05,0.05,***,0.40,0.40,***,0.35,0.35,***,0.30,0.30,***,***,***,***,***,***,***,***,***,***
BCREEK 8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.50,1.50,***,0.05,0.05,***,0.10,0.10,***,0.05,0.05,***,0.70,0.70,***,***,***,***,***,***,***,***,***,***
BCREEK 9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,6.00,6.00,***,2.25,2.25,***,1.25,1.25,***,2.45,2.45,***,7.50,7.50,***,***,***,***,***,***,***,***,***,***
MG2 Plot 1,0.00,2.35,2.35,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.70,0.70,***,***,***,***,***,***,***,***,***,***,1.75,1.75,***
MG2 Plot 10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 11,0.00,3.05,3.05,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.25,0.25,***,0.55,0.55,***,0.70,0.70,***,***,***,***,***,***,***,***,***,***,3.00,3.00,***
MG2 Plot 12,0.00,2.10,2.10,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.25,0.25,***,0.25,0.25,***,***,***,***,***,***,***,***,***,***,0.75,0.75,***
MG2 Plot 13,0.00,2.50,2.50,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.10,0.10,***,0.20,0.20,***,***,***,***,***,***,***,***,***,***,3.00,3.00,***
MG2 Plot 14,0.00,1.70,1.70,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.70,0.70,***,2.90,2.90,***,2.20,2.20,***,***,***,***,***,***,***,***,***,***,11.00,11.00,***
MG2 Plot 15,0.00,0.50,0.50,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.05,0.05,***,0.50,0.50,***,***,***,***,***,***,***,***,***,***,0.25,0.25,***
MG2 Plot 16,0.00,0.45,0.45,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.10,0.10,***,0.15,0.15,***,0.60,0.60,***,***,***,***,***,***,***,***,***,***,0.30,0.30,***
MG2 Plot 17,0.00,1.80,1.80,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.15,0.15,***,0.25,0.25,***,***,***,***,***,***,***,***,***,***,0.40,0.40,***
MG2 Plot 18,0.00,2.75,2.75,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,***,***,***,***,***,***,***,***,***,***,1.00,1.00,***
MG2 Plot 19,0.00,0.85,0.85,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,1.20,1.20,***,0.20,0.20,***,0.45,0.45,***,***,***,***,***,***,***,***,***,***,1.85,1.85,***
MG2 Plot 2,0.00,3.80,3.80,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.40,0.40,***,0.45,0.45,***,***,***,***,***,***,***,***,***,***,3.75,3.75,***
MG2 Plot 20,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.15,0.15,***,0.70,0.70,***,***,***,***,***,***,***,***,***,***,0.85,0.85,***
MG2 Plot 3,0.00,4.50,4.50,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.20,0.20,***,0.35,0.35,***,***,***,***,***,***,***,***,***,***,0.40,0.40,***
