ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = Litter
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,7.74,7.74,***,0.75,0.75,***,0.50,0.50,***,0.50,0.50,***,2.25,2.25,***,***,***,***,***,***,***,***,***,***
BCREEK 10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,9.98,9.98,***,0.00,0.00,0.00,6.49,6.49,***,2.50,2.50,***,6.49,6.49,***,***,***,***,***,***,***,***,***,***
BCREEK 11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,10.23,10.23,***,2.99,2.99,***,3.99,3.99,***,6.49,6.49,***,5.74,5.74,***,***,***,***,***,***,***,***,***,***
BCREEK 12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,9.48,9.48,***,0.00,0.00,0.00,3.24,3.24,***,6.49,6.49,***,6.24,6.24,***,***,***,***,***,***,***,***,***,***
BCREEK 13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,5.74,5.74,***,0.00,0.00,0.00,2.25,2.25,***,4.24,4.24,***,0.50,0.50,***,***,***,***,***,***,***,***,***,***
BCREEK 14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,6.24,6.24,***,0.00,0.00,0.00,0.50,0.50,***,2.00,2.00,***,***,***,***,0.75,0.75,***,***,***,***,***,***,***
BCREEK 15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,6.99,6.99,***,1.75,1.75,***,4.99,4.99,***,4.24,4.24,***,6.74,6.74,***,***,***,***,***,***,***,***,***,***
BCREEK 16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,8.98,8.98,***,0.50,0.50,***,6.24,6.24,***,5.49,5.49,***,3.74,3.74,***,***,***,***,***,***,***,***,***,***
BCREEK 17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,10.23,10.23,***,2.99,2.99,***,1.75,1.75,***,3.99,3.99,***,2.50,2.50,***,***,***,***,***,***,***,***,***,***
BCREEK 18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,4.99,4.99,***,3.24,3.24,***,2.75,2.75,***,1.75,1.75,***,3.99,3.99,***,***,***,***,***,***,***,***,***,***
BCREEK 19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,7.49,7.49,***,5.49,5.49,***,4.74,4.74,***,5.24,5.24,***,4.24,4.24,***,***,***,***,***,***,***,***,***,***
BCREEK 2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,6.74,6.74,***,0.00,0.00,0.00,5.99,5.99,***,3.49,3.49,***,4.99,4.99,***,***,***,***,***,***,***,***,***,***
BCREEK 20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,13.23,13.23,***,2.00,2.00,***,0.50,0.50,***,2.99,2.99,***,4.99,4.99,***,***,***,***,***,***,***,***,***,***
BCREEK 21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,5.49,5.49,***,3.24,3.24,***,1.75,1.75,***,3.74,3.74,***,2.50,2.50,***,***,***,***,***,***,***,***,***,***
BCREEK 3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,9.48,9.48,***,1.50,1.50,***,1.75,1.75,***,1.50,1.50,***,4.24,4.24,***,***,***,***,***,***,***,***,***,***
BCREEK 4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,10.23,10.23,***,2.50,2.50,***,3.99,3.99,***,4.49,4.49,***,6.24,6.24,***,***,***,***,***,***,***,***,***,***
BCREEK 5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,3.74,3.74,***,0.00,0.00,0.00,6.49,6.49,***,0.50,0.50,***,2.00,2.00,***,***,***,***,***,***,***,***,***,***
BCREEK 6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,6.49,6.49,***,0.00,0.00,0.00,8.24,8.24,***,5.99,5.99,***,2.50,2.50,***,***,***,***,***,***,***,***,***,***
BCREEK 7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,3.99,3.99,***,0.25,0.25,***,2.00,2.00,***,1.75,1.75,***,1.50,1.50,***,***,***,***,***,***,***,***,***,***
BCREEK 8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,7.49,7.49,***,0.25,0.25,***,0.50,0.50,***,0.25,0.25,***,3.49,3.49,***,***,***,***,***,***,***,***,***,***
BCREEK 9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,29.95,29.95,***,11.23,11.23,***,6.24,6.24,***,12.23,12.23,***,37.43,37.43,***,***,***,***,***,***,***,***,***,***
MG2 Plot 1,0.00,11.73,11.73,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,3.49,3.49,***,***,***,***,***,***,***,***,***,***,8.73,8.73,***
MG2 Plot 10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
MG2 Plot 11,0.00,15.22,15.22,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,1.25,1.25,***,2.75,2.75,***,3.49,3.49,***,***,***,***,***,***,***,***,***,***,14.97,14.97,***
MG2 Plot 12,0.00,10.48,10.48,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,1.25,1.25,***,1.25,1.25,***,***,***,***,***,***,***,***,***,***,3.74,3.74,***
MG2 Plot 13,0.00,12.48,12.48,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.50,0.50,***,1.00,1.00,***,***,***,***,***,***,***,***,***,***,14.97,14.97,***
MG2 Plot 14,0.00,8.49,8.49,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,3.49,3.49,***,14.47,14.47,***,10.98,10.98,***,***,***,***,***,***,***,***,***,***,54.90,54.90,***
MG2 Plot 15,0.00,2.50,2.50,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.25,0.25,***,2.50,2.50,***,***,***,***,***,***,***,***,***,***,1.25,1.25,***
MG2 Plot 16,0.00,2.25,2.25,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.50,0.50,***,0.75,0.75,***,2.99,2.99,***,***,***,***,***,***,***,***,***,***,1.50,1.50,***
