ProjectUnit = RETRO FUELS
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,Pre00Year01-Attr,Pre00-Attr,Pre00-Diff,Pre00-%Diff,Post01-Attr,Post01-Diff,Post01-%Diff,Re01Year01-Attr,Re01Year01-Diff,Re01Year01-%Diff,Re01Year02-Attr,Re01Year02-Diff,Re01Year02-%Diff,Re01Year03-Attr,Re01Year03-Diff,Re01Year03-%Diff,Re01Year04-Attr,Re01Year04-Diff,Re01Year04-%Diff,Re01Year05-Attr,Re01Year05-Diff,Re01Year05-%Diff,Re01Year16-Attr,Re01Year16-Diff,Re01Year16-%Diff,Post02-Attr,Post02-Diff,Post02-%Diff,Re02Year01-Attr,Re02Year01-Diff,Re02Year01-%Diff,Re02Year02-Attr,Re02Year02-Diff,Re02Year02-%Diff,Re02Year5-Attr,Re02Year5-Diff,Re02Year5-%Diff,Re02Year05-Attr,Re02Year05-Diff,Re02Year05-%Diff,Re02year11-Attr,Re02year11-Diff,Re02year11-%Diff,Re02Year06-Attr,Re02Year06-Diff,Re02Year06-%Diff
BCREEK 1,24.23,32.01,7.79,32.13,4.01,-20.22,-83.46,5.86,-18.37,-75.81,3.89,-20.33,-83.93,***,***,***,***,***,***,4.15,-20.07,-82.86,38.39,14.16,58.44,1.05,-23.18,-95.65,8.04,-16.19,-66.83,8.60,-15.63,-64.51,11.33,-12.90,-53.25,***,***,***,***,***,***,***,***,***
BCREEK 10,36.68,30.02,-6.65,-18.14,0.02,-36.66,-99.96,15.46,-21.22,-57.84,15.48,-21.20,-57.80,***,***,***,***,***,***,41.67,4.99,13.62,61.26,24.58,67.01,33.40,-3.28,-8.94,46.18,9.51,25.92,65.41,28.73,78.33,47.21,10.53,28.72,***,***,***,***,***,***,***,***,***
BCREEK 11,34.20,28.37,-5.84,-17.06,6.68,-27.52,-80.46,7.59,-26.61,-77.81,3.76,-30.45,-89.02,***,***,***,***,***,***,9.88,-24.33,-71.13,68.51,34.31,100.30,41.68,7.48,21.87,43.89,9.68,28.31,116.95,82.74,241.92,42.06,7.86,22.97,***,***,***,***,***,***,***,***,***
BCREEK 12,24.99,27.10,2.11,8.44,0.53,-24.46,-97.87,2.13,-22.86,-91.47,1.22,-23.78,-95.13,***,***,***,***,***,***,1.05,-23.94,-95.79,55.40,30.41,121.67,7.36,-17.64,-70.57,12.90,-12.09,-48.38,18.53,-6.47,-25.87,93.41,68.42,273.76,***,***,***,***,***,***,***,***,***
BCREEK 13,10.98,12.85,1.87,17.05,4.03,-6.96,-63.34,4.07,-6.91,-62.90,9.98,-1.00,-9.09,***,***,***,***,***,***,9.02,-1.96,-17.89,77.43,66.45,605.15,39.10,28.12,256.10,41.47,30.49,277.65,45.97,34.99,318.66,33.95,22.97,209.21,***,***,***,***,***,***,***,***,***
BCREEK 14,3.98,4.94,0.96,24.20,0.61,-3.37,-84.66,1.25,-2.72,-68.46,1.43,-2.55,-64.04,***,***,***,***,***,***,4.84,0.87,21.76,29.85,25.87,650.21,10.44,6.46,162.35,6.30,2.32,58.28,7.22,3.24,81.53,***,***,***,4.64,0.66,16.57,***,***,***,***,***,***
BCREEK 15,26.78,27.10,0.32,1.19,0.00,-26.78,-100.00,12.32,-14.45,-53.98,3.29,-23.49,-87.71,***,***,***,***,***,***,6.27,-20.51,-76.59,34.97,8.19,30.59,27.55,0.78,2.90,27.59,0.81,3.02,49.78,23.01,85.92,26.17,-0.61,-2.27,***,***,***,***,***,***,***,***,***
BCREEK 16,38.52,29.39,-9.13,-23.70,4.63,-33.88,-87.97,3.54,-34.98,-90.82,7.77,-30.74,-79.82,***,***,***,***,***,***,22.92,-15.60,-40.50,67.01,28.50,73.99,48.89,10.37,26.93,42.42,3.90,10.13,36.23,-2.29,-5.93,37.43,-1.09,-2.83,***,***,***,***,***,***,***,***,***
BCREEK 17,52.08,62.93,10.85,20.83,14.41,-37.67,-72.33,1.36,-50.72,-97.39,1.65,-50.43,-96.83,***,***,***,***,***,***,0.40,-51.68,-99.24,37.40,-14.68,-28.20,28.71,-23.37,-44.86,170.12,118.04,226.66,243.73,191.65,367.99,186.31,134.23,257.73,***,***,***,***,***,***,***,***,***
BCREEK 18,55.34,57.76,2.42,4.37,5.52,-49.82,-90.02,4.37,-50.97,-92.10,5.14,-50.21,-90.72,***,***,***,***,***,***,8.20,-47.14,-85.18,60.85,5.51,9.95,87.92,32.58,58.88,67.33,11.99,21.66,33.43,-21.91,-39.59,41.63,-13.71,-24.77,***,***,***,***,***,***,***,***,***
