ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = 100-hr
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,0.45,0.45,0.00,0.00,1.36,0.91,199.96,0.91,0.45,100.00,4.08,3.63,799.72,***,***,***,0.91,0.45,100.03,1.82,1.36,299.88,0.91,0.45,100.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,1.37,2.27,0.91,66.51,2.27,0.91,66.51,1.36,0.00,-0.07,0.91,-0.46,-33.43,1.36,0.00,-0.13,0.91,-0.46,-33.49,***,***,***,***,***,***,3.18,1.82,133.16,1.82,0.46,33.44,2.74,1.37,100.43,1.37,0.00,0.01,0.46,-0.91,-66.64,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,2.41,0.00,-2.41,-100.00,0.00,-2.41,-100.00,0.00,-2.41,-100.00,0.00,-2.41,-100.00,0.00,-2.41,-100.00,0.00,-2.41,-100.00,***,***,***,***,***,***,0.46,-1.95,-81.07,0.94,-1.47,-60.87,0.94,-1.47,-60.87,***,***,***,0.94,-1.47,-60.87,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,4.40,4.40,-0.01,-0.12,4.40,-0.01,-0.12,3.91,-0.50,-11.30,4.39,-0.01,-0.25,3.87,-0.53,-12.09,2.42,-1.98,-45.08,***,***,***,***,***,***,1.98,-2.42,-55.04,3.41,-1.00,-22.60,1.92,-2.48,-56.38,***,***,***,3.95,-0.46,-10.39,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,0.93,0.48,-0.45,-48.07,0.48,-0.45,-48.07,0.47,-0.46,-49.64,1.45,0.52,55.78,1.89,0.96,103.85,1.89,0.96,103.85,***,***,***,***,***,***,2.82,1.89,203.70,1.43,0.50,53.49,1.88,0.95,102.28,***,***,***,0.46,-0.47,-50.36,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,3.18,3.18,0.00,0.00,4.08,0.91,28.57,2.72,-0.45,-14.29,4.99,1.82,57.14,***,***,***,1.36,-1.82,-57.14,2.27,-0.91,-28.57,2.72,-0.45,-14.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,0.45,0.00,-0.45,-100.00,0.45,0.00,-0.01,0.00,-0.45,-100.00,1.36,0.91,199.96,***,***,***,***,***,***,***,***,***,***,***,***,3.63,3.18,699.90,1.82,1.36,299.97,2.27,1.82,399.99,1.36,0.91,199.97,1.82,1.36,299.97,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,5.93,1.83,-4.10,-69.19,2.29,-3.64,-61.39,1.83,-4.10,-69.17,2.28,-3.65,-61.50,***,***,***,1.37,-4.56,-76.85,1.83,-4.10,-69.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,5.93,1.82,-4.10,-69.23,1.82,-4.10,-69.23,3.64,-2.28,-38.53,2.28,-3.65,-61.58,***,***,***,1.36,-4.56,-76.99,2.27,-3.65,-61.62,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,0.91,0.91,0.00,0.00,1.82,0.91,99.96,0.46,-0.45,-49.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.45,-0.46,-50.07,1.82,0.91,100.11,1.82,0.91,99.81,0.45,-0.46,-50.08,***,***,***,2.72,1.81,199.54,0.45,-0.46,-50.08,1.36,0.45,49.92,1.36,0.45,49.76
QUGA-61,0.45,0.00,-0.45,-100.00,0.00,-0.45,-100.00,0.00,-0.45,-100.00,2.72,2.27,499.52,***,***,***,1.36,0.91,199.76,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.40,1.39,1.01,41.91,1.73,0.68,28.12,1.39,1.01,42.09,2.45,-0.05,-1.90,1.78,0.62,25.79,1.29,1.11,46.38,2.05,0.35,14.77,1.82,0.59,24.40,2.09,0.31,13.07,1.87,0.53,22.03,1.93,0.47,19.72,1.06,1.34,55.84,1.52,0.88,36.52,2.72,-0.32,-13.40,0.45,1.95,81.10,1.36,1.04,43.24,1.36,1.04,43.30
