ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = 1000-hr Rotten
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,1.41,1.41,0.00,0.00,0.00,-1.41,-100.00,0.00,-1.41,-100.00,0.21,-1.20,-84.87,***,***,***,0.00,-1.41,-100.00,0.00,-1.41,-100.00,0.00,-1.41,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.27,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.48,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,1.07,1.07,***,0.40,0.40,***,0.26,0.26,***,***,***,***,1.00,1.00,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,***,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,0.00,0.00,0.00,0.18,0.18,***,0.00,0.00,0.00,***,***,***,0.36,0.36,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,1.75,0.00,-1.75,-100.00,0.00,-1.75,-100.00,0.00,-1.75,-100.00,0.00,-1.75,-100.00,***,***,***,0.00,-1.75,-100.00,0.36,-1.39,-79.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,1.14,0.00,-1.14,-100.00,0.00,-1.14,-100.00,1.06,-0.07,-6.48,0.00,-1.14,-100.00,***,***,***,0.47,-0.66,-58.32,1.63,0.49,43.05,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
QUGA-61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,***,***,***,0.00,0.00,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,0.39,0.13,0.26,67.12,0.00,0.39,100.00,0.14,0.25,64.12,0.08,0.32,80.77,0.00,0.39,100.00,0.07,0.32,82.66,0.50,-0.11,-27.18,0.29,0.10,25.20,0.21,0.18,45.51,0.10,0.29,75.06,0.09,0.30,77.46,0.00,0.39,100.00,0.27,0.12,30.19,0.00,0.39,100.00,0.00,0.39,100.00,0.00,0.39,100.00,0.00,0.39,100.00
