ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,6.45,6.45,0.00,0.00,2.34,-4.11,-63.67,0.66,-5.79,-89.77,2.11,-4.34,-67.23,***,***,***,3.47,-2.98,-46.21,2.76,-3.69,-57.20,3.54,-2.91,-45.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,0.34,0.00,-0.34,-100.00,0.00,-0.34,-100.00,0.00,-0.34,-100.00,0.59,0.25,72.27,0.00,-0.34,-100.00,***,***,***,***,***,***,***,***,***,1.57,1.22,357.35,1.22,0.87,255.02,0.85,0.50,147.15,1.01,0.67,195.41,0.53,0.19,55.94,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,0.75,0.00,-0.75,-100.00,0.00,-0.75,-100.00,0.00,-0.75,-100.00,0.00,-0.75,-100.00,0.00,-0.75,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-0.75,-100.00,5.44,4.69,623.38,***,***,***,3.17,2.42,321.74,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,3.40,3.16,-0.24,-7.00,3.16,-0.24,-7.00,2.95,-0.45,-13.21,2.53,-0.88,-25.79,0.45,-2.96,-86.88,3.75,0.34,10.13,***,***,***,***,***,***,1.68,-1.72,-50.62,1.86,-1.55,-45.46,1.31,-2.09,-61.53,***,***,***,1.03,-2.37,-69.75,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,2.27,2.48,0.21,9.23,2.48,0.21,9.23,1.27,-1.00,-44.00,2.73,0.46,20.31,2.17,-0.10,-4.35,3.61,1.34,58.87,***,***,***,***,***,***,4.15,1.88,82.97,3.17,0.90,39.65,4.20,1.93,85.18,***,***,***,1.42,-0.84,-37.23,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,0.41,0.00,-0.41,-100.00,1.58,1.17,287.43,0.61,0.21,50.94,2.08,1.67,410.20,***,***,***,31.59,31.18,7659.18,0.95,0.54,132.90,0.00,-0.41,-100.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,2.08,1.08,-1.00,-48.16,1.26,-0.83,-39.62,1.23,-0.85,-40.88,5.15,3.07,147.24,***,***,***,***,***,***,***,***,***,***,***,***,2.97,0.89,42.77,2.79,0.71,34.03,1.61,-0.48,-22.82,2.84,0.76,36.31,2.08,0.00,-0.12,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,6.01,1.14,-4.87,-81.09,0.00,-6.01,-100.00,0.00,-6.01,-100.00,0.41,-5.60,-93.22,***,***,***,0.00,-6.01,-100.00,0.41,-5.60,-93.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,4.87,1.69,-3.19,-65.34,2.26,-2.61,-53.61,2.81,-2.06,-42.30,6.53,1.65,33.90,***,***,***,2.15,-2.73,-55.93,0.73,-4.15,-85.06,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,1.43,1.84,0.41,28.44,0.39,-1.05,-73.10,0.39,-1.05,-73.10,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,-1.43,-100.00,0.94,-0.49,-34.36,0.99,-0.44,-30.64,0.70,-0.73,-50.88,***,***,***,0.00,-1.43,-100.00,0.38,-1.05,-73.17,1.72,0.29,20.10,2.05,0.62,43.33
QUGA-61,0.41,0.00,-0.41,-100.00,0.00,-0.41,-100.00,0.00,-0.41,-100.00,1.57,1.16,284.45,***,***,***,1.24,0.83,202.57,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,2.58,1.62,0.96,37.26,1.22,1.36,52.63,0.90,1.68,65.08,2.37,0.22,8.33,0.65,1.93,74.69,6.54,-3.96,-153.11,1.21,1.37,53.15,1.77,0.81,31.52,2.07,0.51,19.73,1.66,0.92,35.69,2.40,0.19,7.16,1.52,1.07,41.26,1.65,0.94,36.24,0.00,2.58,100.00,0.38,2.20,85.14,1.72,0.87,33.48,2.05,0.53,20.61
