ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,1.51,1.84,0.33,21.89,0.62,-0.89,-59.20,0.91,-0.60,-39.80,1.14,-0.37,-24.38,***,***,***,1.13,-0.38,-25.37,0.63,-0.88,-58.04,0.97,-0.53,-35.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,2.17,0.86,-1.31,-60.55,0.88,-1.29,-59.52,1.27,-0.90,-41.29,0.31,-1.86,-85.93,1.03,-1.14,-52.36,1.13,-1.04,-47.87,***,***,***,***,***,***,1.12,-1.05,-48.21,0.42,-1.75,-80.51,0.44,-1.73,-79.77,0.64,-1.53,-70.59,1.02,-1.15,-53.06,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,1.25,0.29,-0.97,-77.20,0.07,-1.18,-94.60,0.02,-1.23,-98.40,0.08,-1.17,-93.80,0.11,-1.15,-91.60,0.11,-1.14,-91.00,***,***,***,***,***,***,0.38,-0.87,-69.60,0.09,-1.16,-92.80,0.06,-1.19,-95.16,***,***,***,0.06,-1.19,-95.40,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,1.80,1.26,-0.54,-30.08,1.26,-0.54,-30.08,1.73,-0.07,-3.90,1.39,-0.41,-22.70,1.16,-0.64,-35.38,1.67,-0.13,-6.96,***,***,***,***,***,***,1.26,-0.54,-29.94,0.79,-1.01,-55.99,0.66,-1.14,-63.51,***,***,***,1.33,-0.47,-26.04,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,0.89,1.69,0.80,89.33,1.69,0.80,89.33,1.25,0.36,40.45,1.07,0.18,19.94,0.89,0.00,0.28,1.11,0.22,24.16,***,***,***,***,***,***,1.11,0.22,24.72,0.52,-0.38,-42.13,0.80,-0.09,-10.11,***,***,***,0.95,0.06,6.74,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,0.70,0.27,-0.43,-62.01,0.39,-0.31,-43.73,0.52,-0.18,-25.81,0.15,-0.55,-79.21,***,***,***,0.26,-0.44,-62.37,0.37,-0.33,-46.95,0.44,-0.26,-36.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,1.36,1.08,-0.28,-20.48,0.47,-0.88,-65.13,0.70,-0.66,-48.52,0.47,-0.88,-65.13,***,***,***,***,***,***,***,***,***,***,***,***,0.53,-0.83,-61.07,0.52,-0.83,-61.44,0.33,-1.03,-75.65,0.49,-0.86,-63.75,0.63,-0.72,-53.32,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,1.01,1.28,0.27,26.87,1.05,0.05,4.48,0.95,-0.06,-5.97,1.37,0.37,36.57,***,***,***,0.54,-0.47,-46.77,1.32,0.32,31.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,1.04,0.63,-0.41,-39.61,0.20,-0.84,-80.68,0.64,-0.40,-38.41,0.34,-0.70,-67.15,***,***,***,0.19,-0.85,-82.13,1.23,0.19,18.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,0.57,1.03,0.46,81.86,0.78,0.21,37.61,0.80,0.23,40.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.41,-0.16,-27.43,0.36,-0.21,-36.73,0.73,0.16,28.32,0.55,-0.02,-3.10,***,***,***,0.59,0.02,3.94,0.32,-0.25,-44.25,0.42,-0.15,-25.66,0.36,-0.21,-36.73
QUGA-61,0.63,0.00,-0.63,-100.00,0.01,-0.61,-98.00,0.03,-0.60,-95.20,0.03,-0.60,-96.00,***,***,***,0.21,-0.42,-67.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.17,0.93,0.25,20.98,0.67,0.50,42.56,0.80,0.37,31.76,0.63,0.54,45.97,0.80,0.37,31.96,0.70,0.47,39.99,0.89,0.28,24.25,0.71,0.47,39.69,0.80,0.37,31.64,0.45,0.72,61.64,0.50,0.67,57.21,0.56,0.61,52.33,0.80,0.38,32.00,0.59,0.58,49.90,0.32,0.86,73.12,0.42,0.75,64.17,0.36,0.81,69.50
