ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,19.43,23.68,4.25,21.89,7.93,-11.50,-59.20,11.69,-7.73,-39.80,14.69,-4.74,-24.38,***,***,***,14.50,-4.93,-25.37,8.15,-11.28,-58.04,12.55,-6.88,-35.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,27.93,11.02,-16.91,-60.55,11.31,-16.62,-59.52,16.40,-11.53,-41.29,3.93,-24.00,-85.93,13.31,-14.63,-52.36,14.56,-13.37,-47.87,***,***,***,***,***,***,14.47,-13.47,-48.21,5.44,-22.49,-80.51,5.65,-22.28,-79.77,8.22,-19.72,-70.59,13.11,-14.82,-53.06,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,16.11,3.67,-12.44,-77.20,0.87,-15.24,-94.60,0.26,-15.85,-98.40,1.00,-15.11,-93.80,1.35,-14.76,-91.60,1.45,-14.66,-91.00,***,***,***,***,***,***,4.90,-11.21,-69.60,1.16,-14.95,-92.80,0.78,-15.33,-95.16,***,***,***,0.74,-15.37,-95.40,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,23.13,16.17,-6.96,-30.08,16.17,-6.96,-30.08,22.23,-0.90,-3.90,17.88,-5.25,-22.70,14.95,-8.18,-35.38,21.52,-1.61,-6.96,***,***,***,***,***,***,16.20,-6.93,-29.94,10.18,-12.95,-55.99,8.44,-14.69,-63.51,***,***,***,17.11,-6.02,-26.04,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,11.47,21.71,10.24,89.33,21.71,10.24,89.33,16.11,4.64,40.45,13.76,2.29,19.94,11.50,0.03,0.28,14.24,2.77,24.16,***,***,***,***,***,***,14.30,2.84,24.72,6.64,-4.83,-42.13,10.31,-1.16,-10.11,***,***,***,12.24,0.77,6.74,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,8.99,3.41,-5.57,-62.01,5.06,-3.93,-43.73,6.67,-2.32,-25.81,1.87,-7.12,-79.21,***,***,***,3.38,-5.61,-62.37,4.77,-4.22,-46.95,5.67,-3.32,-36.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,17.46,13.89,-3.58,-20.48,6.09,-11.37,-65.13,8.99,-8.47,-48.52,6.09,-11.37,-65.13,***,***,***,***,***,***,***,***,***,***,***,***,6.80,-10.66,-61.07,6.73,-10.73,-61.44,4.25,-13.21,-75.65,6.33,-11.13,-63.75,8.15,-9.31,-53.32,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,12.95,16.43,3.48,26.87,13.53,0.58,4.48,12.18,-0.77,-5.97,17.69,4.74,36.57,***,***,***,6.89,-6.06,-46.77,17.04,4.09,31.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,13.34,8.05,-5.28,-39.61,2.58,-10.76,-80.68,8.22,-5.12,-38.41,4.38,-8.96,-67.15,***,***,***,2.38,-10.95,-82.13,15.80,2.46,18.48,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,7.28,13.24,5.96,81.86,10.02,2.74,37.61,10.24,2.96,40.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.28,-2.00,-27.43,4.61,-2.67,-36.73,9.34,2.06,28.32,7.06,-0.23,-3.10,***,***,***,7.57,0.29,3.94,4.06,-3.22,-44.25,5.41,-1.87,-25.66,4.61,-2.67,-36.73
QUGA-61,8.05,0.00,-8.05,-100.00,0.16,-7.89,-98.00,0.39,-7.67,-95.20,0.32,-7.73,-96.00,***,***,***,2.64,-5.41,-67.20,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,15.10,11.93,3.17,20.98,8.67,6.43,42.56,10.31,4.80,31.76,8.16,6.94,45.97,10.28,4.83,31.96,9.06,6.04,39.99,11.44,3.66,24.25,9.11,5.99,39.69,10.33,4.78,31.64,5.79,9.31,61.64,6.46,8.64,57.21,7.20,7.90,52.33,10.27,4.83,32.00,7.57,7.54,49.90,4.06,11.04,73.12,5.41,9.69,64.17,4.61,10.50,69.50
