ProjectUnit = Gambel Oak
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00Pre-Attr,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff
QUGA-11,32.01,34.68,2.67,8.34,15.75,-16.26,-50.79,15.85,-16.17,-50.50,26.94,-5.07,-15.85,***,***,***,22.60,-9.41,-29.39,17.09,-14.92,-46.61,20.59,-11.43,-35.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-15,35.54,17.36,-18.18,-51.16,17.65,-17.89,-50.35,19.81,-15.73,-44.25,8.80,-26.74,-75.23,18.83,-16.71,-47.03,24.12,-11.41,-32.12,***,***,***,***,***,***,22.64,-12.90,-36.30,10.97,-24.57,-69.13,12.20,-23.34,-65.67,15.97,-19.57,-55.06,22.25,-13.29,-37.40,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-16,25.48,4.22,-21.26,-83.43,1.35,-24.13,-94.69,1.41,-24.07,-94.47,2.65,-22.84,-89.62,2.93,-22.55,-88.49,4.16,-21.32,-83.67,***,***,***,***,***,***,7.65,-17.84,-70.00,3.26,-22.22,-87.20,9.80,-15.69,-61.55,***,***,***,9.45,-16.03,-62.91,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-18,41.29,27.51,-13.78,-33.38,27.51,-13.78,-33.38,34.05,-7.24,-17.53,31.64,-9.65,-23.36,22.37,-18.92,-45.82,31.37,-9.92,-24.02,***,***,***,***,***,***,22.49,-18.80,-45.53,18.22,-23.07,-55.88,15.00,-26.29,-63.66,***,***,***,33.65,-7.64,-18.50,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-19,22.86,26.31,3.45,15.10,26.31,3.45,15.10,20.28,-2.58,-11.27,21.61,-1.25,-5.45,18.00,-4.86,-21.25,23.75,0.90,3.92,***,***,***,***,***,***,24.85,2.00,8.73,13.51,-9.35,-40.90,18.61,-4.25,-18.58,***,***,***,23.36,0.51,2.22,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-20,18.10,8.40,-9.70,-53.60,12.56,-5.54,-30.60,13.07,-5.04,-27.82,11.81,-6.30,-34.78,***,***,***,39.26,21.15,116.85,11.02,-7.09,-39.14,14.71,-3.39,-18.72,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-21,24.51,16.28,-8.23,-33.59,9.11,-15.40,-62.85,12.83,-11.68,-47.66,16.81,-7.69,-31.39,***,***,***,***,***,***,***,***,***,***,***,***,15.32,-9.19,-37.50,14.25,-10.26,-41.87,10.68,-13.83,-56.42,13.00,-11.51,-46.97,16.76,-7.75,-31.61,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-22,32.38,21.51,-10.87,-33.58,18.94,-13.44,-41.50,16.33,-16.05,-49.57,23.57,-8.80,-27.19,***,***,***,10.53,-21.85,-67.48,23.98,-8.40,-25.95,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-23,30.71,13.39,-17.32,-56.39,8.73,-21.98,-71.59,18.81,-11.90,-38.76,15.98,-14.73,-47.98,***,***,***,8.07,-22.64,-73.73,24.18,-6.53,-21.25,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
QUGA-25,12.47,17.13,4.66,37.39,14.17,1.70,13.63,12.75,0.28,2.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.19,-4.28,-34.31,9.84,-2.63,-21.07,14.35,1.88,15.04,12.01,-0.46,-3.70,***,***,***,13.11,0.64,5.12,5.98,-6.49,-52.02,10.77,-1.70,-13.64,13.20,0.73,5.83
QUGA-61,14.56,0.31,-14.25,-97.90,1.12,-13.43,-92.28,1.46,-13.10,-89.96,5.94,-8.61,-59.17,***,***,***,7.92,-6.64,-45.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,26.35,17.01,9.35,35.46,13.93,12.43,47.16,15.15,11.21,42.52,16.58,9.78,37.11,15.53,10.82,41.06,19.09,7.27,27.58,19.07,7.29,27.65,17.65,8.70,33.03,16.86,9.50,36.04,11.67,14.68,55.70,13.44,12.92,49.01,13.66,12.70,48.17,21.09,5.26,19.96,13.11,13.25,50.26,5.98,20.37,77.29,10.77,15.59,59.14,13.20,13.16,49.92
