ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 10-hr
Units = Tons per Acre

Macroplot,00PR01-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year07-Attr,01Year07-Diff,01Year07-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year08-Attr,02Year08-Diff,02Year08-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff
PIPO-05,0.88,0.99,0.11,12.83,0.64,-0.24,-26.94,0.93,0.06,6.72,0.64,-0.23,-26.82,0.99,0.11,13.13,***,***,***,2.16,1.28,146.18,***,***,***,***,***,***,2.51,1.63,186.07,1.68,0.81,92.20,1.45,0.58,66.01,1.52,0.64,73.15,***,***,***,2.04,1.16,132.91,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-01,***,0.18,***,***,0.12,***,***,0.30,***,***,0.89,***,***,0.12,***,***,***,***,***,0.83,***,***,0.83,***,***,0.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.30,***,***
PIPO-02,***,1.00,***,***,0.89,***,***,0.47,***,***,0.53,***,***,0.94,***,***,***,***,***,1.18,***,***,0.77,***,***,***,***,***,0.35,***,***,0.94,***,***,0.18,***,***,0.77,***,***,***,***,***,0.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,0.25,***,***,0.37,***,***,0.43,***,***,0.37,***,***,0.74,***,***,1.66,***,***,***,***,***,1.42,***,***,***,***,***,0.86,***,***,0.50,***,***,0.50,***,***,1.61,***,***,***,***,***,1.41,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,0.98,***,***,0.75,***,***,0.41,***,***,0.12,***,***,0.06,***,***,***,***,***,0.46,***,***,0.29,***,***,***,***,***,0.29,***,***,0.35,***,***,0.23,***,***,0.69,***,***,***,***,***,0.81,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-06,***,0.94,***,***,0.17,***,***,0.41,***,***,0.29,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.47,***,***,0.53,***,***,0.70,***,***,0.53,***,***,1.00,***,***,***,***,***,0.65,***,***,0.59,***,***,0.94,***,***,0.94,***,***,2.40,***,***,***,***,***
PIPO-07,***,1.10,***,***,0.29,***,***,0.41,***,***,0.58,***,***,0.47,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.41,***,***,0.41,***,***,0.76,***,***,0.81,***,***,***,***,***,***,***,***,0.75,***,***,0.41,***,***,1.69,***,***,1.05,***,***,***,***,***,***,***,***
PIPO-08,***,1.28,***,***,1.40,***,***,1.40,***,***,1.05,***,***,0.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.18,***,***,0.00,***,***,0.23,***,***,0.99,***,***,***,***,***,***,***,***,0.35,***,***,0.41,***,***,0.64,***,***,0.70,***,***,***,***,***,***,***,***
PIPO-10,***,1.22,***,***,0.52,***,***,0.52,***,***,0.93,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.46,***,***,0.23,***,***,0.46,***,***,0.69,***,***,***,***,***,***,***,***,0.69,***,***,0.69,***,***,1.04,***,***,0.98,***,***,***,***,***,***,***,***
PIPO-12,***,0.93,***,***,0.69,***,***,0.64,***,***,0.58,***,***,0.64,***,***,***,***,***,***,***,***,0.87,***,***,1.45,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.46,***,***
PIPO-13,***,0.17,***,***,0.17,***,***,0.17,***,***,0.06,***,***,0.12,***,***,***,***,***,***,***,***,0.00,***,***,0.17,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.58,***,***
PIPO-14,***,0.70,***,***,0.24,***,***,0.23,***,***,0.29,***,***,0.35,***,***,***,***,***,***,***,***,0.41,***,***,0.94,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-17,***,0.59,***,***,0.36,***,***,0.71,***,***,0.95,***,***,0.71,***,***,***,***,***,0.94,***,***,2.48,***,***,***,***,***,0.30,***,***,0.35,***,***,1.41,***,***,0.82,***,***,***,***,***,1.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,1.81,***,***,0.65,***,***,0.99,***,***,0.76,***,***,0.75,***,***,***,***,***,1.81,***,***,***,***,***,***,***,***,1.64,***,***,0.76,***,***,1.22,***,***,2.27,***,***,***,***,***,0.99,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
