ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = 1000-hr Sound
Units = Tons per Acre

Macroplot,00PR01-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year07-Attr,01Year07-Diff,01Year07-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year08-Attr,02Year08-Diff,02Year08-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff
PIPO-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.53,1.53,***,0.00,0.00,0.00,0.72,0.72,***,***,***,***,1.68,1.68,***,***,***,***,***,***,***,2.02,2.02,***,1.01,1.01,***,0.80,0.80,***,4.14,4.14,***,***,***,***,5.58,5.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-01,***,0.88,***,***,0.88,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,3.67,***,***,4.32,***,***,3.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.09,***,***
PIPO-02,***,0.92,***,***,0.81,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,0.22,***,***,***,***,***,0.55,***,***,0.51,***,***,0.00,***,***,0.38,***,***,***,***,***,0.49,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,4.96,***,***,0.00,***,***,2.49,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,0.91,***,***,0.22,***,***,0.00,***,***,0.00,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,0.96,***,***,0.00,***,***,0.00,***,***,0.38,***,***,0.59,***,***,***,***,***,0.97,***,***,0.00,***,***,***,***,***,0.21,***,***,0.00,***,***,0.00,***,***,0.48,***,***,***,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-06,***,1.20,***,***,0.24,***,***,32.49,***,***,28.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,28.86,***,***,25.63,***,***,0.65,***,***,25.56,***,***,0.73,***,***,***,***,***,8.16,***,***,8.16,***,***,12.65,***,***,12.34,***,***,20.25,***,***,***,***,***
PIPO-07,***,2.13,***,***,2.47,***,***,2.47,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.68,***,***,0.39,***,***,0.60,***,***,0.00,***,***,***,***,***,***,***,***,1.58,***,***,5.21,***,***,9.73,***,***,7.61,***,***,***,***,***,***,***,***
PIPO-08,***,0.55,***,***,0.59,***,***,0.59,***,***,0.59,***,***,0.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.85,***,***,3.10,***,***,0.71,***,***,3.14,***,***,***,***,***,***,***,***,3.45,***,***,5.32,***,***,5.34,***,***,2.68,***,***,***,***,***,***,***,***
PIPO-10,***,0.29,***,***,0.00,***,***,0.00,***,***,1.92,***,***,0.00,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.50,***,***,***,***,***,***,***,***,0.00,***,***,0.00,***,***,0.00,***,***,0.00,***,***,***,***,***,***,***,***
PIPO-12,***,0.00,***,***,0.00,***,***,0.00,***,***,0.49,***,***,0.00,***,***,***,***,***,***,***,***,0.72,***,***,0.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.00,***,***
