ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Duff depth
Units = Inches

Macroplot,00PR01-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year07-Attr,01Year07-Diff,01Year07-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year08-Attr,02Year08-Diff,02Year08-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff
PIPO-05,1.83,2.13,0.29,15.96,1.69,-0.14,-7.78,2.16,0.33,17.74,2.58,0.75,40.65,2.41,0.58,31.65,***,***,***,1.84,0.01,0.55,***,***,***,***,***,***,1.31,-0.53,-28.65,1.71,-0.12,-6.68,2.03,0.20,10.78,0.46,-1.37,-74.76,***,***,***,1.39,-0.44,-24.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-01,***,1.18,***,***,0.71,***,***,0.97,***,***,1.16,***,***,0.28,***,***,***,***,***,0.47,***,***,0.61,***,***,0.54,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.30,***,***
PIPO-02,***,1.01,***,***,0.59,***,***,0.82,***,***,0.69,***,***,0.29,***,***,***,***,***,0.67,***,***,0.96,***,***,***,***,***,0.45,***,***,0.11,***,***,0.25,***,***,0.25,***,***,***,***,***,0.38,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,0.76,***,***,0.07,***,***,0.00,***,***,0.30,***,***,0.45,***,***,0.56,***,***,***,***,***,0.35,***,***,***,***,***,0.42,***,***,0.58,***,***,0.46,***,***,0.19,***,***,***,***,***,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,0.51,***,***,0.89,***,***,0.50,***,***,0.29,***,***,0.19,***,***,***,***,***,0.03,***,***,0.17,***,***,***,***,***,0.53,***,***,0.07,***,***,0.14,***,***,0.09,***,***,***,***,***,0.12,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-06,***,1.43,***,***,0.21,***,***,0.16,***,***,0.35,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.20,***,***,0.50,***,***,0.69,***,***,1.38,***,***,0.45,***,***,***,***,***,0.27,***,***,0.46,***,***,0.36,***,***,0.14,***,***,0.38,***,***,***,***,***
PIPO-07,***,1.39,***,***,0.79,***,***,0.79,***,***,1.14,***,***,0.69,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.12,***,***,0.10,***,***,0.34,***,***,0.13,***,***,***,***,***,***,***,***,0.29,***,***,0.10,***,***,0.17,***,***,0.06,***,***,***,***,***,***,***,***
PIPO-08,***,2.20,***,***,0.93,***,***,0.93,***,***,1.33,***,***,0.64,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.09,***,***,0.07,***,***,0.30,***,***,0.09,***,***,***,***,***,***,***,***,0.23,***,***,0.18,***,***,0.08,***,***,0.14,***,***,***,***,***,***,***,***
PIPO-10,***,0.91,***,***,0.59,***,***,0.66,***,***,0.99,***,***,0.55,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.17,***,***,0.08,***,***,0.21,***,***,0.05,***,***,***,***,***,***,***,***,0.14,***,***,0.14,***,***,0.13,***,***,0.12,***,***,***,***,***,***,***,***
PIPO-12,***,0.61,***,***,1.03,***,***,0.84,***,***,0.80,***,***,0.58,***,***,***,***,***,***,***,***,0.78,***,***,0.58,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.64,***,***
