ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Duff
Units = Tons per Acre

Macroplot,00PR01-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year07-Attr,01Year07-Diff,01Year07-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year08-Attr,02Year08-Diff,02Year08-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff
PIPO-05,30.77,35.68,4.91,15.96,28.37,-2.39,-7.78,36.22,5.46,17.74,43.27,12.51,40.65,40.50,9.74,31.65,***,***,***,30.93,0.17,0.55,***,***,***,***,***,***,21.95,-8.81,-28.65,28.71,-2.06,-6.68,34.08,3.32,10.78,7.76,-23.00,-74.76,***,***,***,23.38,-7.39,-24.01,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-01,***,19.85,***,***,11.96,***,***,16.20,***,***,19.52,***,***,4.62,***,***,***,***,***,7.93,***,***,10.28,***,***,9.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.04,***,***
PIPO-02,***,16.96,***,***,9.91,***,***,13.72,***,***,11.63,***,***,4.78,***,***,***,***,***,11.16,***,***,16.12,***,***,***,***,***,7.58,***,***,1.80,***,***,4.20,***,***,4.16,***,***,***,***,***,6.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,12.68,***,***,1.13,***,***,0.00,***,***,5.08,***,***,7.55,***,***,9.32,***,***,***,***,***,5.88,***,***,***,***,***,7.01,***,***,9.78,***,***,7.68,***,***,3.19,***,***,***,***,***,7.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,8.52,***,***,14.86,***,***,8.35,***,***,4.83,***,***,3.11,***,***,***,***,***,0.42,***,***,2.77,***,***,***,***,***,8.81,***,***,1.22,***,***,2.27,***,***,1.47,***,***,***,***,***,1.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-06,***,23.97,***,***,3.57,***,***,2.60,***,***,5.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.32,***,***,8.31,***,***,11.58,***,***,23.17,***,***,7.47,***,***,***,***,***,4.49,***,***,7.72,***,***,6.04,***,***,2.35,***,***,6.42,***,***,***,***,***
PIPO-07,***,23.34,***,***,13.22,***,***,13.22,***,***,19.10,***,***,11.63,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.93,***,***,1.64,***,***,5.71,***,***,2.22,***,***,***,***,***,***,***,***,4.78,***,***,1.59,***,***,2.77,***,***,1.01,***,***,***,***,***,***,***,***
PIPO-08,***,36.85,***,***,15.57,***,***,15.57,***,***,22.25,***,***,10.74,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.43,***,***,1.22,***,***,4.95,***,***,1.47,***,***,***,***,***,***,***,***,3.82,***,***,2.94,***,***,1.30,***,***,2.39,***,***,***,***,***,***,***,***
PIPO-10,***,15.28,***,***,9.86,***,***,11.00,***,***,16.58,***,***,9.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,2.77,***,***,1.30,***,***,3.53,***,***,0.88,***,***,***,***,***,***,***,***,2.35,***,***,2.27,***,***,2.22,***,***,1.93,***,***,***,***,***,***,***,***
PIPO-12,***,10.20,***,***,17.29,***,***,14.10,***,***,13.47,***,***,9.78,***,***,***,***,***,***,***,***,13.01,***,***,9.78,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,10.79,***,***
PIPO-13,***,6.25,***,***,11.16,***,***,9.91,***,***,6.09,***,***,5.54,***,***,***,***,***,***,***,***,7.60,***,***,6.02,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,6.09,***,***
PIPO-14,***,11.71,***,***,22.45,***,***,7.60,***,***,9.02,***,***,9.15,***,***,***,***,***,***,***,***,9.02,***,***,7.22,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-17,***,12.21,***,***,7.05,***,***,7.43,***,***,11.71,***,***,5.41,***,***,***,***,***,4.87,***,***,18.89,***,***,***,***,***,8.60,***,***,3.02,***,***,3.32,***,***,6.93,***,***,***,***,***,10.37,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,18.72,***,***,13.51,***,***,10.95,***,***,9.61,***,***,8.02,***,***,***,***,***,1.80,***,***,***,***,***,***,***,***,5.25,***,***,8.44,***,***,6.13,***,***,3.82,***,***,***,***,***,9.19,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,***,20.86,***,***,13.47,***,***,9.57,***,***,2.48,***,***,3.61,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.68,***,***,4.53,***,***,1.43,***,***,4.07,***,***,***,***,***,5.88,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-48,***,24.76,***,***,0.04,***,***,1.13,***,***,1.01,***,***,1.26,***,***,***,***,***,***,***,***,1.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-49,***,22.83,***,***,0.00,***,***,0.80,***,***,1.26,***,***,1.51,***,***,***,***,***,***,***,***,3.67,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-62,***,17.71,***,***,9.61,***,***,3.30,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,8.44,***,***,4.83,***,***,***,***,***,***,***,***,***,***,***,6.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
