ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Litter depth
Units = Inches

Macroplot,00PR01-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year07-Attr,01Year07-Diff,01Year07-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year08-Attr,02Year08-Diff,02Year08-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff
PIPO-05,1.85,2.13,0.27,14.71,0.20,-1.66,-89.47,0.83,-1.03,-55.33,0.52,-1.34,-72.06,1.46,-0.40,-21.46,***,***,***,2.18,0.33,17.68,***,***,***,***,***,***,1.39,-0.47,-25.24,1.40,-0.45,-24.29,0.69,-1.17,-63.02,0.86,-1.00,-53.85,***,***,***,1.29,-0.57,-30.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-01,***,1.48,***,***,0.54,***,***,0.70,***,***,0.86,***,***,0.89,***,***,***,***,***,1.33,***,***,1.16,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.24,***,***
PIPO-02,***,1.11,***,***,0.37,***,***,0.51,***,***,0.37,***,***,0.91,***,***,***,***,***,1.24,***,***,0.80,***,***,***,***,***,0.08,***,***,0.23,***,***,0.33,***,***,0.43,***,***,***,***,***,2.18,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,1.08,***,***,0.24,***,***,0.22,***,***,0.87,***,***,0.73,***,***,0.96,***,***,***,***,***,0.77,***,***,***,***,***,0.30,***,***,0.33,***,***,0.21,***,***,0.29,***,***,***,***,***,0.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,1.02,***,***,0.38,***,***,0.17,***,***,0.21,***,***,0.61,***,***,***,***,***,0.59,***,***,0.83,***,***,***,***,***,0.36,***,***,0.72,***,***,0.58,***,***,0.32,***,***,***,***,***,0.79,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-06,***,1.61,***,***,0.10,***,***,0.80,***,***,0.65,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.21,***,***,0.60,***,***,0.45,***,***,0.68,***,***,1.11,***,***,***,***,***,0.36,***,***,1.05,***,***,0.36,***,***,0.39,***,***,0.65,***,***,***,***,***
PIPO-07,***,1.49,***,***,1.14,***,***,1.14,***,***,0.41,***,***,1.03,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.22,***,***,0.26,***,***,0.30,***,***,0.37,***,***,***,***,***,***,***,***,0.52,***,***,0.15,***,***,0.32,***,***,0.66,***,***,***,***,***,***,***,***
PIPO-08,***,2.00,***,***,0.97,***,***,0.88,***,***,0.41,***,***,1.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.34,***,***,0.23,***,***,0.24,***,***,0.28,***,***,***,***,***,***,***,***,0.42,***,***,0.16,***,***,0.17,***,***,1.24,***,***,***,***,***,***,***,***
PIPO-10,***,0.61,***,***,0.38,***,***,0.38,***,***,0.37,***,***,1.26,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.28,***,***,0.41,***,***,0.49,***,***,0.56,***,***,***,***,***,***,***,***,0.23,***,***,0.24,***,***,0.15,***,***,1.26,***,***,***,***,***,***,***,***
PIPO-12,***,0.92,***,***,0.61,***,***,0.76,***,***,0.88,***,***,1.18,***,***,***,***,***,***,***,***,0.43,***,***,0.59,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.41,***,***
PIPO-13,***,0.95,***,***,0.09,***,***,0.18,***,***,0.63,***,***,0.76,***,***,***,***,***,***,***,***,0.19,***,***,0.96,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,1.07,***,***
PIPO-14,***,1.22,***,***,0.32,***,***,0.47,***,***,0.85,***,***,0.70,***,***,***,***,***,***,***,***,0.54,***,***,0.68,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-17,***,0.98,***,***,0.01,***,***,0.19,***,***,0.46,***,***,1.04,***,***,***,***,***,0.90,***,***,0.97,***,***,***,***,***,0.04,***,***,0.19,***,***,0.29,***,***,0.45,***,***,***,***,***,1.50,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-26,***,0.79,***,***,0.02,***,***,0.27,***,***,0.34,***,***,1.31,***,***,***,***,***,1.83,***,***,***,***,***,***,***,***,0.26,***,***,0.39,***,***,0.30,***,***,0.43,***,***,***,***,***,0.66,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-47,***,0.48,***,***,0.17,***,***,0.61,***,***,0.34,***,***,0.51,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.24,***,***,0.22,***,***,0.28,***,***,0.23,***,***,***,***,***,0.53,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-48,***,1.36,***,***,0.07,***,***,0.45,***,***,0.40,***,***,0.31,***,***,***,***,***,***,***,***,0.42,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-49,***,0.97,***,***,0.13,***,***,0.22,***,***,0.23,***,***,0.50,***,***,***,***,***,***,***,***,0.43,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-62,***,1.77,***,***,0.06,***,***,0.21,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,0.65,***,***,0.49,***,***,***,***,***,***,***,***,***,***,***,1.71,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
Mean,1.85,1.22,0.63,34.13,0.32,1.53,82.64,0.50,1.35,73.06,0.52,1.34,72.10,0.89,0.96,51.73,0.96,0.89,48.18,1.35,0.51,27.40,0.65,1.20,64.80,0.68,1.17,63.07,0.36,1.49,80.43,0.45,1.40,75.45,0.38,1.48,79.65,0.44,1.41,76.06,1.11,0.75,40.22,1.17,0.68,36.76,0.38,1.47,79.54,0.40,1.45,78.51,0.25,1.60,86.57,0.89,0.97,52.09,0.65,1.21,65.18,1.24,0.62,33.33
