ProjectUnit = Ponderosa Pine
Summary Report = Surface Fuels
Report Attribute = Total
Units = Tons per Acre

Macroplot,00PR01-Attr,00Pre-Attr,00Pre-Diff,00Pre-%Diff,01Post-Attr,01Post-Diff,01Post-%Diff,01Year01-Attr,01Year01-Diff,01Year01-%Diff,01Year02-Attr,01Year02-Diff,01Year02-%Diff,01Year05-Attr,01Year05-Diff,01Year05-%Diff,01Year07-Attr,01Year07-Diff,01Year07-%Diff,01Year08-Attr,01Year08-Diff,01Year08-%Diff,01Year10-Attr,01Year10-Diff,01Year10-%Diff,01Year15-Attr,01Year15-Diff,01Year15-%Diff,02Post-Attr,02Post-Diff,02Post-%Diff,02Year01-Attr,02Year01-Diff,02Year01-%Diff,02Year02-Attr,02Year02-Diff,02Year02-%Diff,02Year05-Attr,02Year05-Diff,02Year05-%Diff,02Year08-Attr,02Year08-Diff,02Year08-%Diff,02Year10-Attr,02Year10-Diff,02Year10-%Diff,03Post-Attr,03Post-Diff,03Post-%Diff,03Year01-Attr,03Year01-Diff,03Year01-%Diff,03Year02-Attr,03Year02-Diff,03Year02-%Diff,03Year05-Attr,03Year05-Diff,03Year05-%Diff,03Year10-Attr,03Year10-Diff,03Year10-%Diff,01Year20-Attr,01Year20-Diff,01Year20-%Diff
PIPO-05,38.68,43.54,4.86,12.57,32.18,-6.49,-16.79,41.43,2.75,7.12,46.38,7.70,19.91,46.69,8.01,20.71,***,***,***,42.12,3.44,8.90,***,***,***,***,***,***,30.80,-7.87,-20.35,36.93,-1.75,-4.51,40.28,1.61,4.15,17.09,-21.58,-55.81,***,***,***,37.19,-1.48,-3.84,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-01,***,24.51,***,***,14.51,***,***,18.44,***,***,23.06,***,***,6.99,***,***,***,***,***,18.05,***,***,19.07,***,***,14.93,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,12.67,***,***
PIPO-02,***,23.16,***,***,13.80,***,***,16.11,***,***,15.19,***,***,9.46,***,***,***,***,***,16.08,***,***,19.75,***,***,***,***,***,9.67,***,***,4.51,***,***,6.04,***,***,8.08,***,***,***,***,***,12.97,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-03,***,20.30,***,***,2.70,***,***,4.79,***,***,7.66,***,***,9.99,***,***,13.14,***,***,***,***,***,9.17,***,***,***,***,***,9.82,***,***,12.54,***,***,8.78,***,***,5.93,***,***,***,***,***,10.90,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-04,***,13.41,***,***,17.17,***,***,9.26,***,***,6.68,***,***,6.29,***,***,***,***,***,6.49,***,***,5.17,***,***,***,***,***,10.16,***,***,4.09,***,***,3.83,***,***,3.51,***,***,***,***,***,4.89,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***
PIPO-06,***,61.61,***,***,33.13,***,***,38.84,***,***,36.92,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,35.11,***,***,37.31,***,***,35.39,***,***,52.63,***,***,23.91,***,***,***,***,***,16.34,***,***,21.18,***,***,25.15,***,***,18.86,***,***,31.66,***,***,***,***,***
PIPO-07,***,35.41,***,***,21.32,***,***,21.56,***,***,25.20,***,***,19.23,***,***,***,***,***,***,***,***,***,***,***,***,***,***,3.71,***,***,3.28,***,***,7.91,***,***,4.20,***,***,***,***,***,***,***,***,8.31,***,***,9.49,***,***,16.19,***,***,11.91,***,***,***,***,***,***,***,***
PIPO-08,***,45.45,***,***,21.95,***,***,21.82,***,***,27.08,***,***,46.60,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.61,***,***,5.59,***,***,7.15,***,***,7.34,***,***,***,***,***,***,***,***,8.90,***,***,10.33,***,***,8.72,***,***,8.76,***,***,***,***,***,***,***,***
PIPO-10,***,20.73,***,***,13.11,***,***,14.24,***,***,20.95,***,***,14.27,***,***,***,***,***,***,***,***,***,***,***,***,***,***,5.41,***,***,2.76,***,***,6.62,***,***,4.51,***,***,***,***,***,***,***,***,4.82,***,***,4.81,***,***,4.32,***,***,6.02,***,***,***,***,***,***,***,***
PIPO-12,***,14.83,***,***,21.01,***,***,17.44,***,***,17.68,***,***,13.39,***,***,***,***,***,***,***,***,17.75,***,***,15.14,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,***,16.05,***,***
